_msg_id,_ts,23B,71A,_sender_bic,_receiver_bic,32A_ccy,32A_amount,50K_acct,50K_name,59_acct,59_name,70,_mt_type,_format
REF00000161829,2026-07-05T20:56:19.637,CRED,OUR,OCBCSGSG,MAYBMYKL,SGD,4705.81,**************2239,PHCVR OC,**************9389,FKJ LIWWUF,INVOICE 15046,103,mt
REF00000440564,2026-07-08T14:07:29.005,CRED,OUR,DBSSSGSG,CITIUS33,USD,846.1,**************7908,OFARW NH,**************3080,GOI XFLXSN,INVOICE 51229,103,mt
REF00000552443,2026-07-07T01:53:49.790,CRED,OUR,UOVBSGSG,CITIUS33,MYR,888.43,**************1045,HJAKS ID,**************6537,QPY TSPPQO,INVOICE 28716,103,mt
REF00000017765,2026-07-08T18:42:37.907,CRED,OUR,OCBCSGSG,MAYBMYKL,SGD,645.88,**************1045,XXZXL TD,**************5935,WVQ MSEDZP,INVOICE 88868,103,mt
REF00000336730,2026-07-12T22:00:11.982,CRED,OUR,UOVBSGSG,MAYBMYKL,MYR,1032.12,**************6486,PDRRE ZY,**************1797,IHW CKMJWQ,INVOICE 79258,103,mt
REF00000043909,2026-07-04T11:58:43.419,CRED,OUR,UOVBSGSG,MAYBMYKL,MYR,746.25,**************6110,LMRGT PV,**************6067,VOK OQDRZO,INVOICE 42738,103,mt
REF00000347176,2026-07-03T06:46:09.795,CRED,BEN,UOVBSGSG,HSBCGB2L,SGD,886.87,**************4124,CCGFT KF,**************6808,MIW GIAFVK,INVOICE 22541,103,mt
REF00000772582,2026-07-06T01:28:54.395,CRED,OUR,UOVBSGSG,CITIUS33,SGD,533.63,**************4430,ALZPC ES,**************0414,TDB BZVINK,INVOICE 04493,103,mt
REF00000241275,2026-07-06T06:31:14.982,CRED,SHA,UOVBSGSG,HSBCGB2L,USD,354.87,**************7801,KJSNW SV,**************6589,QLN QCYJIW,INVOICE 06297,103,mt
REF00000099478,2026-07-02T17:54:26.452,CRED,OUR,OCBCSGSG,MAYBMYKL,USD,2792.76,**************8608,FMMAJ TT,**************8102,JWK THEGTO,INVOICE 34264,103,mt
REF00000218460,2026-07-06T13:44:49.035,CRED,BEN,UOVBSGSG,MAYBMYKL,SGD,818.51,**************8024,TONQK QI,**************9789,ZNM IVSPKH,INVOICE 74947,103,mt
REF00000492078,2026-07-11T22:14:14.626,CRED,OUR,DBSSSGSG,HSBCGB2L,SGD,1067.54,**************8424,JFFNF BH,**************1877,SRL URGNOA,INVOICE 02652,103,mt
REF00000627716,2026-07-09T12:06:25.460,CRED,SHA,DBSSSGSG,HSBCGB2L,USD,430.18,**************0165,ZPTFO XY,**************0815,RMY CWWCCH,INVOICE 96081,103,mt
REF00000478326,2026-07-01T19:53:42.119,CRED,SHA,OCBCSGSG,CITIUS33,USD,394.78,**************9353,PSHLQ CU,**************5934,UMW PMYZHW,INVOICE 69407,103,mt
REF00000385152,2026-07-02T00:23:29.638,CRED,OUR,DBSSSGSG,MAYBMYKL,SGD,450.3,**************3926,JQKQQ OZ,**************8335,GOI XFLXSN,INVOICE 82416,103,mt
REF00000443655,2026-07-04T23:14:55.964,CRED,OUR,UOVBSGSG,CITIUS33,USD,886.4,**************5616,VVCJZ YA,**************1465,ZQF EEMNFQ,INVOICE 21691,103,mt
