_msg_id,_ts,_msg_type,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.Amt.InstdAmt@Ccy,CstmrCdtTrfInitn.GrpHdr.MsgId,CstmrCdtTrfInitn.GrpHdr.CreDtTm,CstmrCdtTrfInitn.GrpHdr.NbOfTxs,CstmrCdtTrfInitn.GrpHdr.InitgPty.Nm,CstmrCdtTrfInitn.PmtInf.PmtInfId,CstmrCdtTrfInitn.PmtInf.PmtMtd,CstmrCdtTrfInitn.PmtInf.ReqdExctnDt.Dt,CstmrCdtTrfInitn.PmtInf.Dbtr.Nm,CstmrCdtTrfInitn.PmtInf.DbtrAcct.Id.IBAN,CstmrCdtTrfInitn.PmtInf.DbtrAgt.FinInstnId.BICFI,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.PmtId.EndToEndId,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.Amt.InstdAmt,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.Cdtr.Nm,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.CdtrAcct.Id.IBAN,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.RmtInf.Ustrd,_ns,_format
PAIN00000586518,2026-07-05T03:44:53.431,pain.001.001.09,SGD,PAIN00000146581,2026-07-14T01:27:08,1,OHVYAN NPN,BATCH458548,TRF,2026-07-06,KUSQ HYS,**************2160,UOVBSGSG,REF00000566681,410.66,YSYXSP JPSA,**************4963,INVOICE 89582,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000699675,2026-07-09T09:55:33.348,pain.001.001.09,USD,PAIN00000200455,2026-07-02T21:09:36,1,AJWSDO SYH,BATCH421508,TRF,2026-07-05,MNGB NMD,**************7690,UOVBSGSG,REF00000209441,1243.47,NFFTCZ XLZF,**************7932,INVOICE 98363,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000598533,2026-07-04T17:48:41.883,pain.001.001.09,SGD,PAIN00000752139,2026-07-12T18:56:31,1,XYHZCQ MBE,BATCH149756,TRF,2026-07-13,IVQA LQB,**************6577,DBSSSGSG,REF00000380638,2787.95,ZIXQAB NPAW,**************4333,INVOICE 69277,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000321612,2026-07-14T00:10:01.979,pain.001.001.09,USD,PAIN00000254349,2026-07-03T06:36:02,1,YJFHTP SBJ,BATCH060103,TRF,2026-07-04,HOOF IFN,**************3619,OCBCSGSG,REF00000177257,740.95,AQLGUH RAAL,**************2097,INVOICE 05252,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000031267,2026-07-05T07:41:49.495,pain.001.001.09,SGD,PAIN00000063372,2026-07-02T21:31:11,1,UXJQAJ UKU,BATCH265604,TRF,2026-07-04,TGFW BUJ,**************8997,UOVBSGSG,REF00000221435,3594.12,DWMIGJ WSMB,**************8084,INVOICE 66444,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000630616,2026-07-05T00:09:53.542,pain.001.001.09,MYR,PAIN00000421954,2026-07-10T09:04:42,1,UXTPAN FNU,BATCH689502,TRF,2026-07-01,KTJD CSX,**************8734,OCBCSGSG,REF00000592620,810.15,NSKQWT BVZN,**************5591,INVOICE 81088,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000038103,2026-07-10T23:08:32.542,pain.001.001.09,SGD,PAIN00000037946,2026-07-03T00:25:52,1,OQFMDR QKU,BATCH171315,TRF,2026-07-12,SQRG UQD,**************5701,UOVBSGSG,REF00000328687,1254.4,MCKWQE UCUU,**************3259,INVOICE 78584,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000673849,2026-07-13T02:41:31.707,pain.001.001.09,USD,PAIN00000438628,2026-07-14T19:26:15,1,KXTPIY CCT,BATCH740461,TRF,2026-07-01,OYTA LBS,**************3649,UOVBSGSG,REF00000553931,695.5,TGDZVO WRFS,**************3515,INVOICE 05141,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000563486,2026-07-05T09:39:42.976,pain.001.001.09,SGD,PAIN00000445459,2026-07-12T09:20:01,1,BIQVYS MJS,BATCH780167,TRF,2026-07-14,TBVS UKR,**************6281,OCBCSGSG,REF00000258628,1079.97,YSYXSP JPSA,**************2690,INVOICE 55752,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000047534,2026-07-01T23:34:53.632,pain.001.001.09,SGD,PAIN00000365754,2026-07-10T00:54:23,1,CFWDAQ PHC,BATCH228954,TRF,2026-07-01,WCDY LHA,**************4044,DBSSSGSG,REF00000665274,263.45,KXGCQY HDYJ,**************0384,INVOICE 50289,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000456723,2026-07-05T15:33:20.511,pain.001.001.09,MYR,PAIN00000753045,2026-07-01T20:14:14,1,YJIWPS HLQ,BATCH786219,TRF,2026-07-11,ACCA JRT,**************2407,UOVBSGSG,REF00000751194,600.2,LTVUNT YAMO,**************3943,INVOICE 82015,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000669336,2026-07-13T23:50:38.639,pain.001.001.09,SGD,PAIN00000629857,2026-07-10T05:33:57,1,CGCLUK LML,BATCH280287,TRF,2026-07-01,WDAE EOL,**************5080,DBSSSGSG,REF00000149218,962.3,WXEDBI SFBT,**************6945,INVOICE 45435,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000594790,2026-07-11T05:02:37.457,pain.001.001.09,SGD,PAIN00000437082,2026-07-03T07:21:41,1,KRTPTC QZY,BATCH826443,TRF,2026-07-04,RREZ YIH,**************8895,DBSSSGSG,REF00000670340,1980.94,NVLANK GRFT,**************2883,INVOICE 83190,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000085094,2026-07-07T15:00:26.557,pain.001.001.09,SGD,PAIN00000624703,2026-07-04T02:16:13,1,SHWNFU NWP,BATCH251088,TRF,2026-07-09,UEMQ VPW,**************8754,OCBCSGSG,REF00000035300,435.39,UFOFAR WNHG,**************5271,INVOICE 19203,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000655906,2026-07-01T17:10:47.508,pain.001.001.09,USD,PAIN00000208496,2026-07-06T01:33:04,1,CFWDAQ PHC,BATCH133174,TRF,2026-07-01,SMJS IIE,**************2645,OCBCSGSG,REF00000768639,38.6,LEWVZI TJHJ,**************4127,INVOICE 70604,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000070889,2026-07-13T21:17:58.711,pain.001.001.09,MYR,PAIN00000186188,2026-07-07T18:15:47,1,KEPVYU HWZ,BATCH837474,TRF,2026-07-12,FETU SXO,**************7240,OCBCSGSG,REF00000468760,295.37,BINLBL UZYW,**************2285,INVOICE 01039,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000158582,2026-07-02T19:28:24.466,pain.001.001.09,USD,PAIN00000474476,2026-07-01T03:33:15,1,ZAQBGT JGP,BATCH984918,TRF,2026-07-03,VMUV VZJ,**************8137,OCBCSGSG,REF00000005085,178.31,NYLHJA KSID,**************0541,INVOICE 30531,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000429828,2026-07-03T20:42:18.199,pain.001.001.09,MYR,PAIN00000278889,2026-07-14T01:27:57,1,KRMNIO UQB,BATCH692524,TRF,2026-07-05,VROC TVC,**************1917,UOVBSGSG,REF00000038230,535.6,TUTKIG ZKDM,**************7398,INVOICE 04408,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000285830,2026-07-14T06:33:21.558,pain.001.001.09,USD,PAIN00000752562,2026-07-14T05:45:37,1,EALYDQ EVJ,BATCH840906,TRF,2026-07-06,TLLN JMN,**************6693,OCBCSGSG,REF00000208800,568.29,VJIWTF OSLG,**************3148,INVOICE 59952,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
