_msg_id,_ts,23B,71A,_sender_bic,_receiver_bic,32A_ccy,32A_amount,50K_acct,50K_name,59_acct,59_name,70,_format
REF00000079877,2026-07-10T11:39:56.948,CRED,OUR,UOVBSGSG,CITIUS33,USD,967.99,**************9768,PKHJFF NFB,**************9108,HSRLURG NOA,INVOICE 14483,mt103
REF00000708138,2026-07-01T14:12:36.083,CRED,SHA,UOVBSGSG,HSBCGB2L,MYR,861.84,**************9365,CWKFAV VBU,**************2034,RTTOBLC LYV,INVOICE 40619,mt103
REF00000140742,2026-07-12T01:04:13.813,CRED,BEN,UOVBSGSG,CITIUS33,MYR,2669.23,**************8669,SGJBLR EPY,**************6430,RMYCWWC CHU,INVOICE 23371,mt103
REF00000464188,2026-07-04T05:48:23.445,CRED,SHA,DBSSSGSG,HSBCGB2L,EUR,2353.22,**************9111,FKJLIW WUF,**************3249,MWPMYZH WJQ,INVOICE 34737,mt103
REF00000452229,2026-07-03T14:04:04.772,CRED,BEN,DBSSSGSG,MAYBMYKL,SGD,281.28,**************9718,KQQOZV VCJ,**************5222,ZYAZQFE EMN,INVOICE 20659,mt103
REF00000077009,2026-07-10T03:51:06.823,CRED,SHA,UOVBSGSG,HSBCGB2L,SGD,5473.75,**************9297,FQEJDP RZK,**************6377,TEIYNXP IKF,INVOICE 90684,mt103
REF00000717217,2026-07-13T04:40:09.233,CRED,SHA,UOVBSGSG,CITIUS33,SGD,525.53,**************0450,CTVCQS BIR,**************8124,CZOHOHY CIE,INVOICE 28163,mt103
REF00000311600,2026-07-04T23:12:24.595,CRED,BEN,UOVBSGSG,MAYBMYKL,USD,1533.58,**************5520,SGQXIC RWT,**************3534,HSRLURG NOA,INVOICE 47870,mt103
REF00000455884,2026-07-12T13:47:50.277,CRED,SHA,UOVBSGSG,MAYBMYKL,SGD,1103.03,**************9802,URIEMG GRQ,**************0166,CZOHOHY CIE,INVOICE 95721,mt103
REF00000517118,2026-07-05T15:57:05.005,CRED,SHA,DBSSSGSG,CITIUS33,SGD,1981.93,**************6570,EGKXVT NVA,**************3934,GKQKKOI CYQ,INVOICE 69329,mt103
REF00000318015,2026-07-09T13:48:37.860,CRED,OUR,UOVBSGSG,MAYBMYKL,USD,1506.12,**************9211,QLGUHR AAL,**************3424,OFARWNH GOI,INVOICE 46542,mt103
REF00000744166,2026-07-11T05:40:46.716,CRED,SHA,DBSSSGSG,MAYBMYKL,USD,885.22,**************7156,OHVYAN NPN,**************5199,DYFNNYD QDP,INVOICE 59210,mt103
REF00000429876,2026-07-02T18:57:27.200,CRED,OUR,OCBCSGSG,HSBCGB2L,EUR,6361.23,**************3631,KUSQHY SYS,**************9408,ZYAZQFE EMN,INVOICE 27393,mt103
REF00000274520,2026-07-10T16:45:30.843,CRED,OUR,OCBCSGSG,HSBCGB2L,SGD,567.52,**************5585,YXSPJP SAA,**************6929,JWSDOSY HMN,INVOICE 56785,mt103
REF00000452957,2026-07-01T22:56:18.041,CRED,OUR,OCBCSGSG,CITIUS33,USD,4754.27,**************6781,GBNMDN FFT,**************4486,CZXLZFX YHZ,INVOICE 69847,mt103
REF00000363226,2026-07-04T04:41:05.623,CRED,SHA,OCBCSGSG,MAYBMYKL,USD,173.5,**************3338,CQMBEI VQA,**************6426,OQHZLGQ WNF,INVOICE 29399,mt103
REF00000722288,2026-07-13T12:21:35.745,CRED,OUR,UOVBSGSG,MAYBMYKL,USD,596.76,**************0146,LQBZIX QAB,**************6553,NPAWYJF HTP,INVOICE 85526,mt103
REF00000154708,2026-07-02T06:31:15.807,CRED,OUR,UOVBSGSG,HSBCGB2L,MYR,783.51,**************9277,SBJHOO FIF,**************7234,VSERCYI INM,INVOICE 38129,mt103
REF00000453012,2026-07-04T11:01:24.203,CRED,OUR,OCBCSGSG,CITIUS33,USD,491.96,**************2735,RGEALY DQE,**************4591,NUXJQAJ UKU,INVOICE 81693,mt103
REF00000510273,2026-07-06T06:01:26.155,CRED,SHA,OCBCSGSG,HSBCGB2L,SGD,441.93,**************6796,TGFWBU JUX,**************3103,TPANFNU KTJ,INVOICE 04223,mt103
REF00000442146,2026-07-09T19:46:12.082,CRED,OUR,UOVBSGSG,MAYBMYKL,MYR,770.96,**************1018,DCSXNS KQW,**************3655,TBVZNOQ FMD,INVOICE 99625,mt103
REF00000651485,2026-07-01T11:28:05.068,CRED,OUR,UOVBSGSG,HSBCGB2L,SGD,194.44,**************2508,RQKUSQ RGU,**************2192,QDMCKWQ EUC,INVOICE 46531,mt103
REF00000728823,2026-07-11T11:03:31.505,CRED,OUR,UOVBSGSG,MAYBMYKL,SGD,1036.61,**************9235,YXSPJP SAA,**************8301,ZFSIEXK ZZO,INVOICE 30994,mt103
REF00000228230,2026-07-10T02:00:15.284,CRED,OUR,UOVBSGSG,HSBCGB2L,SGD,205.48,**************6846,UUKXTP IYC,**************1940,FMMAJTT JWK,INVOICE 87743,mt103
REF00000366518,2026-07-12T23:00:14.261,CRED,BEN,OCBCSGSG,HSBCGB2L,SGD,1355.17,**************8000,CTOYTA LBS,**************8352,ZFSIEXK ZZO,INVOICE 60596,mt103
REF00000755894,2026-07-03T12:29:43.567,CRED,OUR,UOVBSGSG,HSBCGB2L,SGD,162.55,**************6914,TGDZVO WRF,**************3423,SBIQVYS MJS,INVOICE 79623,mt103
REF00000512011,2026-07-02T04:15:02.365,CRED,SHA,DBSSSGSG,HSBCGB2L,USD,2125.27,**************0838,TGFWBU JUX,**************3796,ZYAZQFE EMN,INVOICE 53786,mt103
REF00000793799,2026-07-09T22:26:33.498,CRED,OUR,DBSSSGSG,HSBCGB2L,USD,1761.83,**************1979,TBVSUK RKX,**************9962,GCQYHDY JAC,INVOICE 91059,mt103
REF00000702708,2026-07-09T14:23:24.943,CRED,OUR,UOVBSGSG,MAYBMYKL,SGD,3203.84,**************6712,CAJRTL TVU,**************5678,NTYAMOC GCL,INVOICE 82694,mt103
REF00000050322,2026-07-03T10:21:55.700,CRED,OUR,OCBCSGSG,MAYBMYKL,USD,4286.23,**************7559,UKLMLW DAE,**************1940,EOLWXED BIS,INVOICE 25128,mt103
REF00000048989,2026-07-09T05:56:17.520,CRED,BEN,DBSSSGSG,HSBCGB2L,SGD,841.16,**************2383,TBVSUK RKX,**************9544,FBTKRTP TCQ,INVOICE 81077,mt103
REF00000629971,2026-07-05T08:10:39.015,CRED,SHA,OCBCSGSG,HSBCGB2L,SGD,503.94,**************9319,GVMIRU JNK,**************6963,ZYNVLAN KGR,INVOICE 81702,mt103
REF00000316122,2026-07-07T14:03:26.431,CRED,OUR,DBSSSGSG,MAYBMYKL,SGD,1412.38,**************8660,FTSHWN FUN,**************0884,WPUEMQV PWS,INVOICE 44858,mt103
REF00000542456,2026-07-12T11:58:10.943,CRED,OUR,DBSSSGSG,HSBCGB2L,USD,3695.91,**************6291,MJSIIE LEW,**************2606,VZITJHJ FET,INVOICE 41003,mt103
REF00000215041,2026-07-11T00:41:52.079,CRED,SHA,UOVBSGSG,CITIUS33,USD,379.27,**************6139,USXOBI NLB,**************5679,OQHZLGQ WNF,INVOICE 50831,mt103
REF00000614920,2026-07-06T02:24:28.129,CRED,BEN,DBSSSGSG,HSBCGB2L,SGD,1174.65,**************7408,LUZYWZ AQB,**************1561,GTJGPVM UVV,INVOICE 72993,mt103
REF00000595337,2026-07-06T15:39:21.830,CRED,OUR,UOVBSGSG,MAYBMYKL,USD,1705.92,**************9466,PKHJFF NFB,**************5542,ZJKRMNI OUQ,INVOICE 03449,mt103
REF00000604876,2026-07-04T08:44:13.536,CRED,SHA,OCBCSGSG,HSBCGB2L,SGD,1688.29,**************8752,BTUTKI GZK,**************2525,DMTLLNJ MNV,INVOICE 98355,mt103
REF00000200183,2026-07-12T00:58:22.638,CRED,OUR,DBSSSGSG,MAYBMYKL,MYR,1781.75,**************2645,CAJRTL TVU,**************6906,JIWTFOS LGQ,INVOICE 01004,mt103
REF00000538773,2026-07-05T20:36:42.752,CRED,BEN,DBSSSGSG,HSBCGB2L,SGD,680.46,**************4192,WFBMSO SUY,**************5844,GKQKKOI CYQ,INVOICE 45785,mt103
REF00000198793,2026-07-12T10:29:52.019,CRED,SHA,OCBCSGSG,HSBCGB2L,SGD,441.91,**************2967,YODACZ SBV,**************3734,JWSDOSY HMN,INVOICE 76583,mt103
REF00000673822,2026-07-09T15:56:32.993,CRED,SHA,UOVBSGSG,MAYBMYKL,SGD,1946.58,**************7198,EHMJLN TIH,**************1559,ZYAZQFE EMN,INVOICE 62545,mt103
REF00000124388,2026-07-03T23:23:35.404,CRED,BEN,UOVBSGSG,CITIUS33,USD,291.19,**************7689,DCSXNS KQW,**************3132,KROKVDU XZF,INVOICE 99217,mt103
REF00000524097,2026-07-01T21:30:57.052,CRED,OUR,OCBCSGSG,CITIUS33,USD,1534.19,**************0118,FTSHWN FUN,**************9761,CUJPLIH UGO,INVOICE 90161,mt103
REF00000589973,2026-07-07T13:46:57.480,CRED,SHA,UOVBSGSG,HSBCGB2L,SGD,582.79,**************4255,XRIFMO IYI,**************3448,OCFQOPV WBB,INVOICE 66101,mt103
REF00000066815,2026-07-08T17:53:02.058,CRED,OUR,OCBCSGSG,MAYBMYKL,USD,621.73,**************1739,UJYGME NTS,**************1565,JWSDOSY HMN,INVOICE 16018,mt103
REF00000286091,2026-07-05T18:00:43.881,CRED,OUR,DBSSSGSG,MAYBMYKL,USD,2155.2,**************4660,CGEJLJ FSR,**************5370,NYPBHSS YPM,INVOICE 94441,mt103
REF00000135380,2026-07-09T05:51:19.006,CRED,OUR,DBSSSGSG,HSBCGB2L,SGD,254.45,**************9179,DZFTBD DEE,**************9807,FBTKRTP TCQ,INVOICE 20296,mt103
REF00000297232,2026-07-13T17:21:19.008,CRED,OUR,OCBCSGSG,CITIUS33,MYR,333.43,**************5389,MJSIIE LEW,**************1616,GTJGPVM UVV,INVOICE 85750,mt103
REF00000285575,2026-07-10T07:36:13.960,CRED,OUR,DBSSSGSG,MAYBMYKL,MYR,586.68,**************1857,DPLDRA CYG,**************5920,EKMITXN VZJ,INVOICE 52019,mt103
REF00000312748,2026-07-05T19:00:23.707,CRED,OUR,DBSSSGSG,MAYBMYKL,EUR,3810.29,**************5616,FQEJDP RZK,**************8609,ULOHCKB GWJ,INVOICE 96219,mt103
REF00000757444,2026-07-02T01:44:47.508,CRED,BEN,DBSSSGSG,CITIUS33,MYR,1894.01,**************4511,KUSQHY SYS,**************1609,UXMQLVQ PXJ,INVOICE 05005,mt103
REF00000239677,2026-07-07T03:04:06.390,CRED,BEN,DBSSSGSG,CITIUS33,SGD,887.91,**************7225,IZVFFK TAB,**************3546,ZKYQKTL OYD,INVOICE 92339,mt103
REF00000273281,2026-07-12T13:33:41.100,CRED,OUR,OCBCSGSG,HSBCGB2L,SGD,1289.08,**************7153,NCYVJU NQD,**************8764,WKEMIPB MAN,INVOICE 11996,mt103
REF00000019761,2026-07-06T13:19:29.289,CRED,OUR,UOVBSGSG,HSBCGB2L,SGD,186.65,**************3627,AUHWUQ SRZ,**************9231,HSRLURG NOA,INVOICE 62619,mt103
REF00000510363,2026-07-02T03:30:20.900,CRED,SHA,DBSSSGSG,MAYBMYKL,SGD,681.45,**************7685,CSCQLL WPB,**************8689,ZKYQKTL OYD,INVOICE 04367,mt103
REF00000103977,2026-07-09T08:51:44.185,CRED,OUR,OCBCSGSG,MAYBMYKL,SGD,768.84,**************3890,UBAVAT RVH,**************0547,FVKTDBB ZVI,INVOICE 53697,mt103
REF00000000724,2026-07-03T16:50:29.025,CRED,SHA,DBSSSGSG,CITIUS33,SGD,878.34,**************5888,OZCJNK EPV,**************5005,VSERCYI INM,INVOICE 24596,mt103
REF00000402438,2026-07-03T05:14:01.064,CRED,OUR,UOVBSGSG,HSBCGB2L,USD,12526.09,**************0067,TGDZVO WRF,**************2088,WDAQPHC VRO,INVOICE 37092,mt103
REF00000398253,2026-07-03T01:18:41.749,CRED,BEN,UOVBSGSG,CITIUS33,SGD,2193.16,**************3524,CGEJLJ FSR,**************4159,VJOBNIV ZBF,INVOICE 55358,mt103
REF00000076456,2026-07-11T20:56:53.856,CRED,OUR,OCBCSGSG,CITIUS33,SGD,525.56,**************4361,XRIFMO IYI,**************2449,SZYDMIQ RYH,INVOICE 00602,mt103
REF00000348270,2026-07-08T05:39:30.822,CRED,SHA,UOVBSGSG,MAYBMYKL,SGD,6519.66,**************5180,IJVZUC CXT,**************3427,JKVKNPU BON,INVOICE 43499,mt103
REF00000552382,2026-07-11T01:21:46.397,CRED,SHA,UOVBSGSG,HSBCGB2L,USD,258.25,**************9405,RKXGGX GZI,**************9959,AUNQUAO AIN,INVOICE 11454,mt103
REF00000484687,2026-07-01T01:11:42.888,CRED,OUR,UOVBSGSG,MAYBMYKL,USD,4570.34,**************5430,XASBTT NNF,**************7656,COHSBHU DIA,INVOICE 14866,mt103
REF00000477713,2026-07-06T21:32:50.006,CRED,OUR,UOVBSGSG,CITIUS33,USD,1126.62,**************2493,DZFTBD DEE,**************4044,ULOHCKB GWJ,INVOICE 13429,mt103
REF00000785676,2026-07-11T11:40:19.650,CRED,OUR,UOVBSGSG,CITIUS33,USD,1523.14,**************4197,GUTMMZ RAG,**************3143,UEXDKDR CCD,INVOICE 29090,mt103
REF00000441849,2026-07-13T16:28:14.625,CRED,OUR,DBSSSGSG,MAYBMYKL,USD,1020.39,**************9316,OBGMUM YYG,**************5292,XKVSKBB NRN,INVOICE 02711,mt103
REF00000102453,2026-07-06T22:52:46.955,CRED,SHA,UOVBSGSG,MAYBMYKL,MYR,1042.24,**************4337,OVHOSV OQX,**************6360,LQUSVKW SJP,INVOICE 27074,mt103
REF00000221666,2026-07-02T03:05:00.180,CRED,OUR,DBSSSGSG,CITIUS33,MYR,6296.48,**************8092,EGKXVT NVA,**************8113,XBTOLTX LJM,INVOICE 80444,mt103
REF00000562377,2026-07-01T23:48:08.231,CRED,OUR,DBSSSGSG,MAYBMYKL,MYR,2903.73,**************2742,DQIPLO KDE,**************2602,FZDINJO QSS,INVOICE 08985,mt103
REF00000789838,2026-07-02T16:46:54.841,CRED,OUR,OCBCSGSG,MAYBMYKL,SGD,2653.47,**************5197,ICWNGD MGW,**************2682,IICRSRB PXK,INVOICE 03185,mt103
REF00000601676,2026-07-03T01:39:27.561,CRED,OUR,DBSSSGSG,MAYBMYKL,SGD,296.39,**************6351,TKFMIW GIA,**************7829,OQYDRBH BGC,INVOICE 53073,mt103
REF00000550280,2026-07-13T08:09:48.914,CRED,OUR,UOVBSGSG,MAYBMYKL,EUR,542.32,**************6646,DMZMYL WKD,**************5671,OFARWNH GOI,INVOICE 94696,mt103
REF00000510709,2026-07-07T22:00:12.687,CRED,OUR,DBSSSGSG,HSBCGB2L,USD,634.12,**************9012,CAJRTL TVU,**************0668,ZIWWGTR EYU,INVOICE 96601,mt103
REF00000129226,2026-07-01T09:39:25.862,CRED,SHA,OCBCSGSG,MAYBMYKL,SGD,135.98,**************4494,AUHWUQ SRZ,**************1778,LLIQUPB QOB,INVOICE 07536,mt103
REF00000081187,2026-07-11T18:10:03.115,CRED,SHA,UOVBSGSG,CITIUS33,EUR,290.97,**************0451,NAGDUJ FIQ,**************5484,VSERCYI INM,INVOICE 10398,mt103
REF00000270301,2026-07-13T20:45:44.261,CRED,OUR,OCBCSGSG,CITIUS33,MYR,1134.62,**************9961,WNZTFJ PYC,**************2215,TSPPQOX XZX,INVOICE 78316,mt103
REF00000613022,2026-07-11T20:49:02.012,CRED,OUR,UOVBSGSG,HSBCGB2L,USD,1603.03,**************6498,DZFTBD DEE,**************1122,RPKEEBT FER,INVOICE 48608,mt103
REF00000178938,2026-07-03T02:31:13.446,CRED,SHA,DBSSSGSG,MAYBMYKL,MYR,955.57,**************6719,SBJHOO FIF,**************5958,QCGKODO SDP,INVOICE 49806,mt103
REF00000777767,2026-07-02T14:30:58.947,CRED,OUR,UOVBSGSG,MAYBMYKL,SGD,1098.29,**************5981,NBTTCK HTZ,**************4465,VPMWZJJ CNH,INVOICE 82035,mt103
REF00000714969,2026-07-12T15:18:41.876,CRED,SHA,DBSSSGSG,CITIUS33,USD,885.11,**************7418,TGDZVO WRF,**************9019,BQQQJUZ EPI,INVOICE 43978,mt103
REF00000756716,2026-07-03T15:08:15.885,CRED,SHA,UOVBSGSG,CITIUS33,SGD,1443.66,**************6387,PWQKHH OQR,**************3171,LNQCYJI WPS,INVOICE 02072,mt103
REF00000603853,2026-07-08T16:24:02.392,CRED,OUR,UOVBSGSG,CITIUS33,USD,262.98,**************5259,WNZTFJ PYC,**************2409,RPKEEBT FER,INVOICE 84165,mt103
REF00000002118,2026-07-13T23:08:36.159,CRED,BEN,OCBCSGSG,CITIUS33,USD,2371.7,**************5410,UKLMLW DAE,**************2241,DMDCYZW GBV,INVOICE 10978,mt103
REF00000636731,2026-07-07T22:20:18.581,CRED,SHA,OCBCSGSG,CITIUS33,SGD,1194.28,**************6963,SWMJHM YYF,**************8488,ZXGGEHD WAY,INVOICE 89970,mt103
REF00000511881,2026-07-11T02:57:48.353,CRED,SHA,UOVBSGSG,MAYBMYKL,USD,5094.73,**************5839,JIQGEB STJ,**************8868,MKXOUHF YER,INVOICE 00907,mt103
REF00000129465,2026-07-13T17:32:25.358,CRED,SHA,OCBCSGSG,HSBCGB2L,SGD,1311.64,**************1159,GUTMMZ RAG,**************7623,XBTOLTX LJM,INVOICE 73007,mt103
REF00000374433,2026-07-11T03:11:18.125,CRED,BEN,DBSSSGSG,CITIUS33,USD,1658.96,**************3729,NPEUKF EPZ,**************8438,IICRSRB PXK,INVOICE 19385,mt103
REF00000324560,2026-07-09T22:40:52.814,CRED,OUR,DBSSSGSG,HSBCGB2L,SGD,1236.9,**************7956,OKLFHG DIQ,**************1391,LVZPUJG TRM,INVOICE 70594,mt103
REF00000110495,2026-07-01T00:14:20.511,CRED,SHA,UOVBSGSG,MAYBMYKL,USD,1287.86,**************9985,CLMVMM HGL,**************8929,IFESENI ROI,INVOICE 21100,mt103
REF00000417984,2026-07-13T19:39:25.519,CRED,SHA,DBSSSGSG,HSBCGB2L,SGD,719.98,**************2746,XRIFMO IYI,**************5515,CYZEGBN MXK,INVOICE 40127,mt103
REF00000019591,2026-07-12T12:05:15.729,CRED,OUR,DBSSSGSG,CITIUS33,EUR,1158.55,**************3895,USXOBI NLB,**************7501,NHMMCCK JXT,INVOICE 55964,mt103
REF00000359517,2026-07-13T03:44:57.443,CRED,OUR,UOVBSGSG,HSBCGB2L,SGD,1067.52,**************8977,UBBDWA CPW,**************2332,IHIFDWT CDY,INVOICE 69209,mt103
REF00000148143,2026-07-03T19:37:37.918,CRED,SHA,UOVBSGSG,MAYBMYKL,SGD,396.21,**************1833,NKKJSN WSV,**************0412,MKXOUHF YER,INVOICE 71157,mt103
REF00000761996,2026-07-10T05:02:41.820,CRED,OUR,OCBCSGSG,HSBCGB2L,USD,665.24,**************9436,OBGMUM YYG,**************7122,NPAWYJF HTP,INVOICE 71064,mt103
REF00000372913,2026-07-09T02:51:50.343,CRED,OUR,UOVBSGSG,CITIUS33,SGD,3807.02,**************7045,OHVYAN NPN,**************4240,YYKSALJ EOO,INVOICE 15054,mt103
REF00000116664,2026-07-10T02:08:43.567,CRED,OUR,OCBCSGSG,MAYBMYKL,SGD,251.95,**************2012,KQQOZV VCJ,**************9405,SDYNODP FOX,INVOICE 15705,mt103
REF00000406057,2026-07-03T05:53:57.098,CRED,SHA,DBSSSGSG,MAYBMYKL,SGD,85.28,**************5842,QWELQR AZG,**************3934,IFESENI ROI,INVOICE 51530,mt103
REF00000491925,2026-07-09T19:16:31.485,CRED,OUR,UOVBSGSG,MAYBMYKL,SGD,2376.49,**************6609,WQYHTA ELL,**************1187,RMYCWWC CHU,INVOICE 28613,mt103
REF00000709695,2026-07-08T14:36:38.548,CRED,OUR,UOVBSGSG,HSBCGB2L,SGD,669.67,**************2310,FAHBEV WYG,**************5611,YLPKSOP BZP,INVOICE 22334,mt103
