_msg_id,_ts,_msg_type,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.Amt.InstdAmt@Ccy,CstmrCdtTrfInitn.GrpHdr.MsgId,CstmrCdtTrfInitn.GrpHdr.CreDtTm,CstmrCdtTrfInitn.GrpHdr.NbOfTxs,CstmrCdtTrfInitn.GrpHdr.InitgPty.Nm,CstmrCdtTrfInitn.PmtInf.PmtInfId,CstmrCdtTrfInitn.PmtInf.PmtMtd,CstmrCdtTrfInitn.PmtInf.ReqdExctnDt.Dt,CstmrCdtTrfInitn.PmtInf.Dbtr.Nm,CstmrCdtTrfInitn.PmtInf.DbtrAcct.Id.IBAN,CstmrCdtTrfInitn.PmtInf.DbtrAgt.FinInstnId.BICFI,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.PmtId.EndToEndId,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.Amt.InstdAmt,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.Cdtr.Nm,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.CdtrAcct.Id.IBAN,CstmrCdtTrfInitn.PmtInf.CdtTrfTxInf.RmtInf.Ustrd,_ns,_format
PAIN00000643008,2026-07-03T14:31:01.739,pain.001.001.09,USD,PAIN00000448312,2026-07-01T06:32:42,1,SKL YYJJVVSK,BATCH742638,TRF,2026-07-09,SJSGQ XIC,**************1718,UOVBSGSG,REF00000088391,266.98,RWTGKQ KKOICY,**************9298,INVOICE 51057,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000540513,2026-07-13T02:59:03.289,pain.001.001.09,SGD,PAIN00000247501,2026-07-03T00:36:01,1,BFI EJEYOBSM,BATCH687569,TRF,2026-07-12,QSSRD HIL,**************2118,DBSSSGSG,REF00000640685,1171.91,EAMBVB GVEKQL,**************2572,INVOICE 58247,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000624524,2026-07-09T18:09:38.080,pain.001.001.09,SGD,PAIN00000375152,2026-07-09T16:36:21,1,NQC YJIWPSHL,BATCH644849,TRF,2026-07-03,QCUZA VSK,**************6087,UOVBSGSG,REF00000421859,2659.51,SHFPPV VERTTC,**************9742,INVOICE 28354,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000189341,2026-07-01T16:20:02.181,pain.001.001.09,SGD,PAIN00000788149,2026-07-12T14:45:41,1,ERH WFQYQWYM,BATCH841171,TRF,2026-07-13,KEWRS RTT,**************3590,DBSSSGSG,REF00000331268,412.41,OBLCLY VNBTTC,**************6759,INVOICE 08700,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000056564,2026-07-06T21:21:03.675,pain.001.001.09,SGD,PAIN00000760820,2026-07-07T13:22:50,1,KHT ZGLQWYMS,BATCH193482,TRF,2026-07-03,PBAOZ CJN,**************3734,DBSSSGSG,REF00000353158,2912.85,KEPVYU HWZAXL,**************4534,INVOICE 78048,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000350159,2026-07-12T23:58:43.158,pain.001.001.09,USD,PAIN00000257468,2026-07-10T00:36:38,1,SLN FCUAGYGT,BATCH978707,TRF,2026-07-01,TRXEQ EVI,**************6729,OCBCSGSG,REF00000768111,1008.28,UXBTOL TXLJMN,**************3579,INVOICE 51580,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000451264,2026-07-10T18:03:29.755,pain.001.001.09,SGD,PAIN00000497887,2026-07-03T16:01:22,1,YLH JAKSIDRT,BATCH623428,TRF,2026-07-14,BGRSS LRF,**************6076,OCBCSGSG,REF00000313805,4472.3,KJLIWW UFOFAR,**************8800,INVOICE 53810,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000631604,2026-07-12T22:40:04.215,pain.001.001.09,EUR,PAIN00000492350,2026-07-13T08:53:48,1,WNH GOIXFLXS,BATCH646961,TRF,2026-07-09,NQPYT SPP,**************5645,UOVBSGSG,REF00000473118,389.72,QOXXZX LTDWVQ,**************6483,INVOICE 68625,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000560190,2026-07-05T09:54:26.500,pain.001.001.09,EUR,PAIN00000153663,2026-07-09T16:37:09,1,NQC YJIWPSHL,BATCH151782,TRF,2026-07-13,MSEDZ PPD,**************1599,UOVBSGSG,REF00000417387,227.84,RREZYI HWCKMJ,**************9613,INVOICE 94512,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000531594,2026-07-13T13:07:37.062,pain.001.001.09,SGD,PAIN00000333896,2026-07-13T06:58:10,1,WQL MRGTPVVO,BATCH287569,TRF,2026-07-10,KOQDR ZOC,**************7503,UOVBSGSG,REF00000409441,2559.91,CGFTKF MIWGIA,**************6671,INVOICE 11696,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000478263,2026-07-04T19:48:06.395,pain.001.001.09,EUR,PAIN00000631517,2026-07-12T15:19:57,1,FVK TDBBZVIN,BATCH127152,TRF,2026-07-14,KKJSN WSV,**************2520,OCBCSGSG,REF00000553126,532.79,FMMAJT TJWKTH,**************9153,INVOICE 81613,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000616391,2026-07-03T03:44:53.137,pain.001.001.09,SGD,PAIN00000610161,2026-07-07T10:54:38,1,EGT OTONQKQI,BATCH960630,TRF,2026-07-12,ZNMIV SPK,**************5643,UOVBSGSG,REF00000389979,411.99,UXBTOL TXLJMN,**************5591,INVOICE 12239,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000579086,2026-07-12T00:23:02.113,pain.001.001.09,SGD,PAIN00000308097,2026-07-09T01:06:42,1,HJF FNFBHSRL,BATCH122993,TRF,2026-07-02,URGNO ARM,**************5373,DBSSSGSG,REF00000067798,1936.12,YCWWCC HUMWPM,**************5787,INVOICE 59835,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000430714,2026-07-06T22:08:15.466,pain.001.001.09,SGD,PAIN00000509410,2026-07-07T16:01:00,1,YZH WJQKQQOZ,BATCH748168,TRF,2026-07-06,VVCJZ YAZ,**************7349,DBSSSGSG,REF00000382018,2213.58,QFEEMN FQEJDP,**************6166,INVOICE 92454,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000788111,2026-07-02T17:47:01.576,pain.001.001.09,USD,PAIN00000336579,2026-07-05T06:53:06,1,RZK TEIYNXPI,BATCH861192,TRF,2026-07-01,KFCZO HOH,**************2738,DBSSSGSG,REF00000023898,1331.54,YCIEUR IEMGGR,**************7485,INVOICE 90959,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000471764,2026-07-08T10:33:15.807,pain.001.001.09,EUR,PAIN00000133929,2026-07-04T15:37:12,1,QEG KXVTNVAQ,BATCH039597,TRF,2026-07-13,MSEDZ PPD,**************4430,DBSSSGSG,REF00000799499,218.22,LGUHRA ALOHVY,**************6188,INVOICE 61222,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000504147,2026-07-08T08:50:46.723,pain.001.001.09,USD,PAIN00000062045,2026-07-09T17:10:48,1,ANN PNKUSQHY,BATCH127595,TRF,2026-07-11,SYSYX SPJ,**************1664,UOVBSGSG,REF00000429455,2408.03,NGDMGW OQHZLG,**************7412,INVOICE 74681,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000094442,2026-07-14T05:30:23.158,pain.001.001.09,EUR,PAIN00000173343,2026-07-01T03:04:17,1,QWN FSGJBLRE,BATCH223426,TRF,2026-07-04,PSAAJ WSD,**************4159,DBSSSGSG,REF00000040917,79.44,OSYHMN GBNMDN,**************4347,INVOICE 81723,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000208323,2026-07-01T03:55:33.658,pain.001.001.09,USD,PAIN00000229584,2026-07-02T10:24:44,1,FFT CZXLZFXY,BATCH842487,TRF,2026-07-07,HZCQM BEI,**************4651,DBSSSGSG,REF00000265216,1551.09,VQALQB ZIXQAB,**************2627,INVOICE 12731,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000348408,2026-07-02T16:02:25.201,pain.001.001.09,SGD,PAIN00000100547,2026-07-06T14:52:47,1,NPA WYJFHTPS,BATCH783267,TRF,2026-07-10,BJHOO FIF,**************8750,DBSSSGSG,REF00000300165,509.85,NUXJQA JUKUTG,**************6940,INVOICE 75795,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000030632,2026-07-12T15:41:41.870,pain.001.001.09,USD,PAIN00000431982,2026-07-04T05:34:45,1,FWB UJUXTPAN,BATCH130178,TRF,2026-07-04,FNUKT JDC,**************2619,OCBCSGSG,REF00000365558,1299.05,TFERCW KFAVVB,**************3419,INVOICE 87198,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000169148,2026-07-13T05:58:36.092,pain.001.001.09,MYR,PAIN00000622595,2026-07-02T19:36:11,1,SXN SKQWTBVZ,BATCH599057,TRF,2026-07-14,NOQFM DRQ,**************8146,OCBCSGSG,REF00000668110,533.91,KUSQRG UQDMCK,**************3024,INVOICE 87216,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000174430,2026-07-02T01:11:24.827,pain.001.001.09,SGD,PAIN00000564566,2026-07-05T17:07:18,1,WQE UCUUKXTP,BATCH878328,TRF,2026-07-06,BGRSS LRF,**************4553,UOVBSGSG,REF00000135457,987.25,IYCCTO YTALBS,**************7932,INVOICE 84837,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000764598,2026-07-03T06:31:10.951,pain.001.001.09,SGD,PAIN00000395075,2026-07-12T15:21:56,1,TGD ZVOWRFSB,BATCH753521,TRF,2026-07-06,IQVYS MJS,**************3509,OCBCSGSG,REF00000431700,800.71,TBVSUK RKXGCQ,**************8666,INVOICE 73850,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000316927,2026-07-03T10:58:23.858,pain.001.001.09,USD,PAIN00000508321,2026-07-09T01:49:01,1,YHD YJACCAJR,BATCH482360,TRF,2026-07-02,TLTVU NTY,**************9595,OCBCSGSG,REF00000201552,345.07,AMOCGC LUKLML,**************7568,INVOICE 43595,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000351700,2026-07-13T15:56:02.823,pain.001.001.09,USD,PAIN00000034254,2026-07-09T07:53:01,1,WDA EEOLWXED,BATCH086350,TRF,2026-07-04,BISFB TKR,**************9063,UOVBSGSG,REF00000354539,2158.76,TPTCQZ YNVLAN,**************8084,INVOICE 41129,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000360502,2026-07-03T07:28:17.361,pain.001.001.09,SGD,PAIN00000185626,2026-07-13T04:53:03,1,KGR FTSHWNFU,BATCH430979,TRF,2026-07-05,NWPUE MQV,**************1954,DBSSSGSG,REF00000207603,516.9,PWSMJS IIELEW,**************5591,INVOICE 87343,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000738481,2026-07-13T13:17:56.463,pain.001.001.09,EUR,PAIN00000202703,2026-07-10T10:11:34,1,VZI TJHJFETU,BATCH717565,TRF,2026-07-05,SXOBI NLB,**************0379,DBSSSGSG,REF00000257352,193.51,LGUHRA ALOHVY,**************5948,INVOICE 63895,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000475512,2026-07-03T05:43:56.417,pain.001.001.09,SGD,PAIN00000236166,2026-07-02T12:35:10,1,YHD YJACCAJR,BATCH879942,TRF,2026-07-01,URGNO ARM,**************0888,OCBCSGSG,REF00000553931,2453.38,KJLIWW UFOFAR,**************8850,INVOICE 01836,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000740461,2026-07-08T02:24:37.452,pain.001.001.09,SGD,PAIN00000141141,2026-07-07T05:07:10,1,LUZ YWZAQBGT,BATCH675634,TRF,2026-07-10,JGPVM UVV,**************2156,DBSSSGSG,REF00000510832,7107.67,ZJKRMN IOUQBT,**************2728,INVOICE 16393,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000117801,2026-07-14T11:47:01.142,pain.001.001.09,SGD,PAIN00000575253,2026-07-10T09:19:18,1,UTK IGZKDMTL,BATCH277047,TRF,2026-07-02,LNJMN VJI,**************5964,OCBCSGSG,REF00000574566,144.55,WTFOSL GQWFBM,**************1317,INVOICE 35254,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000228954,2026-07-12T22:36:27.230,pain.001.001.09,SGD,PAIN00000263570,2026-07-12T16:59:43,1,NQC YJIWPSHL,BATCH723808,TRF,2026-07-04,SOSUY EHM,**************6527,DBSSSGSG,REF00000775119,2476.56,JLNTIH KROKVD,**************2107,INVOICE 92188,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000478621,2026-07-02T14:50:53.191,pain.001.001.09,EUR,PAIN00000557274,2026-07-09T01:49:24,1,QEG KXVTNVAQ,BATCH096693,TRF,2026-07-11,UXZFX RIF,**************0133,DBSSSGSG,REF00000488528,890.48,MOIYIO CFQOPV,**************8273,INVOICE 03613,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000222802,2026-07-07T05:09:26.157,pain.001.001.09,USD,PAIN00000353834,2026-07-14T01:55:21,1,WBB UJYGMENT,BATCH972659,TRF,2026-07-09,SCGEJ LJF,**************8656,OCBCSGSG,REF00000133670,587.27,YDQEVJ OBNIVZ,**************3214,INVOICE 55568,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000431285,2026-07-04T02:57:07.442,pain.001.001.09,USD,PAIN00000076647,2026-07-04T01:31:11,1,SRN YPBHSSYP,BATCH087089,TRF,2026-07-08,HZCQM BEI,**************7624,UOVBSGSG,REF00000300302,2865.85,PWSMJS IIELEW,**************9952,INVOICE 54293,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000027700,2026-07-04T19:16:21.896,pain.001.001.09,SGD,PAIN00000595688,2026-07-03T16:34:35,1,MDZ FTBDDEED,BATCH606639,TRF,2026-07-01,SCGEJ LJF,**************6920,OCBCSGSG,REF00000686393,689.71,TBVSUK RKXGCQ,**************8654,INVOICE 85626,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000747456,2026-07-06T19:18:34.464,pain.001.001.09,SGD,PAIN00000722326,2026-07-14T02:53:08,1,PLD RACYGEKM,BATCH088903,TRF,2026-07-05,ITXNV ZJU,**************3022,OCBCSGSG,REF00000513468,369.64,LOHCKB GWJUXM,**************9108,INVOICE 25222,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000431837,2026-07-05T05:16:34.339,pain.001.001.09,EUR,PAIN00000039441,2026-07-13T02:37:24,1,WNH GOIXFLXS,BATCH671585,TRF,2026-07-08,QLVQP XJI,**************5716,UOVBSGSG,REF00000005085,1409.51,ZVFFKT ABZKYQ,**************0012,INVOICE 05566,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000491845,2026-07-03T14:25:32.560,pain.001.001.09,EUR,PAIN00000606720,2026-07-04T15:37:12,1,KTL OYDNCYVJ,BATCH429828,TRF,2026-07-04,UNQDW KEM,**************9909,DBSSSGSG,REF00000435903,1703.15,IPBMAN AUHWUQ,**************1499,INVOICE 97865,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
PAIN00000252447,2026-07-08T15:00:55.342,pain.001.001.09,USD,PAIN00000661821,2026-07-01T02:17:41,1,SRZ CSCQLLWP,BATCH858305,TRF,2026-07-01,IUGLD WWZ,**************8032,OCBCSGSG,REF00000208800,1985.36,TFERCW KFAVVB,**************8526,INVOICE 70642,urn:iso:std:iso:20022:tech:xsd:pain.001.001.09,mx
