_msg_id,_ts,_msg_type,FIToFICstmrCdtTrf.CdtTrfTxInf.IntrBkSttlmAmt@Ccy,FIToFICstmrCdtTrf.GrpHdr.MsgId,FIToFICstmrCdtTrf.GrpHdr.CreDtTm,FIToFICstmrCdtTrf.GrpHdr.NbOfTxs,FIToFICstmrCdtTrf.GrpHdr.SttlmInf.SttlmMtd,FIToFICstmrCdtTrf.CdtTrfTxInf.PmtId.EndToEndId,FIToFICstmrCdtTrf.CdtTrfTxInf.PmtId.UETR,FIToFICstmrCdtTrf.CdtTrfTxInf.IntrBkSttlmAmt,FIToFICstmrCdtTrf.CdtTrfTxInf.ChrgBr,FIToFICstmrCdtTrf.CdtTrfTxInf.Dbtr.Nm,FIToFICstmrCdtTrf.CdtTrfTxInf.DbtrAcct.Id.Othr.Id,FIToFICstmrCdtTrf.CdtTrfTxInf.DbtrAgt.FinInstnId.BICFI,FIToFICstmrCdtTrf.CdtTrfTxInf.Cdtr.Nm,FIToFICstmrCdtTrf.CdtTrfTxInf.CdtrAcct.Id.Othr.Id,FIToFICstmrCdtTrf.CdtTrfTxInf.CdtrAgt.FinInstnId.BICFI,FIToFICstmrCdtTrf.CdtTrfTxInf.RmtInf.Ustrd,_ns,_format
MSG00000207482,2026-07-07T15:23:30.916,pacs.008.001.08,MYR,MSG00000620058,2026-07-02T06:57:36,1,CLRG,REF00000200260,da7f9f00-3e7c-61dc-d552-572c1480b180,994.87,SLEV,BNPAW YJFH,**************2317,OCBCSGSG,TPSBJH OOFI,**************2101,MAYBMYKL,INVOICE 53326,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000442491,2026-07-04T03:09:59.062,pacs.008.001.08,SGD,MSG00000669956,2026-07-12T23:52:33,1,CLRG,REF00000214880,5d909a65-9f0d-da93-da1d-5c3a63c2a42a,1305.45,SLEV,XTPIY CCTO,**************5474,DBSSSGSG,YTALBS TGDZ,**************0390,MAYBMYKL,INVOICE 19677,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000249145,2026-07-12T20:10:10.359,pacs.008.001.08,SGD,MSG00000468376,2026-07-02T16:33:04,1,CLRG,REF00000086494,e518c91a-6273-0220-bd0c-262babcb3044,826.35,SLEV,OLWXE DBIS,**************1991,DBSSSGSG,FBTKRT PTCQ,**************5840,MAYBMYKL,INVOICE 81224,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000763885,2026-07-01T15:18:53.176,pacs.008.001.08,EUR,MSG00000054279,2026-07-01T21:47:50,1,CLRG,REF00000768631,db0da657-5df4-fc98-4b48-7954e18db1b0,4848.58,SHAR,QBGTJ GPVM,**************7341,OCBCSGSG,UVVZJK RMNI,**************3379,CITIUS33,INVOICE 72512,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000549235,2026-07-02T06:35:44.295,pacs.008.001.08,MYR,MSG00000282427,2026-07-07T19:06:28,1,CLRG,REF00000726469,e1a86a3c-bd9c-985e-651c-47c9bd87aea3,666.14,SLEV,UXZFX RIFM,**************8625,OCBCSGSG,OIYIOC FQOP,**************9473,HSBCGB2L,INVOICE 61965,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000223374,2026-07-06T09:43:16.875,pacs.008.001.08,EUR,MSG00000055012,2026-07-08T23:31:45,1,CLRG,REF00000713122,1196c4d2-49b9-df17-c351-3443fb30264a,986.49,SHAR,MITXN VZJU,**************9923,OCBCSGSG,LOHCKB GWJU,**************1702,MAYBMYKL,INVOICE 31594,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000374094,2026-07-14T21:59:50.878,pacs.008.001.08,SGD,MSG00000268111,2026-07-12T13:01:17,1,CLRG,REF00000696602,cbf9855a-1aab-3d29-3a4c-f1c0d0722bbf,756.87,SLEV,BUBAV ATRV,**************0450,DBSSSGSG,KJSNWS VFMM,**************9717,CITIUS33,INVOICE 62525,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000435171,2026-07-10T03:02:33.704,pacs.008.001.08,SGD,MSG00000306884,2026-07-06T21:03:04,1,CLRG,REF00000345429,73c87892-9aad-1eda-6680-0e08d01dd52e,1308.12,SHAR,HSBHU DIAG,**************9149,UOVBSGSG,LOHCKB GWJU,**************1618,CITIUS33,INVOICE 68731,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000645790,2026-07-02T21:45:35.089,pacs.008.001.08,USD,MSG00000577110,2026-07-11T17:13:05,1,CLRG,REF00000348864,cc0643a3-23e1-cc6a-11dd-7eeba9f38fbe,1597.86,SLEV,KDEFZ DINJ,**************9151,DBSSSGSG,ALOHVY ANNP,**************9455,MAYBMYKL,INVOICE 10457,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000109495,2026-07-06T18:24:59.572,pacs.008.001.08,MYR,MSG00000663367,2026-07-12T04:48:45,1,CLRG,REF00000710455,e8821fae-1716-3ccb-3864-b8f1e1d06395,1229.29,SLEV,IQWNZ TFJP,**************5935,DBSSSGSG,YCQCGK ODOS,**************9190,CITIUS33,INVOICE 95855,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000095981,2026-07-12T19:52:02.267,pacs.008.001.08,USD,MSG00000368073,2026-07-13T19:45:11,1,CLRG,REF00000023898,3ffc992d-194f-fa77-3c32-1c97c5664730,600.96,SLEV,YJIQG EBST,**************7485,UOVBSGSG,JMKXOU HFYE,**************1427,MAYBMYKL,INVOICE 38961,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000582939,2026-07-08T12:47:33.132,pacs.008.001.08,SGD,MSG00000045527,2026-07-13T12:55:05,1,CLRG,REF00000309236,df4a54fe-b576-8bf9-c2bc-c76b8544d8e8,4462.55,SLEV,NHMMC CKJX,**************6853,OCBCSGSG,TUBBDW ACPW,**************3295,HSBCGB2L,INVOICE 55206,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000178408,2026-07-04T10:29:05.868,pacs.008.001.08,MYR,MSG00000372184,2026-07-14T11:12:40,1,CLRG,REF00000032378,8785323a-b94e-3de3-5e4b-6704bb507146,238.92,SLEV,ZYCJK XUML,**************3810,OCBCSGSG,YCQCGK ODOS,**************9832,HSBCGB2L,INVOICE 36026,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000322958,2026-07-10T22:35:22.978,pacs.008.001.08,USD,MSG00000627716,2026-07-14T23:22:09,1,CLRG,REF00000487567,288bc421-7143-ebac-d9a5-be29de736ce8,985.4,SHAR,IDJNL DIOL,**************7157,UOVBSGSG,OIYIOC FQOP,**************5995,HSBCGB2L,INVOICE 46517,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000777128,2026-07-05T14:59:56.490,pacs.008.001.08,SGD,MSG00000526309,2026-07-08T00:37:28,1,CLRG,REF00000333705,93e39bf5-1cba-b8e7-01f3-368bd6198bce,74.65,SLEV,KHFNZ AIPJ,**************4662,OCBCSGSG,KFAVVB UCYZ,**************6892,CITIUS33,INVOICE 63685,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000230341,2026-07-04T05:59:34.211,pacs.008.001.08,SGD,MSG00000542586,2026-07-07T09:31:06,1,CLRG,REF00000417450,9a8bc595-402a-039f-fd71-dcd8a3d509c0,3355.78,SLEV,WRZTX PCIF,**************0209,OCBCSGSG,PIWUFY BZUU,**************8079,HSBCGB2L,INVOICE 21487,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000781465,2026-07-06T02:56:06.063,pacs.008.001.08,USD,MSG00000117690,2026-07-11T15:56:12,1,CLRG,REF00000548617,cc11aa19-73c4-6df8-ee51-2e4287c7da06,3182.43,SLEV,YEGKQ JVLV,**************8890,OCBCSGSG,LHRTYR QFVI,**************5631,CITIUS33,INVOICE 41354,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000638394,2026-07-04T02:31:15.709,pacs.008.001.08,SGD,MSG00000294426,2026-07-11T17:58:25,1,CLRG,REF00000598533,1a384301-7400-fab4-4e8b-f83e807ee819,365.11,SLEV,RIXTH PMIZ,**************4165,DBSSSGSG,JRQBSQ YFTB,**************3380,HSBCGB2L,INVOICE 27062,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000236079,2026-07-05T05:26:23.890,pacs.008.001.08,SGD,MSG00000254349,2026-07-11T06:06:00,1,CLRG,REF00000359502,23a1cb8f-6c1f-35da-223e-f46098754420,1286.45,SHAR,PNWHF INNC,**************0155,UOVBSGSG,QELVQK IYRE,**************7568,HSBCGB2L,INVOICE 43993,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000143545,2026-07-13T16:56:43.184,pacs.008.001.08,SGD,MSG00000441167,2026-07-02T04:02:12,1,CLRG,REF00000180848,bd19204d-9c43-7f3d-8434-ca6c1212ecd8,207.42,SLEV,NIYSJ FFJJ,**************9063,DBSSSGSG,JRQBSQ YFTB,**************0453,MAYBMYKL,INVOICE 61754,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000303028,2026-07-08T12:13:43.109,pacs.008.001.08,SGD,MSG00000717565,2026-07-04T08:52:06,1,CLRG,REF00000668950,67a338ea-9d1a-8451-108b-58bb331ea9d6,1398.7,SLEV,YTVAE EQNI,**************8848,OCBCSGSG,AQSQGD UZKN,**************0270,MAYBMYKL,INVOICE 81632,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000512897,2026-07-07T15:09:57.391,pacs.008.001.08,USD,MSG00000311271,2026-07-01T15:51:42,1,CLRG,REF00000323616,7def1233-88e2-284b-b210-9013fb65a411,1221.89,SLEV,YJIQG EBST,**************2143,DBSSSGSG,OIYIOC FQOP,**************9236,CITIUS33,INVOICE 74650,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000348675,2026-07-14T16:01:38.449,pacs.008.001.08,SGD,MSG00000612288,2026-07-12T14:39:39,1,CLRG,REF00000538162,f3738959-0e24-2f0f-da65-a249bfd99c24,2216.36,SLEV,JSSZJ USNG,**************5862,DBSSSGSG,VXHNSG IQKL,**************2265,MAYBMYKL,INVOICE 78016,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000171784,2026-07-07T07:32:22.210,pacs.008.001.08,USD,MSG00000752289,2026-07-14T17:43:34,1,CLRG,REF00000744323,74a86692-027d-ab4d-92b1-9a467beabc71,493.41,SHAR,MSQTY DDWO,**************7038,OCBCSGSG,LHRTYR QFVI,**************5336,MAYBMYKL,INVOICE 28910,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000696125,2026-07-14T00:26:24.181,pacs.008.001.08,MYR,MSG00000745153,2026-07-11T00:30:59,1,CLRG,REF00000432794,40e58e89-6bb3-c17e-06c7-3213916ed543,241.07,SLEV,LHKED RIEH,**************4063,OCBCSGSG,WVMSAH DHUA,**************9204,MAYBMYKL,INVOICE 54560,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000062985,2026-07-10T19:33:32.925,pacs.008.001.08,MYR,MSG00000568652,2026-07-09T09:32:23,1,CLRG,REF00000280287,f5e9978a-2d8d-28f5-49aa-a4696e10fcbc,179.13,SLEV,UTWYP KFOU,**************3834,OCBCSGSG,VXHNSG IQKL,**************6594,MAYBMYKL,INVOICE 36703,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000190165,2026-07-09T10:39:47.578,pacs.008.001.08,SGD,MSG00000566261,2026-07-10T14:59:19,1,CLRG,REF00000208509,7c604be2-4c25-d51a-ed95-724b7c4a3f69,81.61,SLEV,VAQLG UHRA,**************9945,UOVBSGSG,RULUFS BTUB,**************0703,CITIUS33,INVOICE 75168,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000066396,2026-07-05T23:41:17.454,pacs.008.001.08,EUR,MSG00000127469,2026-07-13T17:48:32,1,CLRG,REF00000626450,335b7b5a-4a49-eab0-d189-f403387d8360,942.19,SLEV,EANGU JBQG,**************6393,OCBCSGSG,WVMSAH DHUA,**************8654,CITIUS33,INVOICE 33174,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000483078,2026-07-08T16:59:57.335,pacs.008.001.08,MYR,MSG00000747449,2026-07-13T01:05:39,1,CLRG,REF00000332328,d42241cc-d7de-4689-0114-82898603721e,1288.23,SHAR,MVYBB KTCF,**************2285,OCBCSGSG,TKDMUT FGZK,**************3918,MAYBMYKL,INVOICE 10675,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000400120,2026-07-12T06:36:00.782,pacs.008.001.08,SGD,MSG00000207825,2026-07-04T06:00:45,1,CLRG,REF00000181395,603d6a10-4ffc-7bb8-e92d-d59bfd73dba9,4062.2,SLEV,WPMYZ HWJQ,**************4762,OCBCSGSG,NCMXJB UKFI,**************2323,HSBCGB2L,INVOICE 42197,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000385737,2026-07-12T06:13:01.877,pacs.008.001.08,USD,MSG00000080411,2026-07-05T17:17:32,1,CLRG,REF00000464585,8723e71e-e13e-7154-3985-b8fec4de20e1,2138.44,SLEV,KEDZT FJZN,**************6195,UOVBSGSG,LOHCKB GWJU,**************9533,HSBCGB2L,INVOICE 37750,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000559952,2026-07-14T10:38:37.005,pacs.008.001.08,SGD,MSG00000107523,2026-07-10T03:25:39,1,CLRG,REF00000367678,ea73dc8a-17bf-a514-571c-fe0314b542fb,568.75,SHAR,NFDNS TGDG,**************8388,UOVBSGSG,BJNFZJ LVFB,**************8077,CITIUS33,INVOICE 90873,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000129368,2026-07-04T19:48:36.530,pacs.008.001.08,USD,MSG00000322960,2026-07-12T12:56:41,1,CLRG,REF00000185316,c866bcb4-257a-0b7e-68f5-64e3a5b2d059,721.84,SLEV,BRONG TCUW,**************7662,UOVBSGSG,YTALBS TGDZ,**************6162,CITIUS33,INVOICE 52632,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000570367,2026-07-14T04:16:15.542,pacs.008.001.08,SGD,MSG00000495831,2026-07-02T00:50:18,1,CLRG,REF00000492783,61d40eff-2cae-bf0f-2b32-cdabcdec5e23,1791.19,SLEV,DBJQG SWKF,**************6141,UOVBSGSG,PJSIFL HXCP,**************9250,CITIUS33,INVOICE 75350,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000038362,2026-07-02T04:21:34.644,pacs.008.001.08,SGD,MSG00000730836,2026-07-11T02:20:15,1,CLRG,REF00000388024,2947c929-7fc1-1344-eca3-8b8aa8ec9d4d,4016.7,SLEV,RJZSR PZTY,**************0327,OCBCSGSG,BJNFZJ LVFB,**************6780,MAYBMYKL,INVOICE 25820,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000439911,2026-07-06T21:50:17.426,pacs.008.001.08,SGD,MSG00000430352,2026-07-02T10:58:51,1,CLRG,REF00000556518,c4f6d66a-0bf8-bef7-57f4-0c8d82873066,1602.55,SLEV,YDENN GLSS,**************1737,DBSSSGSG,PPQOXX ZXLT,**************2540,HSBCGB2L,INVOICE 73518,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000785998,2026-07-06T20:16:42.404,pacs.008.001.08,SGD,MSG00000041210,2026-07-12T17:08:50,1,CLRG,REF00000441157,bde1d05b-10a3-01e8-2e28-54d324821ffe,4078.58,SLEV,EKWSC AJYZ,**************4193,UOVBSGSG,ESMLJZ NHRC,**************5416,HSBCGB2L,INVOICE 13865,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000123954,2026-07-12T04:13:42.325,pacs.008.001.08,USD,MSG00000369574,2026-07-01T22:06:19,1,CLRG,REF00000251577,72057782-6f96-1ac1-b285-ebfa8bfb0936,1677.18,SLEV,OSGPY ECLI,**************7265,UOVBSGSG,JMKXOU HFYE,**************2472,MAYBMYKL,INVOICE 36632,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000441492,2026-07-13T08:06:51.087,pacs.008.001.08,SGD,MSG00000655419,2026-07-12T22:40:29,1,CLRG,REF00000472418,196b61f4-e97f-f0cd-8153-aad0f6d1d4a8,2315.62,SHAR,YTVAE EQNI,**************2590,DBSSSGSG,HJNAYM HPUA,**************3553,MAYBMYKL,INVOICE 73703,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000477875,2026-07-12T15:43:07.984,pacs.008.001.08,USD,MSG00000256039,2026-07-14T13:21:32,1,CLRG,REF00000656133,5e616bee-7d17-ca7a-cc54-2ed2882e70a9,1891.48,SLEV,PQRNC XSMA,**************0398,OCBCSGSG,BRELYM CKWT,**************6543,HSBCGB2L,INVOICE 55683,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
