_msg_id,_ts,_msg_type,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.CdtDbtInd,BkToCstmrDbtCdtNtfctn.GrpHdr.MsgId,BkToCstmrDbtCdtNtfctn.GrpHdr.CreDtTm,BkToCstmrDbtCdtNtfctn.Ntfctn.Id,BkToCstmrDbtCdtNtfctn.Ntfctn.Acct.Id.Othr.Id,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.Amt,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.Amt@Ccy,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.Sts.Cd,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.BookgDt.Dt,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.NtryDtls.TxDtls.Refs.EndToEndId,_ns,_format
NTFN00000155,2026-07-05T00:09:41.217,camt.054.001.08,CRDT,NTFN00000703,2026-07-08T06:37:42,NTF00000505,**************5396,232.72,USD,BOOK,2026-07-02,REF00000217467,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000407,2026-07-02T01:38:27.572,camt.054.001.08,DBIT,NTFN00000326,2026-07-06T15:44:31,NTF00000020,**************0981,946.04,SGD,BOOK,2026-07-13,REF00000077898,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000528,2026-07-03T03:08:19.289,camt.054.001.08,DBIT,NTFN00000173,2026-07-01T18:47:27,NTF00000172,**************2665,195.59,EUR,BOOK,2026-07-02,REF00000774488,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000220,2026-07-08T23:27:15.491,camt.054.001.08,DBIT,NTFN00000394,2026-07-13T08:30:18,NTF00000412,**************5871,104.13,EUR,BOOK,2026-07-02,REF00000069219,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000595,2026-07-04T23:42:16.173,camt.054.001.08,DBIT,NTFN00000685,2026-07-08T08:45:53,NTF00000534,**************6689,71.52,SGD,BOOK,2026-07-06,REF00000530519,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000724,2026-07-05T10:22:33.553,camt.054.001.08,CRDT,NTFN00000088,2026-07-04T16:13:10,NTF00000607,**************7510,339.72,SGD,BOOK,2026-07-04,REF00000339459,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000352,2026-07-05T21:49:00.225,camt.054.001.08,CRDT,NTFN00000187,2026-07-10T12:43:50,NTF00000563,**************9237,724.04,USD,BOOK,2026-07-04,REF00000697216,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000485,2026-07-04T11:38:32.889,camt.054.001.08,DBIT,NTFN00000417,2026-07-14T09:55:06,NTF00000234,**************6895,1540.53,SGD,BOOK,2026-07-10,REF00000624524,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000220,2026-07-12T16:17:23.586,camt.054.001.08,DBIT,NTFN00000242,2026-07-11T04:18:28,NTF00000448,**************4089,390.86,SGD,BOOK,2026-07-03,REF00000420146,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000533,2026-07-05T08:25:12.085,camt.054.001.08,CRDT,NTFN00000117,2026-07-09T11:33:46,NTF00000410,**************9641,1219.71,SGD,BOOK,2026-07-10,REF00000700544,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000488,2026-07-02T11:41:51.087,camt.054.001.08,CRDT,NTFN00000466,2026-07-04T14:33:47,NTF00000667,**************6735,8030.97,USD,BOOK,2026-07-07,REF00000483233,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000268,2026-07-04T17:51:14.079,camt.054.001.08,CRDT,NTFN00000084,2026-07-02T16:47:56,NTF00000223,**************3143,1119.53,USD,BOOK,2026-07-09,REF00000253381,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000341,2026-07-11T10:05:43.691,camt.054.001.08,DBIT,NTFN00000714,2026-07-02T21:35:31,NTF00000015,**************5746,378.72,SGD,BOOK,2026-07-05,REF00000350906,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000030,2026-07-11T21:08:44.865,camt.054.001.08,DBIT,NTFN00000126,2026-07-13T20:27:17,NTF00000038,**************4413,1915.47,USD,BOOK,2026-07-01,REF00000707894,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000402,2026-07-06T15:53:05.251,camt.054.001.08,DBIT,NTFN00000259,2026-07-11T13:50:33,NTF00000057,**************7531,988.29,USD,BOOK,2026-07-06,REF00000559627,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000606,2026-07-10T03:09:36.232,camt.054.001.08,DBIT,NTFN00000139,2026-07-14T11:08:37,NTF00000656,**************0327,3729.03,SGD,BOOK,2026-07-06,REF00000459433,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000495,2026-07-02T11:49:43.886,camt.054.001.08,DBIT,NTFN00000543,2026-07-01T09:40:03,NTF00000297,**************5645,390.84,MYR,BOOK,2026-07-06,REF00000135281,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000721,2026-07-05T16:10:55.417,camt.054.001.08,CRDT,NTFN00000238,2026-07-14T00:05:01,NTF00000460,**************2285,490.51,SGD,BOOK,2026-07-02,REF00000211702,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000410,2026-07-10T21:46:43.868,camt.054.001.08,CRDT,NTFN00000032,2026-07-01T14:45:08,NTF00000285,**************8164,238.01,USD,BOOK,2026-07-12,REF00000419951,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000441,2026-07-05T09:43:51.524,camt.054.001.08,CRDT,NTFN00000717,2026-07-08T09:43:26,NTF00000602,**************0450,326.73,USD,BOOK,2026-07-03,REF00000268111,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000585,2026-07-13T18:23:12.786,camt.054.001.08,CRDT,NTFN00000034,2026-07-04T03:01:51,NTF00000127,**************5322,483.74,MYR,BOOK,2026-07-01,REF00000153497,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000034,2026-07-01T03:48:45.364,camt.054.001.08,DBIT,NTFN00000596,2026-07-03T18:22:19,NTF00000345,**************4543,322.43,USD,BOOK,2026-07-12,REF00000250312,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000797,2026-07-11T17:15:10.220,camt.054.001.08,DBIT,NTFN00000087,2026-07-08T02:32:54,NTF00000046,**************7184,772.56,USD,BOOK,2026-07-07,REF00000129325,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000291,2026-07-11T21:06:03.152,camt.054.001.08,CRDT,NTFN00000210,2026-07-02T19:47:25,NTF00000438,**************9577,487.53,SGD,BOOK,2026-07-02,REF00000497496,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000716,2026-07-09T23:18:14.750,camt.054.001.08,DBIT,NTFN00000104,2026-07-02T09:03:55,NTF00000136,**************4109,501.06,USD,BOOK,2026-07-07,REF00000712859,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000695,2026-07-01T08:13:23.825,camt.054.001.08,CRDT,NTFN00000788,2026-07-14T14:36:58,NTF00000673,**************5855,578.23,EUR,BOOK,2026-07-04,REF00000797889,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000086,2026-07-14T11:34:03.417,camt.054.001.08,CRDT,NTFN00000257,2026-07-10T07:28:34,NTF00000043,**************8130,6335.71,USD,BOOK,2026-07-03,REF00000185204,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000680,2026-07-04T07:29:32.741,camt.054.001.08,DBIT,NTFN00000597,2026-07-12T23:49:59,NTF00000578,**************3392,576.8,SGD,BOOK,2026-07-01,REF00000122225,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000725,2026-07-10T02:18:23.253,camt.054.001.08,CRDT,NTFN00000504,2026-07-12T23:24:18,NTF00000233,**************3485,867.51,SGD,BOOK,2026-07-14,REF00000044930,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000567,2026-07-08T11:11:17.690,camt.054.001.08,CRDT,NTFN00000062,2026-07-04T01:57:08,NTF00000681,**************4551,151.13,USD,BOOK,2026-07-04,REF00000664283,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000503,2026-07-13T08:58:38.049,camt.054.001.08,DBIT,NTFN00000172,2026-07-13T07:36:52,NTF00000161,**************5712,1899.44,USD,BOOK,2026-07-06,REF00000035040,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000443,2026-07-04T15:26:01.356,camt.054.001.08,DBIT,NTFN00000207,2026-07-11T07:19:51,NTF00000697,**************8576,496.09,USD,BOOK,2026-07-04,REF00000409114,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000318,2026-07-08T00:25:42.739,camt.054.001.08,DBIT,NTFN00000258,2026-07-12T03:34:00,NTF00000126,**************5385,412.73,EUR,BOOK,2026-07-08,REF00000446517,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000081,2026-07-04T10:02:10.401,camt.054.001.08,DBIT,NTFN00000128,2026-07-07T08:46:39,NTF00000096,**************3477,1506.76,MYR,BOOK,2026-07-13,REF00000333705,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000036,2026-07-14T01:01:56.822,camt.054.001.08,CRDT,NTFN00000392,2026-07-04T09:01:38,NTF00000207,**************3099,1394.35,SGD,BOOK,2026-07-09,REF00000198206,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000719,2026-07-12T13:56:20.101,camt.054.001.08,DBIT,NTFN00000541,2026-07-14T02:10:49,NTF00000443,**************2303,151.79,SGD,BOOK,2026-07-07,REF00000657310,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000080,2026-07-01T21:19:18.661,camt.054.001.08,CRDT,NTFN00000101,2026-07-11T10:13:15,NTF00000258,**************4637,585.31,SGD,BOOK,2026-07-09,REF00000036426,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000766,2026-07-11T12:42:59.489,camt.054.001.08,CRDT,NTFN00000669,2026-07-02T10:26:49,NTF00000040,**************8958,358.09,USD,BOOK,2026-07-06,REF00000783283,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000094,2026-07-08T16:35:12.684,camt.054.001.08,DBIT,NTFN00000553,2026-07-06T06:26:47,NTF00000036,**************2398,96.71,SGD,BOOK,2026-07-01,REF00000508044,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NTFN00000395,2026-07-14T08:05:37.559,camt.054.001.08,DBIT,NTFN00000431,2026-07-07T23:57:44,NTF00000517,**************3850,410.49,USD,BOOK,2026-07-10,REF00000158433,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
