_msg_id,_ts,_msg_type,FICdtTrf.CdtTrfTxInf.IntrBkSttlmAmt@Ccy,FICdtTrf.GrpHdr.MsgId,FICdtTrf.GrpHdr.CreDtTm,FICdtTrf.GrpHdr.NbOfTxs,FICdtTrf.GrpHdr.SttlmInf.SttlmMtd,FICdtTrf.CdtTrfTxInf.PmtId.EndToEndId,FICdtTrf.CdtTrfTxInf.PmtId.UETR,FICdtTrf.CdtTrfTxInf.IntrBkSttlmAmt,FICdtTrf.CdtTrfTxInf.Dbtr.FinInstnId.BICFI,FICdtTrf.CdtTrfTxInf.Cdtr.FinInstnId.BICFI,_ns,_format,FICdtTrf.CdtTrfTxInf.UndrlygCstmrCdtTrf.Dbtr.Nm,FICdtTrf.CdtTrfTxInf.UndrlygCstmrCdtTrf.DbtrAcct.Id.Othr.Id,FICdtTrf.CdtTrfTxInf.UndrlygCstmrCdtTrf.Cdtr.Nm,FICdtTrf.CdtTrfTxInf.UndrlygCstmrCdtTrf.CdtrAcct.Id.Othr.Id,FICdtTrf.CdtTrfTxInf.UndrlygCstmrCdtTrf.RmtInf.Ustrd
MSG00000532298,2026-07-04T09:49:58.716,pacs.009.001.08,USD,MSG00000454297,2026-07-10T21:32:28,1,INDA,REF00000034405,110073c8-8922-aadf-eda6-680d0e08d01d,19176,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,LXSNQPY TSP,**************9149,NFCOHS BHU,**************7435,INVOICE 34610
MSG00000046875,2026-07-03T21:32:09.671,pacs.009.001.08,USD,MSG00000348864,2026-07-14T14:01:45,1,INDA,REF00000184405,3806cc06-3a32-3e16-c6aa-1dde7eeba9f3,7555,DBSSSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,WPMYZHW JQK,**************9151,QIPLOK DEF,**************4969,INVOICE 85945
MSG00000383214,2026-07-01T07:33:49.676,pacs.009.001.08,SGD,MSG00000455569,2026-07-04T12:17:55,1,INDA,REF00000071413,38d9e882-fae3-7162-ccba-864bb8f1e1d0,165674,UOVBSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,GDUJFIQ WNZ,**************9195,TFJPYC QCG,**************0949,INVOICE 90389
MSG00000797889,2026-07-02T02:01:44.262,pacs.009.001.08,USD,MSG00000389861,2026-07-07T13:59:53,1,INDA,REF00000584532,ae3e3ffc-92d7-94f8-a77e-c3261c97c566,124231,UOVBSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,EHDWAYJ IQG,**************8566,EBSTJM KXO,**************0959,INVOICE 32142
MSG00000680805,2026-07-13T21:19:22.452,pacs.009.001.08,SGD,MSG00000236454,2026-07-12T02:02:16,1,INDA,REF00000127396,754df4a5-feab-7638-f96c-bccc76b8544d,24815,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,IROINHM MCC,**************7635,KJXTUB BDW,**************5829,INVOICE 13295
MSG00000551526,2026-07-02T06:40:31.986,pacs.009.001.08,EUR,MSG00000250323,2026-07-08T02:20:31,1,INDA,REF00000062976,02f87853-3a0b-4ee3-e3f5-4b06704bb507,113105,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,BEVWYGZ YCJ,**************3343,KXUMLC IIV,**************9947,INVOICE 12234
MSG00000769789,2026-07-14T09:33:01.157,pacs.009.001.08,SGD,MSG00000114368,2026-07-06T20:40:16,1,INDA,REF00000749478,bc421771-3deb-c1d9-52be-9de736ce8839,70050,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,NLDIOLJ XDO,**************1273,XDTJTU VTL,**************9207,INVOICE 61260
MSG00000741934,2026-07-04T10:42:14.496,pacs.009.001.08,SGD,MSG00000757955,2026-07-02T20:27:24,1,INDA,REF00000230960,f561cba1-8e7e-1f3a-68bd-198bcea75d08,82440,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,PJQJSSK QYU,**************3001,IRLQXM FYJ,**************7247,INVOICE 22894
MSG00000343198,2026-07-06T22:15:14.334,pacs.009.001.08,SGD,MSG00000023034,2026-07-03T09:07:28,1,INDA,REF00000017824,53402aa0-9faf-714d-d8a3-509c0f285f85,47905,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,YBZUUWM MUY,**************4502,IWPSHL QCU,**************5234,INVOICE 31002
MSG00000171015,2026-07-04T08:07:04.496,pacs.009.001.08,EUR,MSG00000406458,2026-07-02T08:34:49,1,INDA,REF00000642649,11aa19b7-c4d6-f81e-51c2-4287c7da0646,90497,DBSSSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,KQJVLVL HRT,**************5824,YRQFVI BSZ,**************1542,INVOICE 64566
MSG00000323985,2026-07-06T13:00:22.368,pacs.009.001.08,SGD,MSG00000139507,2026-07-09T00:47:23,1,INDA,REF00000455339,a384301b-400d-ab4f-e8bb-83e807ee8198,834439,DBSSSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,XTHPMIZ JRQ,**************1397,BSQYFT BXC,**************7645,INVOICE 85049
MSG00000014975,2026-07-09T02:18:12.467,pacs.009.001.08,SGD,MSG00000536196,2026-07-12T23:56:14,1,INDA,REF00000692774,3a1cb8f8-c1fb-5da4-23eb-46098754420f,59921,DBSSSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,TDBBZVI NKK,**************7257,OLWXED BIS,**************1612,INVOICE 25663
MSG00000222944,2026-07-12T06:52:45.531,pacs.009.001.08,SGD,MSG00000435453,2026-07-04T19:25:35,1,INDA,REF00000126760,d758dd24-a84b-1920-d69c-3e7f3d384348,126975,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,MVKQGMB CBU,**************8084,COMNIN IYS,**************9974,INVOICE 06906
MSG00000754309,2026-07-06T16:07:32.392,pacs.009.001.08,MYR,MSG00000591530,2026-07-05T01:21:10,1,INDA,REF00000343275,9559967a-38ea-9d1a-8451-108bf58bb331,209903,UOVBSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,SYVOKJN SWT,**************1954,NFCOHS BHU,**************3861,INVOICE 02072
MSG00000684158,2026-07-03T09:13:39.666,pacs.009.001.08,EUR,MSG00000761713,2026-07-13T17:20:31,1,INDA,REF00000524835,6044d806-ad7d-f123-a88e-9284b0b210e9,47802,UOVBSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,AZBDYPL WGF,**************5848,KVEBBP DRH,**************8945,INVOICE 36166
MSG00000351574,2026-07-01T09:33:55.201,pacs.009.001.08,MYR,MSG00000506046,2026-07-08T03:03:54,1,INDA,REF00000438628,3895900e-462f-feda-56a2-9bfd99c2499d,257254,UOVBSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,GVXHNSG IQK,**************3163,LVHEKI GQG,**************9105,INVOICE 07205
MSG00000178016,2026-07-10T03:23:06.303,pacs.009.001.08,USD,MSG00000714044,2026-07-11T14:17:39,1,INDA,REF00000557525,92f027d0-b4d3-2b14-a467-eabc71c33e40,141695,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,QOQWFIO IQU,**************5274,JXAGLL DRW,**************0475,INVOICE 41317
MSG00000289102,2026-07-12T15:18:28.550,pacs.009.001.08,SGD,MSG00000436650,2026-07-13T18:53:12,1,INDA,REF00000456723,cc17e006-7d32-3916-d543-7a43847c0737,47896,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,UAPSYFR XOS,**************4602,KJXTUB BDW,**************2407,INVOICE 65277
MSG00000254560,2026-07-09T11:53:31.912,pacs.009.001.08,SGD,MSG00000334711,2026-07-01T08:42:57,1,INDA,REF00000636214,9978a02d-d928-5e49-a9a4-96e10fcbcfa5,133789,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,OUHMQGA ELO,**************1222,VMFBCS PFC,**************8273,INVOICE 57645
MSG00000703404,2026-07-08T23:56:39.902,pacs.009.001.08,EUR,MSG00000431285,2026-07-08T02:20:31,1,INDA,REF00000552402,2d4c256d-1a1e-95f7-4b7c-a3f69b511335,30052,UOVBSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,EHDWAYJ IQG,**************0766,PQOXXZ XLT,**************2437,INVOICE 94408
MSG00000475168,2026-07-02T18:19:54.468,pacs.009.001.08,EUR,MSG00000688463,2026-07-04T23:46:09,1,INDA,REF00000305296,b7b5a24a-91ea-08d1-94f4-3387d836040d,10795,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,GUJBQGN ECC,**************4743,KVEBBP DRH,**************7700,INVOICE 50523
MSG00000011331,2026-07-07T18:03:18.738,pacs.009.001.08,SGD,MSG00000272401,2026-07-06T10:25:40,1,INDA,REF00000060401,41ccdd7d-4468-3011-c828-8603721ec11a,97103,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,TCFTKDM UTF,**************4687,GZKGTA DVZ,**************0889,INVOICE 82991
MSG00000039441,2026-07-13T23:27:27.697,pacs.009.001.08,USD,MSG00000143808,2026-07-13T14:28:55,1,INDA,REF00000158582,d6a1054f-c17b-83e9-d7d5-bfd73dba9d2c,117296,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,AZBDYPL WGF,**************9054,XJBUKF IRW,**************1370,INVOICE 95716
MSG00000421978,2026-07-07T01:30:06.583,pacs.009.001.08,SGD,MSG00000560399,2026-07-02T16:47:56,1,INDA,REF00000590498,8723e71e-e13e-7154-3985-b8fec4de20e1,56721,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,KEDZTFJ ZNO,**************3857,COMNIN IYS,**************8148,INVOICE 47982
MSG00000088000,2026-07-07T19:28:12.451,pacs.009.001.08,SGD,MSG00000062115,2026-07-13T15:01:24,1,INDA,REF00000526876,a73dc8ae-7bf1-5144-71ce-e0314b542fbd,134624,UOVBSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,EEBTFER CWK,**************5668,QBGTJG PVM,**************1787,INVOICE 57926
MSG00000275741,2026-07-08T21:23:14.817,pacs.009.001.08,SGD,MSG00000368242,2026-07-10T08:04:27,1,INDA,REF00000104987,53d63619-59b5-c866-cb48-57ae0b7eb68f,74272,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,GVXHNSG IQK,**************3160,FZUNGE ODT,**************4297,INVOICE 46776
MSG00000001625,2026-07-08T20:48:52.243,pacs.009.001.08,MYR,MSG00000570367,2026-07-13T08:19:51,1,INDA,REF00000291824,a5b2d059-ed62-1d40-ff32-ae9bf0f12b32,87585,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,ZMWYRXM RNK,**************7836,LMQRSR QXS,**************7251,INVOICE 74656
MSG00000500948,2026-07-07T16:25:18.579,pacs.009.001.08,SGD,MSG00000702203,2026-07-09T22:19:43,1,INDA,REF00000147402,dec5e233-96a5-985b-2f29-7c929a7fc171,89311,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,ZMWYRXM RNK,**************8802,DTVEES DTO,**************6007,INVOICE 63987
MSG00000330617,2026-07-05T16:56:25.532,pacs.009.001.08,SGD,MSG00000145871,2026-07-01T08:42:57,1,INDA,REF00000103085,ca388b8a-8ec9-4d9f-4f6d-6a00bf89bef7,71951,DBSSSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,DFHPEEA UMS,**************8357,IYYNIC RIH,**************3998,INVOICE 06972
MSG00000237351,2026-07-06T07:31:43.601,pacs.009.001.08,USD,MSG00000499145,2026-07-04T13:13:35,1,INDA,REF00000597255,306634dd-bbde-d05b-10a3-01e8a2e28454,31420,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,AZBDYPL WGF,**************6205,NDCZWQ EWI,**************6010,INVOICE 57369
MSG00000138654,2026-07-06T22:04:30.549,pacs.009.001.08,SGD,MSG00000743831,2026-07-11T07:47:21,1,INDA,REF00000762703,21ffe4a2-94cb-d727-0577-246f9631ac14,28837,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,GDUJFIQ WNZ,**************1240,LUTCIF JZO,**************4713,INVOICE 50637
MSG00000735311,2026-07-10T03:28:05.588,pacs.009.001.08,SGD,MSG00000285853,2026-07-08T02:57:54,1,INDA,REF00000203996,bfa8bfb0-36e6-42b8-96b6-f4ce97fcf0cd,180697,DBSSSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,DRISYYB FDN,**************6580,KKQTNV AXT,**************1144,INVOICE 83301
MSG00000419452,2026-07-14T22:14:29.904,pacs.009.001.08,USD,MSG00000719390,2026-07-10T21:38:44,1,INDA,REF00000737036,f6d1d4a8-9d0c-f05e-16be-97d174ca7aac,50533,UOVBSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,ZMYFVEW KTC,**************0532,ORNRCI ICO,**************8993,INVOICE 51309
