_msg_id,_ts,23B,71A,_sender_bic,_receiver_bic,32A_ccy,32A_amount,50K_acct,50K_name,59_acct,59_name,70,_mt_type,_format
REF00000451021,2026-07-07T17:14:08.054,CRED,OUR,UOVBSGSG,MAYBMYKL,MYR,446.25,**************8625,SHLQC UZAV,**************3958,SKSH FP,INVOICE 89726,103,mt
REF00000473118,2026-07-01T15:17:16.836,CRED,BEN,OCBCSGSG,MAYBMYKL,SGD,580.54,**************3956,PVVER TTCE,**************6483,RHWF QY,INVOICE 45961,103,mt
REF00000687015,2026-07-07T02:11:12.048,CRED,BEN,OCBCSGSG,CITIUS33,USD,561.28,**************8412,QWYMK EWRS,**************5178,RTTO BL,INVOICE 12285,103,mt
REF00000359577,2026-07-10T03:22:56.441,CRED,OUR,OCBCSGSG,CITIUS33,SGD,3802.47,**************7422,CLYVN BTTC,**************4970,KHTZ GL,INVOICE 19378,103,mt
REF00000419951,2026-07-03T15:47:37.051,CRED,OUR,DBSSSGSG,CITIUS33,MYR,557.78,**************4750,QWYMK EWRS,**************6737,CCMG BJ,INVOICE 02066,103,mt
REF00000060478,2026-07-12T20:37:36.022,CRED,SHA,DBSSSGSG,CITIUS33,SGD,224.35,**************9345,LNQCY JIWP,**************8063,KHTZ GL,INVOICE 52531,103,mt
REF00000603440,2026-07-13T23:08:01.722,CRED,OUR,OCBCSGSG,MAYBMYKL,MYR,1884.98,**************9149,QWYMS PBAO,**************3974,SKSH FP,INVOICE 34542,103,mt
REF00000101618,2026-07-07T22:06:27.839,CRED,SHA,DBSSSGSG,HSBCGB2L,SGD,338.84,**************5046,ZCJNK EPVY,**************8444,UHWZ AX,INVOICE 58485,103,mt
REF00000184405,2026-07-03T06:46:06.995,CRED,OUR,UOVBSGSG,MAYBMYKL,SGD,1810.39,**************9151,LSLNF CUAG,**************6496,YGTT RX,INVOICE 48864,103,mt
REF00000559835,2026-07-09T13:05:44.192,CRED,BEN,UOVBSGSG,HSBCGB2L,USD,1077.84,**************1474,EQEVI UXBT,**************7987,OLTX LJ,INVOICE 34974,103,mt
REF00000141360,2026-07-11T10:00:27.815,CRED,OUR,DBSSSGSG,HSBCGB2L,USD,514.07,**************9195,PVVER TTCE,**************9495,MNYL HJ,INVOICE 45556,103,mt
REF00000769553,2026-07-12T11:19:27.087,CRED,SHA,OCBCSGSG,HSBCGB2L,SGD,1040.68,**************7900,AKSID RTBG,**************5513,RSSL RF,INVOICE 17881,103,mt
REF00000086119,2026-07-12T02:39:52.934,CRED,SHA,UOVBSGSG,CITIUS33,SGD,1499.18,**************6791,KJLIW WUFO,**************8114,FARW NH,INVOICE 10670,103,mt
REF00000182492,2026-07-06T04:22:21.036,CRED,BEN,UOVBSGSG,HSBCGB2L,USD,2372.51,**************8050,GOIXF LXSN,**************6457,QPYT SP,INVOICE 24427,103,mt
REF00000610437,2026-07-11T04:30:46.521,CRED,OUR,DBSSSGSG,MAYBMYKL,SGD,1141.62,**************0414,PQOXX ZXLT,**************2618,DWVQ MS,INVOICE 43043,103,mt
REF00000306204,2026-07-04T20:23:13.675,CRED,BEN,OCBCSGSG,MAYBMYKL,USD,1249.2,**************6897,EDZPP DRRE,**************9567,ZYIH WC,INVOICE 24242,103,mt
REF00000395166,2026-07-06T16:58:33.834,CRED,SHA,UOVBSGSG,HSBCGB2L,SGD,234.31,**************5105,KMJWQ LMRG,**************0832,TPVV OK,INVOICE 86082,103,mt
REF00000638172,2026-07-02T17:13:03.611,CRED,OUR,UOVBSGSG,HSBCGB2L,USD,4356.03,**************4159,OQDRZ OCCG,**************4091,FTKF MI,INVOICE 44347,103,mt
REF00000135896,2026-07-06T16:22:03.255,CRED,OUR,DBSSSGSG,CITIUS33,USD,446.84,**************1570,WGIAF VKTD,**************0839,BBZV IN,INVOICE 87567,103,mt
REF00000538557,2026-07-01T09:00:10.289,CRED,OUR,DBSSSGSG,MAYBMYKL,SGD,562.35,**************4223,KKJSN WSVF,**************5740,MMAJ TT,INVOICE 04360,103,mt
REF00000713477,2026-07-07T00:42:05.708,CRED,SHA,OCBCSGSG,CITIUS33,SGD,1157.04,**************9407,JNKVS ERCY,**************7128,JWKT HE,INVOICE 30016,103,mt
REF00000385152,2026-07-05T15:28:48.430,CRED,OUR,DBSSSGSG,HSBCGB2L,USD,1458.19,**************1670,GTOTO NQKQ,**************0632,IZNM IV,INVOICE 98206,103,mt
REF00000443655,2026-07-07T14:47:47.068,CRED,OUR,UOVBSGSG,CITIUS33,SGD,301.52,**************6914,SPKHJ FFNF,**************3419,QDWM IG,INVOICE 19811,103,mt
