_msg_id,_ts,_msg_type,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.CdtDbtInd,BkToCstmrDbtCdtNtfctn.GrpHdr.MsgId,BkToCstmrDbtCdtNtfctn.GrpHdr.CreDtTm,BkToCstmrDbtCdtNtfctn.Ntfctn.Id,BkToCstmrDbtCdtNtfctn.Ntfctn.Acct.Id.Othr.Id,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.Amt,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.Amt@Ccy,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.Sts.Cd,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.BookgDt.Dt,BkToCstmrDbtCdtNtfctn.Ntfctn.Ntry.NtryDtls.TxDtls.Refs.EndToEndId,_ns,_format
TIGQ34651030,2026-07-08T02:21:45.273,camt.054.001.08,DBIT,NTFN00000301,2026-07-03T01:41:20,NTF00000187,**************6555,881.06,SGD,BOOK,2026-07-07,REF00000134319,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
SRLH55204942,2026-07-05T07:13:34.129,camt.054.001.08,DBIT,NTFN00000638,2026-07-05T15:56:14,NTF00000075,**************3973,194.46,USD,BOOK,2026-07-08,REF00000421508,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NHFE14354539,2026-07-09T23:39:38.391,camt.054.001.08,CRDT,NTFN00000277,2026-07-09T01:36:25,NTF00000604,**************1167,428.12,EUR,BOOK,2026-07-04,REF00000260715,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
HTGH30301836,2026-07-13T12:54:47.419,camt.054.001.08,DBIT,NTFN00000095,2026-07-13T13:02:25,NTF00000018,**************3753,1645.26,SGD,BOOK,2026-07-07,REF00000393112,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
FQSC02635708,2026-07-04T04:08:57.100,camt.054.001.08,CRDT,NTFN00000315,2026-07-02T17:22:56,NTF00000665,**************4602,2296.07,SGD,BOOK,2026-07-02,REF00000621409,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
IHOB82992846,2026-07-01T17:24:12.752,camt.054.001.08,DBIT,NTFN00000085,2026-07-12T16:38:16,NTF00000130,**************2107,188.23,EUR,BOOK,2026-07-13,REF00000319016,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
GUZE82991086,2026-07-06T15:41:39.173,camt.054.001.08,DBIT,NTFN00000431,2026-07-05T15:28:12,NTF00000144,**************7557,1039.58,SGD,BOOK,2026-07-14,REF00000069916,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
AZIW11936352,2026-07-02T00:15:18.669,camt.054.001.08,DBIT,NTFN00000480,2026-07-05T18:00:20,NTF00000752,**************9062,1318.65,USD,BOOK,2026-07-13,REF00000643758,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
KQIM76792072,2026-07-06T05:55:44.058,camt.054.001.08,DBIT,NTFN00000069,2026-07-04T13:22:26,NTF00000605,**************1360,438.02,USD,BOOK,2026-07-08,REF00000287346,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
ZNHP81835775,2026-07-14T00:46:51.151,camt.054.001.08,CRDT,NTFN00000225,2026-07-05T11:42:20,NTF00000421,**************2881,661.54,USD,BOOK,2026-07-05,REF00000184173,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
LFFN10735771,2026-07-04T12:32:58.628,camt.054.001.08,DBIT,NTFN00000118,2026-07-13T22:15:56,NTF00000349,**************1276,1196.61,SGD,BOOK,2026-07-01,REF00000369574,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
RDJH73698919,2026-07-03T18:57:15.593,camt.054.001.08,CRDT,NTFN00000012,2026-07-04T17:02:29,NTF00000363,**************4957,748.77,MYR,BOOK,2026-07-05,REF00000099208,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
IAJC90824963,2026-07-04T08:23:06.377,camt.054.001.08,DBIT,NTFN00000501,2026-07-07T10:05:14,NTF00000590,**************0307,1593.17,SGD,BOOK,2026-07-08,REF00000178292,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
LXLU96829300,2026-07-03T16:03:29.034,camt.054.001.08,CRDT,NTFN00000322,2026-07-09T05:35:42,NTF00000731,**************6860,1036.26,USD,BOOK,2026-07-10,REF00000091660,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
KEBS96118960,2026-07-14T01:53:53.458,camt.054.001.08,DBIT,NTFN00000447,2026-07-13T19:49:11,NTF00000590,**************7244,1223.4,USD,BOOK,2026-07-08,REF00000017070,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
ZTCW83135566,2026-07-10T17:03:06.264,camt.054.001.08,CRDT,NTFN00000614,2026-07-14T02:33:50,NTF00000799,**************2980,9265.0,SGD,BOOK,2026-07-08,REF00000775258,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
KGDA16590592,2026-07-06T12:52:44.925,camt.054.001.08,DBIT,NTFN00000321,2026-07-12T08:24:42,NTF00000115,**************1433,1312.18,USD,BOOK,2026-07-11,REF00000755554,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
YDHW74908861,2026-07-11T15:43:40.027,camt.054.001.08,CRDT,NTFN00000757,2026-07-11T16:18:53,NTF00000652,**************8298,370.63,USD,BOOK,2026-07-04,REF00000481805,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
VJBU40332958,2026-07-06T12:29:29.759,camt.054.001.08,DBIT,NTFN00000740,2026-07-11T12:40:31,NTF00000523,**************6335,782.57,SGD,BOOK,2026-07-06,REF00000539431,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
DXHB95571114,2026-07-07T11:17:13.281,camt.054.001.08,CRDT,NTFN00000032,2026-07-14T15:26:51,NTF00000540,**************8422,268.38,SGD,BOOK,2026-07-13,REF00000675570,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
BZNS21702973,2026-07-12T03:47:43.873,camt.054.001.08,CRDT,NTFN00000747,2026-07-13T08:12:05,NTF00000658,**************1597,330.48,EUR,BOOK,2026-07-01,REF00000682392,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
LGTU77926395,2026-07-07T11:29:55.799,camt.054.001.08,DBIT,NTFN00000258,2026-07-14T06:14:08,NTF00000650,**************1354,824.34,SGD,BOOK,2026-07-08,REF00000595373,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
LDPW80342588,2026-07-10T01:08:34.462,camt.054.001.08,CRDT,NTFN00000795,2026-07-13T17:48:58,NTF00000652,**************6679,2161.18,USD,BOOK,2026-07-09,REF00000508808,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
DHPC70760463,2026-07-10T10:33:40.636,camt.054.001.08,DBIT,NTFN00000797,2026-07-04T20:28:22,NTF00000388,**************1284,1960.81,SGD,BOOK,2026-07-03,REF00000526708,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
QBXW34093769,2026-07-13T05:40:54.195,camt.054.001.08,CRDT,NTFN00000220,2026-07-09T13:25:32,NTF00000314,**************6321,1289.15,SGD,BOOK,2026-07-05,REF00000097054,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
XLAE73573537,2026-07-14T22:15:51.480,camt.054.001.08,CRDT,NTFN00000710,2026-07-14T12:07:17,NTF00000748,**************4494,509.54,SGD,BOOK,2026-07-02,REF00000471500,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
NLLR48390560,2026-07-13T11:43:09.056,camt.054.001.08,DBIT,NTFN00000061,2026-07-04T11:50:31,NTF00000547,**************7433,823.3,EUR,BOOK,2026-07-13,REF00000553094,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
RPOB18711439,2026-07-14T03:01:22.687,camt.054.001.08,DBIT,NTFN00000273,2026-07-11T08:38:39,NTF00000449,**************2252,412.5,USD,BOOK,2026-07-11,REF00000324658,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
IXYF11099235,2026-07-03T18:14:13.072,camt.054.001.08,DBIT,NTFN00000148,2026-07-03T18:22:19,NTF00000135,**************4714,2817.39,USD,BOOK,2026-07-07,REF00000601810,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
GTDE49419585,2026-07-08T04:10:38.146,camt.054.001.08,CRDT,NTFN00000470,2026-07-02T07:55:10,NTF00000537,**************3841,1397.11,USD,BOOK,2026-07-13,REF00000454947,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
EZTO72734359,2026-07-12T00:19:13.585,camt.054.001.08,CRDT,NTFN00000402,2026-07-14T14:46:47,NTF00000397,**************5557,334.42,USD,BOOK,2026-07-02,REF00000216427,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
UUPI09668332,2026-07-01T03:30:02.530,camt.054.001.08,DBIT,NTFN00000424,2026-07-02T18:04:45,NTF00000205,**************8376,414.86,SGD,BOOK,2026-07-08,REF00000108374,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
RCXZ55642581,2026-07-03T08:42:16.154,camt.054.001.08,DBIT,NTFN00000763,2026-07-11T07:30:13,NTF00000156,**************3159,547.87,USD,BOOK,2026-07-14,REF00000766600,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
VWFR01223160,2026-07-14T14:55:33.798,camt.054.001.08,CRDT,NTFN00000266,2026-07-13T21:17:42,NTF00000157,**************8203,3163.81,EUR,BOOK,2026-07-05,REF00000087511,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
MIYV54260199,2026-07-12T17:55:21.132,camt.054.001.08,DBIT,NTFN00000093,2026-07-07T23:32:48,NTF00000655,**************2287,335.68,SGD,BOOK,2026-07-01,REF00000089471,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
QDCP07966220,2026-07-11T13:04:46.686,camt.054.001.08,DBIT,NTFN00000205,2026-07-06T18:49:59,NTF00000117,**************2812,379.23,USD,BOOK,2026-07-05,REF00000161873,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
MNTY60244238,2026-07-11T02:19:15.899,camt.054.001.08,CRDT,NTFN00000118,2026-07-10T09:26:54,NTF00000424,**************4609,879.58,SGD,BOOK,2026-07-10,REF00000515635,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
VRRW77358828,2026-07-05T01:57:10.822,camt.054.001.08,DBIT,NTFN00000615,2026-07-08T02:32:54,NTF00000344,**************6021,1507.39,MYR,BOOK,2026-07-08,REF00000044706,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
GHFT61234752,2026-07-06T22:12:25.602,camt.054.001.08,DBIT,NTFN00000615,2026-07-10T04:18:58,NTF00000090,**************2459,376.23,SGD,BOOK,2026-07-05,REF00000051689,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
SYTA80773491,2026-07-10T03:39:14.242,camt.054.001.08,DBIT,NTFN00000510,2026-07-09T18:56:14,NTF00000623,**************2631,1314.07,SGD,BOOK,2026-07-11,REF00000046039,urn:iso:std:iso:20022:tech:xsd:camt.054.001.08,mx
