_msg_id,_ts,23B,71A,_sender_bic,_receiver_bic,32A_ccy,32A_amount,50K_acct,50K_name,59_acct,59_name,70,_format
REF00000696456,2026-07-10T07:34:35.674,CRED,BEN,DBSSSGSG,HSBCGB2L,SGD,2307.64,**************7393,NMX KGVM,**************4573,WWZF SIE,INVOICE 90736,mt103
REF00000768197,2026-07-07T05:25:26.908,CRED,OUR,OCBCSGSG,HSBCGB2L,SGD,275.72,**************8140,IRU JNKV,**************2269,SERC YII,INVOICE 71906,mt103
REF00000682663,2026-07-02T19:30:04.474,CRED,SHA,OCBCSGSG,CITIUS33,SGD,250.87,**************5649,NMS IQDW,**************8763,MIGJ WSM,INVOICE 99288,mt103
REF00000184370,2026-07-11T16:44:37.441,CRED,SHA,DBSSSGSG,HSBCGB2L,SGD,5976.55,**************3388,BLO HYPF,**************9340,MJAC PMJ,INVOICE 22807,mt103
REF00000335915,2026-07-08T01:45:16.317,CRED,BEN,DBSSSGSG,CITIUS33,EUR,1121.96,**************6457,NVP FMUP,**************6809,FJSL UTL,INVOICE 91718,mt103
REF00000495013,2026-07-05T14:39:36.713,CRED,BEN,OCBCSGSG,CITIUS33,USD,776.48,**************3314,GFQ SOZV,**************5628,PVAZ ZXO,INVOICE 73057,mt103
REF00000337437,2026-07-05T08:42:16.289,CRED,OUR,OCBCSGSG,MAYBMYKL,EUR,1109.03,**************0199,VZD ALZP,**************9797,CESK LYY,INVOICE 77538,mt103
REF00000554903,2026-07-11T12:50:42.282,CRED,OUR,UOVBSGSG,HSBCGB2L,MYR,2023.95,**************6687,JJV VSKS,**************2450,JSGQ XIC,INVOICE 85875,mt103
REF00000019888,2026-07-13T12:04:36.358,CRED,OUR,OCBCSGSG,CITIUS33,SGD,369.85,**************5509,RWT GKQK,**************5561,KOIC YQS,INVOICE 05217,mt103
REF00000344863,2026-07-08T03:35:22.098,CRED,OUR,DBSSSGSG,HSBCGB2L,SGD,1220.6,**************2913,SRD HILE,**************2424,AMBV BGV,INVOICE 35524,mt103
REF00000585855,2026-07-11T04:24:17.683,CRED,BEN,DBSSSGSG,CITIUS33,SGD,392.92,**************0349,EKQ LNQC,**************9867,YJIW PSH,INVOICE 32230,mt103
REF00000578005,2026-07-07T06:06:54.935,CRED,SHA,OCBCSGSG,CITIUS33,SGD,939.43,**************1415,NMS IQDW,**************6693,LQCU ZAV,INVOICE 65893,mt103
REF00000606887,2026-07-01T02:00:31.722,CRED,OUR,DBSSSGSG,CITIUS33,EUR,472.44,**************0595,SKS HFPP,**************5422,VVER TTC,INVOICE 89849,mt103
REF00000118627,2026-07-13T04:32:15.772,CRED,OUR,OCBCSGSG,CITIUS33,SGD,377.72,**************0183,ERH WFQY,**************6978,QWYM KEW,INVOICE 11607,mt103
REF00000727271,2026-07-02T05:05:35.853,CRED,OUR,DBSSSGSG,MAYBMYKL,SGD,291.18,**************3238,HQC ZWKJ,**************3435,RSRT TOB,INVOICE 95634,mt103
REF00000322822,2026-07-02T20:31:39.834,CRED,BEN,UOVBSGSG,CITIUS33,EUR,3808.35,**************7970,LCL YVNB,**************3330,TTCK HTZ,INVOICE 51798,mt103
REF00000330367,2026-07-12T06:11:47.043,CRED,SHA,DBSSSGSG,HSBCGB2L,SGD,323.15,**************9087,GLQ WYMS,**************4070,PBAO ZCJ,INVOICE 86757,mt103
REF00000790968,2026-07-01T20:12:34.321,CRED,OUR,UOVBSGSG,CITIUS33,USD,470.05,**************2774,NKE PVYU,**************5448,HWZA XLS,INVOICE 85208,mt103
REF00000590320,2026-07-13T02:04:38.472,CRED,OUR,UOVBSGSG,CITIUS33,MYR,303.82,**************9249,LNF CUAG,**************5582,YGTT RXE,INVOICE 34286,mt103
REF00000237149,2026-07-13T14:47:48.121,CRED,OUR,UOVBSGSG,CITIUS33,SGD,4259.82,**************6062,QEV IUXB,**************8408,TOLT XLJ,INVOICE 66079,mt103
REF00000149050,2026-07-05T08:59:13.516,CRED,SHA,UOVBSGSG,CITIUS33,EUR,1444.64,**************3334,MNY LHJA,**************3228,KSID RTB,INVOICE 61434,mt103
REF00000034389,2026-07-06T02:55:11.864,CRED,OUR,DBSSSGSG,HSBCGB2L,SGD,271.86,**************3130,NKE PVYU,**************5918,GRSS LRF,INVOICE 88874,mt103
REF00000102868,2026-07-12T06:45:17.154,CRED,OUR,OCBCSGSG,CITIUS33,SGD,2173.35,**************8231,KJL IWWU,**************1631,FOFA RWN,INVOICE 56936,mt103
REF00000504989,2026-07-13T21:56:09.734,CRED,OUR,OCBCSGSG,MAYBMYKL,SGD,1096.67,**************4091,HGO IXFL,**************1000,XSNQ PYT,INVOICE 33500,mt103
REF00000730966,2026-07-07T02:06:36.273,CRED,OUR,OCBCSGSG,CITIUS33,USD,290.98,**************9246,ERH WFQY,**************1462,SPPQ OXX,INVOICE 16021,mt103
REF00000641378,2026-07-03T12:36:11.081,CRED,OUR,UOVBSGSG,CITIUS33,EUR,95.8,**************1837,WKF AVVB,**************5323,ZXLT DWV,INVOICE 28721,mt103
REF00000529060,2026-07-01T10:27:30.932,CRED,OUR,UOVBSGSG,HSBCGB2L,SGD,927.86,**************6190,BLO HYPF,**************9940,HZLG QWN,INVOICE 81999,mt103
REF00000727330,2026-07-11T16:27:17.225,CRED,OUR,DBSSSGSG,HSBCGB2L,SGD,631.44,**************3289,QMS EDZP,**************1004,PDRR EZY,INVOICE 57162,mt103
REF00000697140,2026-07-05T06:53:28.614,CRED,BEN,UOVBSGSG,CITIUS33,SGD,86.77,**************7184,QOJ IDYF,**************0347,IHWC KMJ,INVOICE 65531,mt103
REF00000540198,2026-07-01T12:20:42.551,CRED,OUR,OCBCSGSG,MAYBMYKL,MYR,4298.66,**************7162,WQL MRGT,**************8534,OCSI CWN,INVOICE 24677,mt103
REF00000395863,2026-07-03T06:46:10.551,CRED,BEN,UOVBSGSG,HSBCGB2L,SGD,295.34,**************8164,PVV OKOQ,**************8716,DRZO CCG,INVOICE 94764,mt103
REF00000293129,2026-07-05T21:09:40.380,CRED,OUR,UOVBSGSG,MAYBMYKL,USD,593.57,**************3197,FTK FMIW,**************9483,GIAF VKT,INVOICE 20936,mt103
REF00000479295,2026-07-03T13:54:38.115,CRED,SHA,UOVBSGSG,HSBCGB2L,USD,1720.46,**************6597,DBB ZVIN,**************6931,CMGB JZB,INVOICE 87267,mt103
REF00000212964,2026-07-05T20:26:34.493,CRED,SHA,DBSSSGSG,HSBCGB2L,USD,392.66,**************2339,KKJ SNWS,**************8328,XSNQ PYT,INVOICE 00597,mt103
REF00000683470,2026-07-03T13:29:37.417,CRED,OUR,OCBCSGSG,HSBCGB2L,USD,1262.06,**************0620,VFM MAJT,**************2727,TJWK THE,INVOICE 30863,mt103
REF00000182781,2026-07-04T05:26:14.500,CRED,SHA,DBSSSGSG,MAYBMYKL,MYR,311.28,**************3955,GTO TONQ,**************0297,NNYD QDP,INVOICE 54706,mt103
REF00000629532,2026-07-06T19:46:06.617,CRED,OUR,UOVBSGSG,HSBCGB2L,USD,470.68,**************4266,KQI ZNMI,**************7032,VSPK HJF,INVOICE 51183,mt103
REF00000631145,2026-07-12T16:59:55.829,CRED,OUR,UOVBSGSG,MAYBMYKL,EUR,1045.96,**************7503,ERH WFQY,**************8793,FNFB HSR,INVOICE 96283,mt103
REF00000230388,2026-07-13T14:07:49.267,CRED,OUR,DBSSSGSG,MAYBMYKL,SGD,883.13,**************0807,LUR GNOA,**************3103,RMYC WWC,INVOICE 89837,mt103
REF00000044775,2026-07-10T04:55:30.218,CRED,OUR,UOVBSGSG,CITIUS33,USD,740.23,**************1820,CHU MWPM,**************4379,VVER TTC,INVOICE 74838,mt103
REF00000634964,2026-07-11T00:15:49.027,CRED,OUR,UOVBSGSG,HSBCGB2L,SGD,1031.52,**************1055,YZH WJQK,**************8102,QQOZ VVC,INVOICE 08990,mt103
REF00000785302,2026-07-06T01:32:51.518,CRED,OUR,DBSSSGSG,MAYBMYKL,SGD,263.4,**************5199,JZY AZQF,**************7876,EEMN FQE,INVOICE 32372,mt103
REF00000492732,2026-07-09T13:29:57.669,CRED,OUR,DBSSSGSG,HSBCGB2L,MYR,3498.82,**************1001,JDP RZKT,**************1675,PBAO ZCJ,INVOICE 27805,mt103
REF00000497731,2026-07-01T13:17:42.998,CRED,OUR,DBSSSGSG,HSBCGB2L,SGD,313.83,**************1143,MVI UGLD,**************7047,EIYN XPI,INVOICE 57303,mt103
REF00000163510,2026-07-11T20:17:10.437,CRED,OUR,UOVBSGSG,HSBCGB2L,USD,1251.19,**************1052,KFC ZOHO,**************9510,HYCI EUR,INVOICE 64408,mt103
REF00000192669,2026-07-06T12:50:41.310,CRED,SHA,UOVBSGSG,MAYBMYKL,MYR,1308.14,**************6078,WDA QPHC,**************0445,VROC TVC,INVOICE 68218,mt103
REF00000578222,2026-07-06T13:17:01.080,CRED,SHA,DBSSSGSG,HSBCGB2L,USD,4264.35,**************2274,IEM GGRQ,**************3518,EGKX VTN,INVOICE 75147,mt103
REF00000272036,2026-07-12T12:55:22.903,CRED,OUR,OCBCSGSG,MAYBMYKL,SGD,501.44,**************5754,VAQ LGUH,**************5270,EPYR PKE,INVOICE 37245,mt103
REF00000505168,2026-07-12T04:51:55.281,CRED,SHA,UOVBSGSG,CITIUS33,MYR,352.22,**************4819,JJV VSKS,**************1151,RAAL OHV,INVOICE 76989,mt103
REF00000026790,2026-07-07T14:01:52.592,CRED,OUR,UOVBSGSG,CITIUS33,SGD,1102.26,**************9928,QEV IUXB,**************6490,YANN PNK,INVOICE 41156,mt103
REF00000271327,2026-07-13T01:55:59.050,CRED,OUR,DBSSSGSG,CITIUS33,SGD,488.95,**************3047,USQ HYSY,**************5308,SYXS PJP,INVOICE 40234,mt103
REF00000275079,2026-07-05T01:25:02.973,CRED,SHA,DBSSSGSG,MAYBMYKL,MYR,528.4,**************4100,SAA JWSD,**************9132,OSYH MNG,INVOICE 59913,mt103
REF00000723161,2026-07-11T15:56:11.313,CRED,OUR,DBSSSGSG,CITIUS33,USD,484.81,**************3952,BNM DNFF,**************0727,TCZX LZF,INVOICE 55316,mt103
REF00000776548,2026-07-02T04:49:45.164,CRED,SHA,UOVBSGSG,HSBCGB2L,SGD,343.47,**************0719,XYH ZCQM,**************2952,BEIV QAL,INVOICE 56137,mt103
REF00000575780,2026-07-06T18:05:26.375,CRED,OUR,UOVBSGSG,MAYBMYKL,SGD,180.42,**************5589,DBB ZVIN,**************1668,IHWC KMJ,INVOICE 85981,mt103
REF00000674094,2026-07-01T04:24:30.037,CRED,SHA,OCBCSGSG,HSBCGB2L,SGD,323.69,**************1974,QBZ IXQA,**************0619,BNPA WYJ,INVOICE 79528,mt103
REF00000339568,2026-07-13T11:19:12.562,CRED,OUR,DBSSSGSG,CITIUS33,SGD,392.95,**************9556,KKJ SNWS,**************9369,FHTP SBJ,INVOICE 95292,mt103
REF00000334364,2026-07-13T04:09:29.567,CRED,SHA,DBSSSGSG,MAYBMYKL,USD,1300.56,**************8166,JJV VSKS,**************7516,HOOF IFN,INVOICE 31463,mt103
REF00000764554,2026-07-03T07:44:23.918,CRED,OUR,UOVBSGSG,CITIUS33,SGD,787.99,**************0652,UXJ QAJU,**************8937,KUTG FWB,INVOICE 63390,mt103
REF00000206482,2026-07-08T16:32:52.076,CRED,OUR,OCBCSGSG,CITIUS33,SGD,1698.16,**************6061,UJU XTPA,**************3613,OCSI CWN,INVOICE 06624,mt103
REF00000522057,2026-07-03T07:50:51.365,CRED,SHA,UOVBSGSG,MAYBMYKL,SGD,880.3,**************3013,NFN UKTJ,**************3478,DCSX NSK,INVOICE 40284,mt103
REF00000729672,2026-07-06T00:41:24.586,CRED,OUR,OCBCSGSG,MAYBMYKL,SGD,7384.85,**************5859,QWT BVZN,**************1988,DRZO CCG,INVOICE 39720,mt103
REF00000558926,2026-07-03T01:07:27.506,CRED,BEN,UOVBSGSG,MAYBMYKL,EUR,734.23,**************4367,QOJ IDYF,**************5551,FHTP SBJ,INVOICE 01223,mt103
REF00000483019,2026-07-02T16:38:38.776,CRED,OUR,OCBCSGSG,HSBCGB2L,USD,368.23,**************1326,LUR GNOA,**************9770,HZLG QWN,INVOICE 28051,mt103
REF00000457151,2026-07-01T22:45:07.264,CRED,SHA,OCBCSGSG,CITIUS33,MYR,509.02,**************9828,OQF MDRQ,**************8792,EYOB SMY,INVOICE 41946,mt103
REF00000757618,2026-07-02T10:55:37.203,CRED,OUR,OCBCSGSG,MAYBMYKL,USD,1502.73,**************0705,KUS QRGU,**************1998,QDMC KWQ,INVOICE 58693,mt103
REF00000174689,2026-07-08T23:44:17.888,CRED,BEN,UOVBSGSG,HSBCGB2L,SGD,2553.19,**************4666,EUC UUKX,**************4007,OSYH MNG,INVOICE 27240,mt103
REF00000405352,2026-07-04T22:59:53.140,CRED,OUR,UOVBSGSG,CITIUS33,USD,346.46,**************2816,TPI YCCT,**************7782,OYTA LBS,INVOICE 22075,mt103
REF00000585163,2026-07-12T11:54:38.287,CRED,OUR,OCBCSGSG,CITIUS33,SGD,785.0,**************0092,TGD ZVOW,**************2162,RFSB IQV,INVOICE 39642,mt103
REF00000392338,2026-07-02T09:26:03.944,CRED,OUR,UOVBSGSG,CITIUS33,MYR,1646.12,**************2826,YSM JSTB,**************5849,VSUK RKX,INVOICE 17678,mt103
REF00000549378,2026-07-08T16:02:00.935,CRED,SHA,OCBCSGSG,HSBCGB2L,MYR,881.97,**************8315,DBB ZVIN,**************7731,EGKX VTN,INVOICE 37959,mt103
REF00000224913,2026-07-03T10:20:35.580,CRED,OUR,DBSSSGSG,MAYBMYKL,USD,8676.4,**************3490,FSG JBLR,**************8468,GCQY HDY,INVOICE 73671,mt103
REF00000488329,2026-07-07T04:13:46.358,CRED,SHA,OCBCSGSG,HSBCGB2L,MYR,1739.37,**************9089,JAC CAJR,**************9645,TLTV UNT,INVOICE 60854,mt103
REF00000309961,2026-07-02T08:58:32.127,CRED,SHA,DBSSSGSG,CITIUS33,USD,893.74,**************5506,YAM OCGC,**************1062,LUKL MLW,INVOICE 81708,mt103
REF00000116681,2026-07-03T06:19:40.378,CRED,OUR,UOVBSGSG,HSBCGB2L,USD,1041.12,**************2040,IEM GGRQ,**************3645,DAEE OLW,INVOICE 01390,mt103
REF00000404804,2026-07-03T00:14:50.665,CRED,SHA,UOVBSGSG,MAYBMYKL,SGD,613.3,**************3667,XED BISF,**************2755,BTKR TPT,INVOICE 74510,mt103
REF00000133065,2026-07-06T15:35:56.836,CRED,SHA,OCBCSGSG,CITIUS33,SGD,376.97,**************3564,DBB ZVIN,**************5080,CQZY NVL,INVOICE 22819,mt103
REF00000149821,2026-07-13T23:59:51.100,CRED,OUR,OCBCSGSG,MAYBMYKL,SGD,2485.07,**************0127,ANK GRFT,**************2896,SHWN FUN,INVOICE 10726,mt103
REF00000418152,2026-07-10T11:35:59.316,CRED,OUR,DBSSSGSG,MAYBMYKL,EUR,423.93,**************4820,WPU EMQV,**************0990,PWSM JSI,INVOICE 95115,mt103
REF00000374064,2026-07-01T22:32:41.832,CRED,BEN,UOVBSGSG,MAYBMYKL,USD,843.25,**************3616,IEL EWVZ,**************7180,ITJH JFE,INVOICE 14926,mt103
REF00000567485,2026-07-09T20:26:56.647,CRED,OUR,UOVBSGSG,MAYBMYKL,SGD,1182.67,**************9228,TUS XOBI,**************0448,NLBL UZY,INVOICE 01727,mt103
REF00000206069,2026-07-06T23:48:37.745,CRED,OUR,UOVBSGSG,HSBCGB2L,USD,3803.71,**************1369,WZA QBGT,**************5960,JGPV MUV,INVOICE 18082,mt103
REF00000552331,2026-07-08T11:49:41.513,CRED,SHA,DBSSSGSG,MAYBMYKL,SGD,1035.59,**************2936,EKQ LNQC,**************5588,VZJK RMN,INVOICE 01149,mt103
REF00000011717,2026-07-08T22:29:26.470,CRED,BEN,UOVBSGSG,MAYBMYKL,USD,365.57,**************9151,YOD ACZS,**************5213,IOUQ BTU,INVOICE 82237,mt103
REF00000206057,2026-07-02T20:40:11.360,CRED,OUR,DBSSSGSG,CITIUS33,MYR,841.71,**************0769,TKI GZKD,**************3935,ZXLT DWV,INVOICE 10759,mt103
REF00000444077,2026-07-10T18:25:54.225,CRED,OUR,DBSSSGSG,HSBCGB2L,MYR,432.59,**************0038,MTL LNJM,**************9401,BCSP FCR,INVOICE 01871,mt103
REF00000161141,2026-07-08T06:07:02.179,CRED,SHA,UOVBSGSG,MAYBMYKL,SGD,1749.59,**************7974,WDA QPHC,**************5008,NVJI WTF,INVOICE 57660,mt103
REF00000704081,2026-07-03T21:49:30.136,CRED,SHA,UOVBSGSG,HSBCGB2L,SGD,6211.49,**************9241,OSL GQWF,**************2253,AMBV BGV,INVOICE 49889,mt103
REF00000080977,2026-07-09T21:11:28.319,CRED,SHA,UOVBSGSG,CITIUS33,SGD,470.85,**************1431,BMS OSUY,**************6359,ITJH JFE,INVOICE 22003,mt103
REF00000353456,2026-07-07T07:56:37.170,CRED,BEN,OCBCSGSG,MAYBMYKL,SGD,7155.25,**************0757,JJV VSKS,**************8460,EHMJ LNT,INVOICE 98037,mt103
REF00000160035,2026-07-11T16:14:45.743,CRED,SHA,DBSSSGSG,HSBCGB2L,USD,1724.91,**************4020,IHK ROKV,**************0317,DUXZ FXR,INVOICE 19443,mt103
REF00000747005,2026-07-06T21:42:28.347,CRED,SHA,DBSSSGSG,MAYBMYKL,SGD,120.8,**************3892,JZY AZQF,**************5312,BEIV QAL,INVOICE 63112,mt103
REF00000562952,2026-07-06T02:13:24.948,CRED,OUR,OCBCSGSG,HSBCGB2L,SGD,7398.71,**************3065,IFM OIYI,**************1152,OCFQ OPV,INVOICE 03565,mt103
REF00000395289,2026-07-08T12:36:22.611,CRED,SHA,OCBCSGSG,HSBCGB2L,SGD,261.35,**************1506,BMS OSUY,**************0975,WBBU JYG,INVOICE 65084,mt103
REF00000646632,2026-07-09T05:52:19.055,CRED,OUR,DBSSSGSG,CITIUS33,USD,527.36,**************6601,GTO TONQ,**************9942,DAEE OLW,INVOICE 57892,mt103
REF00000742101,2026-07-10T16:33:00.347,CRED,BEN,OCBCSGSG,MAYBMYKL,SGD,585.36,**************0132,MEN TSCG,**************6656,RAAL OHV,INVOICE 63897,mt103
REF00000706012,2026-07-01T15:04:40.059,CRED,SHA,UOVBSGSG,MAYBMYKL,EUR,753.88,**************1294,EJL JFSR,**************5359,EEMN FQE,INVOICE 37933,mt103
REF00000369599,2026-07-11T17:04:16.929,CRED,OUR,OCBCSGSG,CITIUS33,SGD,1242.91,**************6766,HQC ZWKJ,**************2348,EHMJ LNT,INVOICE 16152,mt103
REF00000373061,2026-07-02T18:55:26.260,CRED,SHA,UOVBSGSG,CITIUS33,EUR,5504.75,**************5677,FSG JBLR,**************9824,WWZF SIE,INVOICE 83538,mt103
REF00000654710,2026-07-02T16:15:05.999,CRED,OUR,UOVBSGSG,CITIUS33,SGD,861.72,**************0334,YAM OCGC,**************5622,NYPB HSS,INVOICE 15118,mt103
REF00000641057,2026-07-09T11:03:43.144,CRED,OUR,OCBCSGSG,MAYBMYKL,MYR,1105.69,**************5652,WZA QBGT,**************2577,YPMD ZFT,INVOICE 29519,mt103
REF00000682899,2026-07-10T08:09:10.602,CRED,OUR,UOVBSGSG,MAYBMYKL,SGD,593.32,**************3003,BDD EEDP,**************9763,LDRA CYG,INVOICE 15702,mt103
REF00000354495,2026-07-02T02:05:07.741,CRED,SHA,DBSSSGSG,HSBCGB2L,SGD,122.62,**************1883,EKM ITXN,**************6376,VZJU LOH,INVOICE 81191,mt103
REF00000794155,2026-07-13T23:40:43.334,CRED,OUR,OCBCSGSG,MAYBMYKL,USD,337.66,**************1362,MTL LNJM,**************5561,TCZX LZF,INVOICE 73600,mt103
REF00000724405,2026-07-06T19:09:16.785,CRED,BEN,OCBCSGSG,HSBCGB2L,SGD,748.85,**************2905,TKI GZKD,**************9639,CKBG WJU,INVOICE 27371,mt103
REF00000077162,2026-07-09T09:31:24.595,CRED,SHA,DBSSSGSG,HSBCGB2L,EUR,2042.39,**************4569,XMQ LVQP,**************2906,XJIZ VFF,INVOICE 57934,mt103
REF00000263968,2026-07-01T00:57:28.986,CRED,BEN,UOVBSGSG,MAYBMYKL,SGD,707.5,**************2010,KTA BZKY,**************7965,QKTL OYD,INVOICE 89301,mt103
REF00000736325,2026-07-01T14:38:44.733,CRED,SHA,UOVBSGSG,MAYBMYKL,SGD,2172.36,**************0988,XED BISF,**************2272,NCYV JUN,INVOICE 10210,mt103
REF00000005797,2026-07-07T20:05:37.292,CRED,OUR,UOVBSGSG,CITIUS33,SGD,638.96,**************2221,QDW KEMI,**************5267,PBMA NAU,INVOICE 59292,mt103
REF00000089664,2026-07-06T11:27:21.863,CRED,OUR,OCBCSGSG,HSBCGB2L,SGD,718.91,**************6684,HWU QSRZ,**************4767,OYTA LBS,INVOICE 19307,mt103
REF00000595124,2026-07-02T07:53:42.239,CRED,SHA,DBSSSGSG,CITIUS33,USD,1286.94,**************8932,WPU EMQV,**************5013,CSCQ LLW,INVOICE 19474,mt103
REF00000703551,2026-07-03T09:26:22.040,CRED,SHA,DBSSSGSG,MAYBMYKL,SGD,664.22,**************1777,DBB ZVIN,**************1631,PBUB AVA,INVOICE 57360,mt103
REF00000333460,2026-07-13T05:05:04.824,CRED,SHA,OCBCSGSG,CITIUS33,SGD,734.69,**************5584,TRV HSZY,**************6357,DAEE OLW,INVOICE 68052,mt103
REF00000301213,2026-07-01T03:12:48.310,CRED,OUR,UOVBSGSG,CITIUS33,SGD,210.91,**************1088,EUC UUKX,**************0203,DMIQ RYH,INVOICE 11912,mt103
REF00000043434,2026-07-12T01:02:27.054,CRED,SHA,OCBCSGSG,MAYBMYKL,MYR,526.29,**************5616,IJV ZUCC,**************9614,XTJK VKN,INVOICE 34114,mt103
REF00000003823,2026-07-09T00:52:12.972,CRED,BEN,DBSSSGSG,CITIUS33,SGD,209.57,**************8254,WPU EMQV,**************9346,VVER TTC,INVOICE 11064,mt103
REF00000681566,2026-07-08T20:59:07.272,CRED,BEN,UOVBSGSG,HSBCGB2L,SGD,1126.23,**************3107,TKI GZKD,**************7531,BCSP FCR,INVOICE 61657,mt103
REF00000099774,2026-07-12T18:56:24.765,CRED,OUR,DBSSSGSG,MAYBMYKL,SGD,402.92,**************9435,PUB ONRK,**************0105,ZXLT DWV,INVOICE 42243,mt103
REF00000075811,2026-07-05T03:55:59.494,CRED,BEN,DBSSSGSG,MAYBMYKL,MYR,2407.32,**************2758,TKI GZKD,**************9763,MJAC PMJ,INVOICE 93106,mt103
REF00000025482,2026-07-08T16:08:03.541,CRED,SHA,UOVBSGSG,MAYBMYKL,SGD,290.98,**************5928,XGG XGZI,**************8343,UCYZ EGB,INVOICE 13392,mt103
REF00000093282,2026-07-10T17:33:00.347,CRED,OUR,DBSSSGSG,HSBCGB2L,USD,295.09,**************3766,AUN QUAO,**************4070,LQCU ZAV,INVOICE 63031,mt103
REF00000262146,2026-07-05T06:05:30.203,CRED,SHA,DBSSSGSG,HSBCGB2L,SGD,112.12,**************1884,AIN XASB,**************0581,TTNN FCO,INVOICE 06811,mt103
REF00000194314,2026-07-09T08:13:17.614,CRED,OUR,DBSSSGSG,CITIUS33,SGD,824.37,**************2246,KTA BZKY,**************6677,OQVA QCA,INVOICE 68540,mt103
REF00000135110,2026-07-08T17:21:00.674,CRED,OUR,UOVBSGSG,CITIUS33,USD,1185.1,**************0852,HSB HUDI,**************0833,IHWC KMJ,INVOICE 57319,mt103
REF00000252137,2026-07-12T03:54:20.834,CRED,OUR,DBSSSGSG,CITIUS33,EUR,756.25,**************8570,CHU MWPM,**************2115,AGUT MMZ,INVOICE 63840,mt103
REF00000551422,2026-07-11T19:44:18.147,CRED,OUR,UOVBSGSG,MAYBMYKL,SGD,2792.74,**************1894,YZH WJQK,**************3472,RAGU EXD,INVOICE 29704,mt103
REF00000738116,2026-07-01T07:43:06.239,CRED,OUR,DBSSSGSG,MAYBMYKL,USD,681.82,**************0351,GTO TONQ,**************5792,KDRC CDO,INVOICE 30252,mt103
REF00000314598,2026-07-05T02:51:27.594,CRED,SHA,UOVBSGSG,CITIUS33,SGD,2174.27,**************8380,QBZ IXQA,**************0620,IOUQ BTU,INVOICE 34727,mt103
REF00000652924,2026-07-06T06:00:27.762,CRED,BEN,UOVBSGSG,MAYBMYKL,USD,887.44,**************0109,BGM UMYY,**************0439,DCSX NSK,INVOICE 48363,mt103
