_msg_id,_ts,_mt_type,21,_sender_bic,_receiver_bic,25,28C,_format,13D,34F,61,86,61#2,86#2,61#3,86#3,61#4,86#4,90D
BVFN96125210,2026-07-05T20:50:35.130,942,REL54560361,OCBCSGSG,HSBCGB2L,**************1488,345/1,mt,2607091925+0800,"SGD0,","2607010708C147,82NTRFNONREF",/REF/E2E81379457/ FENS,"2607090713C408,12NTRFNONREF",/REF/E2E79420652/ REET,,,,,"6MUD8740,69"
BXNA66396847,2026-07-10T22:37:47.144,942,REL01054483,DBSSSGSG,CITIUS33,**************2328,31/1,mt,2607130908+0800,"USD0,","2607040712C426,71NTRFNONREF",/REF/E2E45119228/ FEES,"2607140719C931,45NTRFNONREF",/REF/E2E41274176/ FENT,"2607140712C577,51NTRFNONREF",/REF/E2E01133174/ RENT,,,"8ESD5272,22"
EMNT34080411,2026-07-12T22:47:08.362,942,REL59952516,DBSSSGSG,MAYBMYKL,**************9557,138/1,mt,2607170112+0800,"USD0,","2607180709D903,81NTRFNONREF",/REF/E2E88957644/ REET,"2607170708C159,87NTRFNONREF",/REF/E2E23775076/ RENS,,,,,"1EUR1906,11"
UMED19495831,2026-07-06T10:15:03.473,942,REL38362862,UOVBSGSG,MAYBMYKL,**************5163,283/1,mt,2607012553+0800,"MYR0,","2607100706D267,35NTRFNONREF",/REF/E2E93217908/ FENS,"2607040717D638,92NTRFNONREF",/REF/E2E71753500/ FENS,,,,,"1SSR7640,95"
PHNI80004121,2026-07-06T03:59:57.876,942,REL27493492,DBSSSGSG,MAYBMYKL,**************6351,228/1,mt,2607192050+0800,"SGD0,","2607040708C482,13NTRFNONREF",/REF/E2E87098785/ FEES,"2607160701C347,41NTRFNONREF",/REF/E2E26343018/ RENT,"2607120717C613,54NTRFNONREF",/REF/E2E24081891/ FENT,"2607180719D229,26NTRFNONREF",/REF/E2E68115928/ FEET,"7SSR9735,11"
LPGW50566847,2026-07-10T18:13:43.928,942,REL37124094,DBSSSGSG,MAYBMYKL,**************7305,353/1,mt,2607100957+0800,"SGD0,","2607010706D720,53NTRFNONREF",/REF/E2E35939503/ REES,"2607050701C353,20NTRFNONREF",/REF/E2E21355704/ RENS,"2607010700D278,67NTRFNONREF",/REF/E2E60393176/ REES,,,"1MUD4954,03"
MSAN36753438,2026-07-13T05:05:20.557,942,REL02339130,DBSSSGSG,MAYBMYKL,**************3426,81/1,mt,2607010408+0800,"SGD0,","2607000704D124,18NTRFNONREF",/REF/E2E66052798/ RENT,"2607090707D369,68NTRFNONREF",/REF/E2E39918660/ RENT,,,,,"5UGR2850,23"
NDCQ96068482,2026-07-04T22:47:08.286,942,REL87873342,OCBCSGSG,CITIUS33,**************1853,234/1,mt,2607042929+0800,"EUR0,","2607190712C827,59NTRFNONREF",/REF/E2E64844891/ REET,"2607170715C708,18NTRFNONREF",/REF/E2E59075814/ RENT,"2607020707C806,85NTRFNONREF",/REF/E2E11010514/ FEET,,,"7MSD6426,85"
ACOI53237413,2026-07-02T07:37:19.095,942,REL33748901,UOVBSGSG,HSBCGB2L,**************6397,236/1,mt,2607062853+0800,"SGD0,","2607170717C918,17NTRFNONREF",/REF/E2E81054742/ REET,"2607140709D880,61NTRFNONREF",/REF/E2E50252996/ REET,,,,,"6MGR9698,26"
JKEO77255418,2026-07-04T17:46:47.748,942,REL60652811,UOVBSGSG,MAYBMYKL,**************8298,176/1,mt,2607062629+0800,"MYR0,","2607080712D224,33NTRFNONREF",/REF/E2E03353392/ RENT,,,"2607080703D710,33NTRFNONREF",/REF/E2E39667156/ RENS,,,"4SUD9170,75"
GPQD74099117,2026-07-08T15:06:51.156,942,REL64089755,DBSSSGSG,HSBCGB2L,**************5787,24/1,mt,2607131536+0800,"USD0,","2607120712C752,32NTRFNONREF",/REF/E2E85923138/ FEES,"2607160712D487,29NTRFNONREF",/REF/E2E57679563/ REES,,,,,"4MGR1884,10"
PMJG98970509,2026-07-07T05:50:55.974,942,REL08993379,DBSSSGSG,CITIUS33,**************6319,104/1,mt,2607101546+0800,"USD0,","2607120700D267,66NTRFNONREF",/REF/E2E52085250/ REET,"2607010703C562,70NTRFNONREF",/REF/E2E11850781/ RENT,"2607030708C278,67NTRFNONREF",/REF/E2E65432289/ FENS,,,"7EYR3384,92"
AUBI03001609,2026-07-04T08:48:38.197,942,REL87698106,DBSSSGSG,MAYBMYKL,**************7302,155/1,mt,2607011618+0800,"USD0,","2607170707D958,36NTRFNONREF",/REF/E2E18035491/ FEET,"2607050715C561,67NTRFNONREF",/REF/E2E30081491/ FENT,"2607000701C663,62NTRFNONREF",/REF/E2E31718225/ FEET,"2607140714D809,41NTRFNONREF",/REF/E2E53519235/ RENT,"8MUD9088,05"
FMYI30048445,2026-07-10T15:22:10.972,942,REL56870218,OCBCSGSG,MAYBMYKL,**************9326,335/1,mt,2607100327+0800,"USD0,","2607020701D323,06NTRFNONREF",/REF/E2E38985115/ RENS,"2607030709D802,39NTRFNONREF",/REF/E2E97461918/ RENT,"2607130703D571,61NTRFNONREF",/REF/E2E34828736/ FENS,"2607050702C877,27NTRFNONREF",/REF/E2E01177023/ FENS,"9UGD1094,74"
SWPA93233308,2026-07-12T20:39:50.525,942,REL06163935,OCBCSGSG,CITIUS33,**************8737,10/1,mt,2607132749+0800,"SGD0,","2607050714D118,72NTRFNONREF",/REF/E2E76382227/ RENT,,,"2607140708D851,58NTRFNONREF",/REF/E2E71038713/ REES,,,"9SGD5228,60"
WSDK93236852,2026-07-11T21:21:19.439,942,REL18131464,OCBCSGSG,HSBCGB2L,**************0235,248/1,mt,2607092135+0800,"SGD0,","2607150702C903,91NTRFNONREF",/REF/E2E88766461/ RENT,"2607150702D819,23NTRFNONREF",/REF/E2E60051272/ RENT,"2607150704C124,65NTRFNONREF",/REF/E2E47742582/ FEES,,,"9UUD6408,45"
RGPJ16233186,2026-07-05T06:19:00.002,942,REL73443292,UOVBSGSG,CITIUS33,**************4741,252/1,mt,2607032416+0800,"MYR0,","2607170702D437,48NTRFNONREF",/REF/E2E97403978/ REES,"2607090719C501,24NTRFNONREF",/REF/E2E81621487/ FEES,"2607010718D425,78NTRFNONREF",/REF/E2E29084940/ FENT,,,"6MYR3252,48"
BVCA76266167,2026-07-09T01:44:26.930,942,REL13634884,DBSSSGSG,MAYBMYKL,**************6874,74/1,mt,2607082056+0800,"EUR0,","2607160712C190,46NTRFNONREF",/REF/E2E79988546/ REES,"2607100715D687,88NTRFNONREF",/REF/E2E18147197/ FENS,"2607170717D217,31NTRFNONREF",/REF/E2E19222384/ FENT,,,"1UGR3262,88"
BXJV87441813,2026-07-04T02:43:22.856,942,REL25179338,UOVBSGSG,CITIUS33,**************0402,139/1,mt,2607151540+0800,"SGD0,","2607100702D708,52NTRFNONREF",/REF/E2E39737927/ FEET,"2607030718C448,53NTRFNONREF",/REF/E2E23662015/ FENS,,,,,"3USR4598,56"
XYWK35554241,2026-07-03T14:27:23.398,942,REL28152926,DBSSSGSG,CITIUS33,**************6698,204/1,mt,2607050506+0800,"SGD0,","2607110704C273,49NTRFNONREF",/REF/E2E03972426/ RENT,"2607140707D442,98NTRFNONREF",/REF/E2E78003968/ FENS,,,,,"9MGR5450,77"
XWHP34700327,2026-07-13T11:20:44.690,942,REL69515026,UOVBSGSG,MAYBMYKL,**************8012,17/1,mt,2607122751+0800,"USD0,","2607090713D189,02NTRFNONREF",/REF/E2E92835028/ FEET,"2607050705D669,69NTRFNONREF",/REF/E2E08741185/ FENT,"2607040701C868,58NTRFNONREF",/REF/E2E00422538/ RENS,"2607090716D880,40NTRFNONREF",/REF/E2E98245691/ REET,"4SGD8219,83"
MIYV54260199,2026-07-02T11:03:54.460,942,REL89590988,UOVBSGSG,HSBCGB2L,**************4275,274/1,mt,2607180823+0800,"USD0,","2607070704C578,54NTRFNONREF",/REF/E2E95641290/ REET,,,"2607180719C476,89NTRFNONREF",/REF/E2E87433760/ RENS,"2607040716D435,97NTRFNONREF",/REF/E2E05855631/ FENT,"1MYD2411,38"
QLCJ60616968,2026-07-12T05:49:24.102,942,REL20112182,OCBCSGSG,MAYBMYKL,**************9588,309/1,mt,2607100422+0800,"USD0,","2607120718D534,16NTRFNONREF",/REF/E2E39963194/ RENS,"2607090715C663,62NTRFNONREF",/REF/E2E95691911/ FENS,"2607070713C743,94NTRFNONREF",/REF/E2E20936384/ REES,,,"6UUD2517,54"
WKRF79571522,2026-07-10T19:12:20.084,942,REL56680513,OCBCSGSG,HSBCGB2L,**************4709,147/1,mt,2607170452+0800,"SGD0,","2607040708D658,09NTRFNONREF",/REF/E2E07767655/ FENT,,,"2607010706D926,73NTRFNONREF",/REF/E2E16415483/ FENS,,,"6UYD8292,38"
SDSF09523830,2026-07-08T21:56:03.114,942,REL63757701,UOVBSGSG,MAYBMYKL,**************2285,147/1,mt,2607061737+0800,"SGD0,","2607000709D951,78NTRFNONREF",/REF/E2E91526323/ FEET,"2607090700C431,86NTRFNONREF",/REF/E2E20332151/ RENT,"2607080705D708,66NTRFNONREF",/REF/E2E90882626/ RENS,,,"9MSD2450,69"
PAFD82599687,2026-07-02T21:05:01.855,942,REL92533513,DBSSSGSG,HSBCGB2L,**************5688,44/1,mt,2607000150+0800,"USD0,","2607080704D430,62NTRFNONREF",/REF/E2E51009540/ RENS,"2607160717C210,74NTRFNONREF",/REF/E2E52477251/ FEET,"2607160701D856,99NTRFNONREF",/REF/E2E64372351/ RENS,,,"5UYD2315,84"
NSCZ44081875,2026-07-09T08:04:12.538,942,REL67736245,OCBCSGSG,CITIUS33,**************1544,27/1,mt,2607082033+0800,"USD0,","2607110710C685,01NTRFNONREF",/REF/E2E18853949/ FENT,"2607090715D861,89NTRFNONREF",/REF/E2E93309469/ REET,,,"2607140709D328,02NTRFNONREF",/REF/E2E63931804/ RENS,"9EGD8351,61"
TRWF63072317,2026-07-13T14:27:18.870,942,REL39924534,OCBCSGSG,HSBCGB2L,**************3497,204/1,mt,2607011732+0800,"SGD0,","2607140702D401,40NTRFNONREF",/REF/E2E30335857/ RENT,,,"2607040716D761,11NTRFNONREF",/REF/E2E08920998/ RENS,,,"1MUR7131,40"
DPST05467675,2026-07-04T21:35:00.840,942,REL01037230,UOVBSGSG,MAYBMYKL,**************1696,116/1,mt,2607180827+0800,"SGD0,","2607010717D139,17NTRFNONREF",/REF/E2E89664465/ REET,"2607090707C785,78NTRFNONREF",/REF/E2E00838903/ REET,"2607170718C993,49NTRFNONREF",/REF/E2E57368956/ FENS,,,"3SSR6267,17"
RMWY38346417,2026-07-12T21:18:43.901,942,REL91320864,OCBCSGSG,CITIUS33,**************2849,268/1,mt,2607052005+0800,"SGD0,","2607100719C629,07NTRFNONREF",/REF/E2E24733774/ RENS,"2607000712C303,37NTRFNONREF",/REF/E2E58879977/ REES,"2607040707D235,45NTRFNONREF",/REF/E2E21416186/ RENT,,,"1USD6260,56"
CUCR64348636,2026-07-05T13:39:29.913,942,REL65337822,UOVBSGSG,MAYBMYKL,**************9163,104/1,mt,2607162902+0800,"SGD0,","2607100703C477,14NTRFNONREF",/REF/E2E43725838/ RENT,"2607040710D963,53NTRFNONREF",/REF/E2E71583525/ REET,"2607130701C656,56NTRFNONREF",/REF/E2E79977113/ FENS,,,"4MSD7901,08"
HFOQ94033728,2026-07-13T19:59:22.969,942,REL17765140,OCBCSGSG,MAYBMYKL,**************8339,357/1,mt,2607050813+0800,"USD0,","2607090716C283,15NTRFNONREF",/REF/E2E06277548/ RENT,"2607120717D769,60NTRFNONREF",/REF/E2E40995100/ FEET,,,"2607020710C536,88NTRFNONREF",/REF/E2E67053197/ RENS,"5EUD7421,18"
DAJZ23310361,2026-07-03T02:13:19.108,942,REL35197997,UOVBSGSG,HSBCGB2L,**************4864,299/1,mt,2607171142+0800,"SGD0,","2607120700C993,71NTRFNONREF",/REF/E2E34518445/ REET,,,,,,,"7UUR1814,09"
ORYJ42092468,2026-07-06T08:22:11.863,942,REL38745730,OCBCSGSG,CITIUS33,**************4134,94/1,mt,2607040343+0800,"SGD0,","2607020710C176,86NTRFNONREF",/REF/E2E85881784/ RENS,"2607040719C549,78NTRFNONREF",/REF/E2E91777864/ REES,,,,,"2MUR5615,58"
FXTQ02075858,2026-07-09T22:00:50.965,942,REL72465964,OCBCSGSG,CITIUS33,**************2662,204/1,mt,2607002248+0800,"USD0,","2607020701D795,47NTRFNONREF",/REF/E2E67140187/ FENS,"2607070709C629,35NTRFNONREF",/REF/E2E49753965/ FENS,,,"2607090709D628,48NTRFNONREF",/REF/E2E10183516/ FENS,"3EYR6377,12"
TOGF41665174,2026-07-02T00:25:37.670,942,REL35600396,UOVBSGSG,MAYBMYKL,**************9108,173/1,mt,2607010906+0800,"SGD0,","2607030707D137,36NTRFNONREF",/REF/E2E74265678/ REES,"2607050715D899,72NTRFNONREF",/REF/E2E69706119/ REET,,,"2607100705D404,23NTRFNONREF",/REF/E2E30934797/ FENT,"1EUD8112,49"
LRHI25453309,2026-07-08T08:58:06.944,942,REL35389818,UOVBSGSG,CITIUS33,**************3506,198/1,mt,2607182218+0800,"USD0,","2607100714D822,66NTRFNONREF",/REF/E2E04089293/ RENS,"2607160705C173,53NTRFNONREF",/REF/E2E12808285/ FEES,"2607030705D825,66NTRFNONREF",/REF/E2E79889410/ RENS,,,"8MSR8657,04"
IKYP30926021,2026-07-10T11:16:51.809,942,REL43189220,DBSSSGSG,MAYBMYKL,**************0595,184/1,mt,2607182051+0800,"USD0,","2607090711D954,83NTRFNONREF",/REF/E2E72461964/ FEES,,,"2607040713D402,45NTRFNONREF",/REF/E2E10335782/ REES,,,"7MSD6517,66"
HMND61087732,2026-07-12T23:33:18.463,942,REL50191555,OCBCSGSG,HSBCGB2L,**************9886,203/1,mt,2607102930+0800,"SGD0,","2607120701C392,78NTRFNONREF",/REF/E2E34049633/ FEET,"2607160713D283,05NTRFNONREF",/REF/E2E17771983/ REES,,,,,"9EYR8327,50"
RBDB79163549,2026-07-09T09:37:25.979,942,REL00554614,UOVBSGSG,CITIUS33,**************1308,272/1,mt,2607020824+0800,"MYR0,","2607180710D487,14NTRFNONREF",/REF/E2E37199330/ REET,"2607150711D270,04NTRFNONREF",/REF/E2E77526364/ RENS,"2607170707D651,44NTRFNONREF",/REF/E2E84526567/ RENS,,,"6EYR1056,45"
