_msg_id,_ts,_mt_type,21,_sender_bic,_receiver_bic,25,32A_ccy,32A_amount,72,_format
REF00000135097,2026-07-11T07:22:52.773,900,REL60190239,UOVBSGSG,CITIUS33,**************4813,SGD,1861.23,/BNF/ELAINE IYER,mt
REF00000663101,2026-07-08T05:10:18.126,900,REL29071312,UOVBSGSG,HSBCGB2L,**************7460,SGD,477.65,/BNF/ELAINE HASSAN,mt
REF00000169923,2026-07-03T08:01:10.369,900,REL15990055,DBSSSGSG,CITIUS33,**************2359,USD,737.27,/BNF/GRACE SHARMA,mt
REF00000531594,2026-07-06T04:10:19.231,900,REL90328756,DBSSSGSG,CITIUS33,**************8967,SGD,2542.94,/BNF/HAKIM SHARMA,mt
REF00000647413,2026-07-09T21:07:02.112,900,REL20667132,DBSSSGSG,MAYBMYKL,**************3007,USD,936.02,/BNF/ELAINE HASSAN,mt
REF00000036040,2026-07-10T03:15:29.008,900,REL80631517,OCBCSGSG,CITIUS33,**************1113,USD,122.48,/BNF/AISHA PILLAI,mt
REF00000152531,2026-07-12T17:16:00.587,900,REL26034405,UOVBSGSG,MAYBMYKL,**************9812,USD,425.15,/BNF/FATIMAH IYER,mt
REF00000435171,2026-07-07T16:45:20.269,900,REL16391491,DBSSSGSG,CITIUS33,**************5859,SGD,1474.21,/BNF/PRIYA TAN,mt
REF00000182928,2026-07-04T03:14:47.952,900,REL31584850,DBSSSGSG,HSBCGB2L,**************2239,USD,237.88,/BNF/DANIEL GOH,mt
REF00000046875,2026-07-05T21:31:50.135,900,REL08796496,DBSSSGSG,CITIUS33,**************3523,USD,1163.34,/BNF/FATIMAH PILLAI,mt
