_msg_id,_ts,_msg_type,BkToCstmrStmt.GrpHdr.MsgId,BkToCstmrStmt.GrpHdr.CreDtTm,BkToCstmrStmt.Stmt.Id,BkToCstmrStmt.Stmt.Acct.Id.Othr.Id,BkToCstmrStmt.Stmt.Bal#1.Tp.CdOrPrtry.Cd,BkToCstmrStmt.Stmt.Bal#1.Amt,BkToCstmrStmt.Stmt.Bal#1.Amt@Ccy,BkToCstmrStmt.Stmt.Bal#1.CdtDbtInd,BkToCstmrStmt.Stmt.Bal#2.Tp.CdOrPrtry.Cd,BkToCstmrStmt.Stmt.Bal#2.Amt,BkToCstmrStmt.Stmt.Bal#2.Amt@Ccy,BkToCstmrStmt.Stmt.Bal#2.CdtDbtInd,_ns,_format,BkToCstmrStmt.Stmt.Ntry#1.Amt,BkToCstmrStmt.Stmt.Ntry#1.Amt@Ccy,BkToCstmrStmt.Stmt.Ntry#1.CdtDbtInd,BkToCstmrStmt.Stmt.Ntry#1.Sts.Cd,BkToCstmrStmt.Stmt.Ntry#1.BookgDt.Dt,BkToCstmrStmt.Stmt.Ntry#1.AcctSvcrRef,BkToCstmrStmt.Stmt.Ntry#1.AddtlNtryInf,BkToCstmrStmt.Stmt.Ntry#2.Amt,BkToCstmrStmt.Stmt.Ntry#2.Amt@Ccy,BkToCstmrStmt.Stmt.Ntry#2.CdtDbtInd,BkToCstmrStmt.Stmt.Ntry#2.Sts.Cd,BkToCstmrStmt.Stmt.Ntry#2.BookgDt.Dt,BkToCstmrStmt.Stmt.Ntry#2.AcctSvcrRef,BkToCstmrStmt.Stmt.Ntry#2.AddtlNtryInf,BkToCstmrStmt.Stmt.Ntry#3.Amt,BkToCstmrStmt.Stmt.Ntry#3.Amt@Ccy,BkToCstmrStmt.Stmt.Ntry#3.CdtDbtInd,BkToCstmrStmt.Stmt.Ntry#3.Sts.Cd,BkToCstmrStmt.Stmt.Ntry#3.BookgDt.Dt,BkToCstmrStmt.Stmt.Ntry#3.AcctSvcrRef,BkToCstmrStmt.Stmt.Ntry#3.AddtlNtryInf,BkToCstmrStmt.Stmt.Ntry#4.Amt,BkToCstmrStmt.Stmt.Ntry#4.Amt@Ccy,BkToCstmrStmt.Stmt.Ntry#4.CdtDbtInd,BkToCstmrStmt.Stmt.Ntry#4.Sts.Cd,BkToCstmrStmt.Stmt.Ntry#4.BookgDt.Dt,BkToCstmrStmt.Stmt.Ntry#4.AcctSvcrRef,BkToCstmrStmt.Stmt.Ntry#4.AddtlNtryInf
STMT00000163,2026-07-10T11:01:26.171,camt.053.001.08,STMT00000225,2026-07-02T12:44:45,STMT00000145,**************9791,OPBD,12742.84,USD,CRDT,CLBD,8106.6,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,337.58,SGD,DBIT,BOOK,2026-07-03,********7362,INVOICE,80.88,SGD,CRDT,BOOK,2026-07-11,********7252,RENT,,,,,,,,,,,,,,
STMT00000028,2026-07-12T14:14:04.119,camt.053.001.08,STMT00000123,2026-07-02T22:45:51,STMT00000390,**************4969,OPBD,12156.73,SGD,CRDT,CLBD,33924.37,MYR,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,51.25,USD,DBIT,BOOK,2026-07-09,********0630,INVOICE,242.18,SGD,CRDT,BOOK,2026-07-06,********4886,SALARY,106.77,USD,CRDT,BOOK,2026-07-11,********4405,SUPPLIER,,,,,,,
STMT00000238,2026-07-07T08:57:53.053,camt.053.001.08,STMT00000221,2026-07-13T22:42:20,STMT00000265,**************4109,OPBD,12804.96,SGD,CRDT,CLBD,44701.82,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,247.36,SGD,CRDT,BOOK,2026-07-07,********7110,RENT,342.06,SGD,CRDT,BOOK,2026-07-10,********1045,INVOICE,75.9,USD,CRDT,BOOK,2026-07-13,********0714,RENT,,,,,,,
STMT00000088,2026-07-02T22:59:35.805,camt.053.001.08,STMT00000285,2026-07-08T01:52:47,STMT00000057,**************6110,OPBD,7197.89,SGD,CRDT,CLBD,10198.2,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,100.46,SGD,CRDT,BOOK,2026-07-05,********3055,INVOICE,1630.22,SGD,CRDT,BOOK,2026-07-03,********0679,SALARY,1026.82,SGD,DBIT,BOOK,2026-07-09,********9095,FEES,203.96,SGD,DBIT,BOOK,2026-07-09,ASR900336579,SUPPLIER
STMT00000380,2026-07-09T12:33:00.635,camt.053.001.08,STMT00000350,2026-07-14T20:29:03,STMT00000022,**************4544,OPBD,10273.59,SGD,CRDT,CLBD,18415.93,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,4106.3,SGD,DBIT,BOOK,2026-07-06,********9613,SUPPLIER,367.43,SGD,DBIT,BOOK,2026-07-02,********2504,INVOICE,252.39,SGD,DBIT,BOOK,2026-07-03,********8293,INVOICE,,,,,,,
STMT00000227,2026-07-08T00:58:08.039,camt.053.001.08,STMT00000224,2026-07-02T14:16:56,STMT00000020,**************3786,OPBD,5405.85,SGD,CRDT,CLBD,18807.17,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,335.15,EUR,CRDT,BOOK,2026-07-04,********6746,INVOICE,178.74,SGD,DBIT,BOOK,2026-07-09,********8102,RENT,427.47,SGD,CRDT,BOOK,2026-07-02,********8178,RENT,,,,,,,
STMT00000118,2026-07-12T19:32:26.661,camt.053.001.08,STMT00000359,2026-07-01T02:57:28,STMT00000163,**************1143,OPBD,313545.94,SGD,CRDT,CLBD,25266.97,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,274.74,SGD,CRDT,BOOK,2026-07-08,********3602,INVOICE,45.69,USD,CRDT,BOOK,2026-07-03,********2731,RENT,,,,,,,,109.87,SGD,DBIT,BOOK,2026-07-01,ASR001358962,FEES
STMT00000261,2026-07-10T07:26:28.638,camt.053.001.08,STMT00000184,2026-07-01T22:35:59,STMT00000042,**************5549,OPBD,27082.34,USD,CRDT,CLBD,172674.31,MYR,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,55.3,SGD,CRDT,BOOK,2026-07-10,********4446,INVOICE,1300.37,USD,DBIT,BOOK,2026-07-13,********5859,SUPPLIER,405.09,SGD,DBIT,BOOK,2026-07-08,********4783,FEES,,,,,,,
STMT00000327,2026-07-04T00:59:00.999,camt.053.001.08,STMT00000385,2026-07-01T20:05:17,STMT00000030,**************1922,OPBD,46369.14,SGD,CRDT,CLBD,5544.77,MYR,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,110.64,SGD,DBIT,BOOK,2026-07-10,********5103,SUPPLIER,278.45,SGD,CRDT,BOOK,2026-07-12,********1981,SALARY,8.22,USD,DBIT,BOOK,2026-07-01,********5558,FEES,,,,,,,
STMT00000385,2026-07-01T02:13:40.531,camt.053.001.08,STMT00000321,2026-07-02T08:48:42,STMT00000053,**************1542,OPBD,5800.15,SGD,CRDT,CLBD,7990.37,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,272.22,USD,DBIT,BOOK,2026-07-08,********5187,INVOICE,161.51,SGD,CRDT,BOOK,2026-07-11,********4064,SUPPLIER,,,,,,,,,,,,,,
STMT00000264,2026-07-08T21:51:27.615,camt.053.001.08,STMT00000109,2026-07-07T22:19:43,STMT00000371,**************4613,OPBD,24468.06,USD,CRDT,CLBD,15486.64,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,186.73,SGD,CRDT,BOOK,2026-07-03,********6908,FEES,478.8,SGD,CRDT,BOOK,2026-07-06,********2139,SUPPLIER,388.71,SGD,DBIT,BOOK,2026-07-01,********0804,RENT,264.53,USD,DBIT,BOOK,2026-07-10,ASR552049422,SALARY
STMT00000002,2026-07-10T01:34:11.290,camt.053.001.08,STMT00000223,2026-07-01T02:57:28,STMT00000177,**************4821,OPBD,12049.26,USD,CRDT,CLBD,16807.6,EUR,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,64.49,SGD,CRDT,BOOK,2026-07-12,********0627,SUPPLIER,375.23,USD,DBIT,BOOK,2026-07-02,********2097,FEES,107.84,SGD,DBIT,BOOK,2026-07-03,********3619,RENT,280.82,SGD,DBIT,BOOK,2026-07-04,ASR550832161,FEES
STMT00000230,2026-07-06T08:24:08.277,camt.053.001.08,STMT00000026,2026-07-01T19:13:41,STMT00000012,**************0731,OPBD,73055.58,USD,CRDT,CLBD,19123.52,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,14655.21,SGD,CRDT,BOOK,2026-07-03,********9448,INVOICE,201.2,USD,DBIT,BOOK,2026-07-09,********6644,INVOICE,967.17,USD,CRDT,BOOK,2026-07-07,********4826,RENT,789.54,SGD,DBIT,BOOK,2026-07-08,ASR221435453,FEES
STMT00000243,2026-07-13T07:12:00.511,camt.053.001.08,STMT00000038,2026-07-11T16:31:03,STMT00000053,**************7658,OPBD,27089.56,USD,CRDT,CLBD,32414.43,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,109.95,USD,DBIT,BOOK,2026-07-08,********9346,FEES,539.51,SGD,CRDT,BOOK,2026-07-04,********1030,FEES,141.48,USD,DBIT,BOOK,2026-07-09,********8950,RENT,,,,,,,
STMT00000338,2026-07-14T09:58:41.666,camt.053.001.08,STMT00000159,2026-07-02T15:48:49,STMT00000320,**************8495,OPBD,9097.75,SGD,CRDT,CLBD,63708.94,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,43.64,USD,DBIT,BOOK,2026-07-07,********3524,FEES,1168.09,EUR,CRDT,BOOK,2026-07-13,********3018,INVOICE,298.91,USD,DBIT,BOOK,2026-07-01,********5848,INVOICE,,,,,,,
STMT00000012,2026-07-13T21:04:50.956,camt.053.001.08,STMT00000186,2026-07-03T01:33:52,STMT00000261,**************4675,OPBD,82850.62,USD,CRDT,CLBD,31740.28,MYR,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,560.89,SGD,DBIT,BOOK,2026-07-13,********7465,SUPPLIER,240.99,SGD,CRDT,BOOK,2026-07-11,********3538,SALARY,,,,,,,,,,,,,,
STMT00000357,2026-07-05T07:57:09.118,camt.053.001.08,STMT00000245,2026-07-06T09:16:37,STMT00000371,**************4753,OPBD,8004.55,SGD,CRDT,CLBD,3208.49,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,590.8,SGD,DBIT,BOOK,2026-07-09,********9059,SUPPLIER,104.12,SGD,DBIT,BOOK,2026-07-11,********4044,FEES,,,,,,,,,,,,,,
STMT00000264,2026-07-10T12:25:40.546,camt.053.001.08,STMT00000128,2026-07-12T12:18:11,STMT00000002,**************9612,OPBD,14106.12,SGD,CRDT,CLBD,37464.72,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,1684.76,SGD,DBIT,BOOK,2026-07-08,********6575,SUPPLIER,601.65,SGD,DBIT,BOOK,2026-07-14,********2065,INVOICE,570.35,SGD,DBIT,BOOK,2026-07-01,********0743,FEES,25.49,SGD,DBIT,BOOK,2026-07-06,ASR745672380,SUPPLIER
STMT00000104,2026-07-04T06:21:30.204,camt.053.001.08,STMT00000256,2026-07-05T00:45:38,STMT00000228,**************6298,OPBD,11993.22,SGD,CRDT,CLBD,32434.54,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,349.84,SGD,CRDT,BOOK,2026-07-12,********1774,FEES,1496.47,SGD,DBIT,BOOK,2026-07-03,********7920,RENT,723.37,USD,DBIT,BOOK,2026-07-14,********9746,RENT,,,,,,,
STMT00000294,2026-07-05T16:49:53.311,camt.053.001.08,STMT00000370,2026-07-11T12:06:16,STMT00000205,**************3293,OPBD,64717.13,SGD,CRDT,CLBD,71340.7,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,954.09,SGD,DBIT,BOOK,2026-07-14,********9596,SALARY,190.77,SGD,CRDT,BOOK,2026-07-07,********2085,INVOICE,,,,,,,,2348.79,SGD,CRDT,BOOK,2026-07-05,ASR865478656,SUPPLIER
STMT00000231,2026-07-14T11:40:41.550,camt.053.001.08,STMT00000275,2026-07-02T12:40:44,STMT00000253,**************0523,OPBD,86910.38,USD,CRDT,CLBD,30514.64,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,323.87,USD,CRDT,BOOK,2026-07-08,********0931,SALARY,334.51,MYR,DBIT,BOOK,2026-07-11,********2742,SUPPLIER,164.61,SGD,DBIT,BOOK,2026-07-10,********6066,INVOICE,281.87,SGD,CRDT,BOOK,2026-07-13,ASR700841920,INVOICE
STMT00000359,2026-07-08T16:47:27.559,camt.053.001.08,STMT00000087,2026-07-02T09:54:04,STMT00000325,**************9806,OPBD,23600.43,USD,CRDT,CLBD,57257.65,MYR,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,388.31,USD,DBIT,BOOK,2026-07-04,********6040,SUPPLIER,61.45,SGD,CRDT,BOOK,2026-07-09,********4043,INVOICE,1364.79,SGD,DBIT,BOOK,2026-07-13,********9910,SUPPLIER,332.39,USD,DBIT,BOOK,2026-07-02,ASR448307895,SUPPLIER
STMT00000067,2026-07-07T21:05:50.736,camt.053.001.08,STMT00000110,2026-07-02T21:31:11,STMT00000122,**************5743,OPBD,195575.82,MYR,CRDT,CLBD,130321.99,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,90.34,SGD,CRDT,BOOK,2026-07-14,********7405,FEES,269.99,SGD,CRDT,BOOK,2026-07-01,********8251,SUPPLIER,551.47,SGD,DBIT,BOOK,2026-07-11,********7447,SALARY,,,,,,,
STMT00000174,2026-07-10T14:03:02.245,camt.053.001.08,STMT00000396,2026-07-04T05:35:10,STMT00000273,**************6095,OPBD,5793.79,SGD,CRDT,CLBD,3830.07,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,413.78,SGD,DBIT,BOOK,2026-07-06,********4608,RENT,945.65,SGD,CRDT,BOOK,2026-07-03,********5208,INVOICE,,,,,,,,1058.43,USD,CRDT,BOOK,2026-07-08,ASR982464585,SUPPLIER
STMT00000234,2026-07-06T10:23:22.804,camt.053.001.08,STMT00000155,2026-07-11T01:45:09,STMT00000359,**************3818,OPBD,81562.53,SGD,CRDT,CLBD,12687.5,MYR,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,633.41,SGD,CRDT,BOOK,2026-07-04,********0148,FEES,582.0,SGD,CRDT,BOOK,2026-07-10,********3345,SALARY,572.07,SGD,DBIT,BOOK,2026-07-12,********6580,SALARY,,,,,,,
STMT00000214,2026-07-01T03:51:15.841,camt.053.001.08,STMT00000338,2026-07-13T09:19:21,STMT00000252,**************0856,OPBD,27414.27,MYR,CRDT,CLBD,6780.57,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,505.16,MYR,DBIT,BOOK,2026-07-11,********3716,SUPPLIER,1538.97,SGD,DBIT,BOOK,2026-07-11,********4800,SUPPLIER,142.64,MYR,DBIT,BOOK,2026-07-07,********9994,FEES,,,,,,,
STMT00000379,2026-07-06T12:36:35.821,camt.053.001.08,STMT00000306,2026-07-14T12:04:41,STMT00000340,**************0094,OPBD,17083.5,MYR,CRDT,CLBD,71293.81,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,122.86,USD,DBIT,BOOK,2026-07-10,********8734,INVOICE,197.93,SGD,CRDT,BOOK,2026-07-07,********2583,FEES,84.39,EUR,DBIT,BOOK,2026-07-03,********5831,SUPPLIER,1430.19,SGD,CRDT,BOOK,2026-07-02,ASR413605406,SALARY
STMT00000256,2026-07-11T23:17:39.464,camt.053.001.08,STMT00000063,2026-07-03T14:23:59,STMT00000092,**************3085,OPBD,53524.65,USD,CRDT,CLBD,9547.77,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,448.1,MYR,CRDT,BOOK,2026-07-10,********1388,RENT,2605.01,USD,CRDT,BOOK,2026-07-06,********8489,SUPPLIER,5327.77,SGD,DBIT,BOOK,2026-07-11,********8869,FEES,6276.95,SGD,DBIT,BOOK,2026-07-07,ASR309473083,SALARY
STMT00000146,2026-07-09T10:13:33.390,camt.053.001.08,STMT00000148,2026-07-06T12:31:05,STMT00000118,**************8116,OPBD,8275.15,SGD,CRDT,CLBD,10106.45,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.053.001.08,mx,180.06,SGD,CRDT,BOOK,2026-07-02,********3651,FEES,367.2,USD,DBIT,BOOK,2026-07-10,********0499,SUPPLIER,99.9,SGD,CRDT,BOOK,2026-07-06,********4959,FEES,274.52,EUR,CRDT,BOOK,2026-07-07,ASR995428814,SUPPLIER
