_msg_id,_ts,_mt_type,21,_sender_bic,_receiver_bic,25,32A_ccy,32A_amount,72,_format,50K_acct,50K_name,52A
REF00000188168,2026-07-06T14:35:40.611,910,REL56245249,OCBCSGSG,MAYBMYKL,**************1522,USD,890.86,/BNF/SITI KRISHNAN,mt,**************2002,ZEGBN MXKGVM,OCBCSGSG
REF00000317642,2026-07-09T15:56:09.525,910,REL18678974,OCBCSGSG,CITIUS33,**************1036,USD,748.81,/BNF/MEI LING ABDULLAH,mt,**************5918,IRUJN KVSERC,OCBCSGSG
REF00000641278,2026-07-12T02:34:26.424,910,REL84117173,DBSSSGSG,MAYBMYKL,**************4774,USD,605.55,/BNF/RAJESH ABDULLAH,mt,**************2148,GOQVA QCAKEW,UOVBSGSG
REF00000054747,2026-07-07T03:59:19.786,910,REL39096362,UOVBSGSG,HSBCGB2L,**************5656,USD,438.15,/BNF/WEI LEE,mt,**************8693,YIINM SIQDWM,OCBCSGSG
REF00000348266,2026-07-01T17:32:32.211,910,REL95586314,OCBCSGSG,HSBCGB2L,**************3860,EUR,365.96,/BNF/KUMAR CHUA,mt,**************1764,IGJWS MBLOHY,DBSSSGSG
REF00000659341,2026-07-11T21:45:41.321,910,REL65840777,OCBCSGSG,MAYBMYKL,**************5508,EUR,300.95,/BNF/SITI LEE,mt,**************1580,PFMJA CPMJNV,OCBCSGSG
REF00000768111,2026-07-06T22:08:13.195,910,REL83579450,OCBCSGSG,MAYBMYKL,**************4413,SGD,432.09,/BNF/HAKIM HASSAN,mt,**************2649,PFMUP FJSLUT,UOVBSGSG
REF00000734117,2026-07-09T05:57:13.546,910,REL33791453,OCBCSGSG,HSBCGB2L,**************7487,SGD,890.01,/BNF/AISHA CHUA,mt,**************9378,LGFQS OZVPVA,DBSSSGSG
REF00000766076,2026-07-02T04:46:54.411,910,REL16066316,OCBCSGSG,HSBCGB2L,**************6554,USD,2379.4,/BNF/MEI LING TAN,mt,**************4696,ZZXOV ZDALZP,DBSSSGSG
REF00000145943,2026-07-06T16:35:17.699,910,REL31189096,UOVBSGSG,CITIUS33,**************2971,USD,3155.95,/BNF/DANIEL GOH,mt,**************7314,CESKL YYJJVV,OCBCSGSG
REF00000023931,2026-07-13T04:14:32.712,910,REL66310118,DBSSSGSG,CITIUS33,**************7460,SGD,382.22,/BNF/ARUN SHARMA,mt,**************5386,SKSJS GQXICR,UOVBSGSG
REF00000276096,2026-07-13T12:02:14.610,910,REL95774115,OCBCSGSG,CITIUS33,**************6604,EUR,488.93,/BNF/MEI LING ABDULLAH,mt,**************8164,WKJOC SICWNG,DBSSSGSG
REF00000756967,2026-07-05T13:54:59.814,910,REL69647413,OCBCSGSG,MAYBMYKL,**************1293,USD,640.94,/BNF/MARCUS HASSAN,mt,**************2519,PBZPT FOXYQO,UOVBSGSG
REF00000401359,2026-07-04T18:36:57.844,910,REL26811113,OCBCSGSG,MAYBMYKL,**************6252,SGD,1206.67,/BNF/RAJESH LIM,mt,**************4978,WTGKQ KKOICY,UOVBSGSG
REF00000235531,2026-07-10T02:08:59.271,910,REL84597915,UOVBSGSG,MAYBMYKL,**************7252,SGD,386.8,/BNF/MARCUS HASSAN,mt,**************9883,LGFQS OZVPVA,OCBCSGSG
REF00000745434,2026-07-07T03:09:39.441,910,REL34596063,OCBCSGSG,MAYBMYKL,**************3916,SGD,4285.65,/BNF/HAKIM HASSAN,mt,**************9979,QSSRD HILEAM,OCBCSGSG
REF00000755910,2026-07-13T08:49:28.109,910,REL40564352,DBSSSGSG,MAYBMYKL,**************6964,MYR,542.94,/BNF/PRIYA WONG,mt,**************8645,BVBGV EKQLNQ,DBSSSGSG
REF00000512299,2026-07-05T00:41:06.873,910,REL55983552,UOVBSGSG,HSBCGB2L,**************7987,SGD,1598.0,/BNF/ELAINE HASSAN,mt,**************5003,CYJIW PSHLQC,DBSSSGSG
REF00000383214,2026-07-05T07:41:52.256,910,REL30714136,DBSSSGSG,HSBCGB2L,**************4109,USD,1085.68,/BNF/KUMAR ABDULLAH,mt,**************1045,UZAVS KSHFPP,OCBCSGSG
REF00000359195,2026-07-10T02:06:09.778,910,REL38976955,OCBCSGSG,HSBCGB2L,**************0551,USD,646.53,/BNF/DANIEL PILLAI,mt,**************4867,VVERT TCERHW,OCBCSGSG
REF00000179788,2026-07-08T19:42:37.283,910,REL79258453,OCBCSGSG,HSBCGB2L,**************0439,USD,617.76,/BNF/SITI SHARMA,mt,**************0238,FQYQW YMKEWR,UOVBSGSG
REF00000257574,2026-07-03T16:05:13.201,910,REL04321427,DBSSSGSG,HSBCGB2L,**************7836,SGD,2325.49,/BNF/DANIEL HASSAN,mt,**************1181,SRTTO BLCLYV,DBSSSGSG
REF00000275003,2026-07-04T23:33:22.649,910,REL06612222,UOVBSGSG,HSBCGB2L,**************7994,SGD,2009.25,/BNF/SITI PILLAI,mt,**************8887,NBTTC KHTZGL,DBSSSGSG
REF00000544304,2026-07-12T15:50:48.520,910,REL76352504,UOVBSGSG,CITIUS33,**************4930,SGD,3154.52,/BNF/ELAINE ABDULLAH,mt,**************7595,QWYMS PBAOZC,UOVBSGSG
REF00000129780,2026-07-08T03:06:57.226,910,REL94551526,OCBCSGSG,HSBCGB2L,**************7641,MYR,237.39,/BNF/WEI GOH,mt,**************7817,JIDYF NNYDQD,OCBCSGSG
REF00000503237,2026-07-01T07:33:32.420,910,REL17334381,DBSSSGSG,MAYBMYKL,**************4983,EUR,215.98,/BNF/DANIEL LIM,mt,**************6009,JNKEP VYUHWZ,OCBCSGSG
REF00000261780,2026-07-08T01:23:25.283,910,REL76978997,DBSSSGSG,CITIUS33,**************5760,USD,542.24,/BNF/RAJESH CHUA,mt,**************7831,AXLSL NFCUAG,OCBCSGSG
REF00000436842,2026-07-10T23:59:52.486,910,REL21273181,UOVBSGSG,CITIUS33,**************5216,USD,1343.38,/BNF/DANIEL WONG,mt,**************7162,YGTTR XEQEVI,DBSSSGSG
REF00000173701,2026-07-02T02:43:49.555,910,REL19348408,OCBCSGSG,MAYBMYKL,**************1591,SGD,473.16,/BNF/MARCUS KRISHNAN,mt,**************2678,UXBTO LTXLJM,OCBCSGSG
REF00000549353,2026-07-08T07:33:04.078,910,REL01658593,DBSSSGSG,CITIUS33,**************4077,USD,2528.35,/BNF/HAKIM CHUA,mt,**************2630,LGFQS OZVPVA,OCBCSGSG
