_msg_id,_ts,_mt_type,119,21,_sender_bic,_receiver_bic,32A_ccy,32A_amount,52A,57A,58A,_format,50K_acct,50K_name,59_acct,59_name
REF00000458567,2026-07-09T07:48:26.543,202,COV,REL26386946,DBSSSGSG,CITIUS33,MYR,33398,OCBCSGSG,UOVBSGSG,MAYBMYKL,mt,**************3759,YPFMJA CPM,**************5607,JNVPF MUP
REF00000693536,2026-07-04T06:13:12.072,202,COV,REL36036563,UOVBSGSG,MAYBMYKL,SGD,82378,OCBCSGSG,UOVBSGSG,CITIUS33,mt,**************8598,FJSLUT LGF,**************6352,QSOZV PVA
REF00000733593,2026-07-10T13:21:22.713,202,COV,REL94856406,OCBCSGSG,MAYBMYKL,SGD,32088,UOVBSGSG,MAYBMYKL,CITIUS33,mt,**************6972,ZZXOVZ DAL,**************7095,ZPCES KLY
REF00000572867,2026-07-07T09:09:22.624,202,COV,REL13751522,OCBCSGSG,CITIUS33,USD,32558,OCBCSGSG,CITIUS33,MAYBMYKL,mt,**************4534,YJJVVS KSJ,**************3455,SGQXI CRW
REF00000002603,2026-07-10T09:02:31.591,202,COV,REL51036087,UOVBSGSG,HSBCGB2L,USD,26712,UOVBSGSG,MAYBMYKL,MAYBMYKL,mt,**************9242,TGKQKK OIC,**************4620,YQSSR DHI
REF00000659189,2026-07-05T00:24:38.554,202,COV,REL05447744,OCBCSGSG,CITIUS33,SGD,147476,UOVBSGSG,CITIUS33,MAYBMYKL,mt,**************9927,LEAMBV BGV,**************0790,EKQLN QCY
REF00000148807,2026-07-03T13:21:55.051,202,COV,REL56564832,OCBCSGSG,HSBCGB2L,EUR,201468,OCBCSGSG,MAYBMYKL,MAYBMYKL,mt,**************6735,JIWPSH LQC,**************6995,UZAVS KSH
REF00000608203,2026-07-01T22:04:09.583,202,COV,REL86084324,DBSSSGSG,HSBCGB2L,EUR,10633,UOVBSGSG,CITIUS33,CITIUS33,mt,**************8048,FPPVVE RTT,**************3158,CERHW FQY
REF00000649483,2026-07-01T03:12:58.858,202,COV,REL55085797,DBSSSGSG,MAYBMYKL,SGD,158375,DBSSSGSG,HSBCGB2L,HSBCGB2L,mt,**************0159,QWYMKE WRS,**************4683,RTTOB LCL
REF00000350906,2026-07-05T08:55:39.603,202,COV,REL28576388,OCBCSGSG,MAYBMYKL,SGD,345650,OCBCSGSG,DBSSSGSG,MAYBMYKL,mt,**************1835,YVNBTT CKH,**************7294,TZGLQ WYM
REF00000095707,2026-07-11T16:25:05.143,202,COV,REL53138058,DBSSSGSG,MAYBMYKL,SGD,296205,OCBCSGSG,HSBCGB2L,HSBCGB2L,mt,**************2337,SPBAOZ CJN,**************2799,KEPVY UHW
REF00000529483,2026-07-13T17:41:47.753,202,COV,REL03274329,DBSSSGSG,MAYBMYKL,SGD,106367,UOVBSGSG,MAYBMYKL,MAYBMYKL,mt,**************6631,ZAXLSL NFC,**************5549,SERCY IIN
REF00000395544,2026-07-02T12:10:56.689,202,COV,REL35097086,UOVBSGSG,HSBCGB2L,USD,499123,DBSSSGSG,DBSSSGSG,CITIUS33,mt,**************4731,VJOBNI VZB,**************6483,UAGYG TTR
REF00000148139,2026-07-05T14:30:56.383,202,COV,REL37460394,DBSSSGSG,HSBCGB2L,USD,74507,UOVBSGSG,OCBCSGSG,CITIUS33,mt,**************8701,LIHUGO QVA,**************5178,XEQEV IUX
REF00000386041,2026-07-09T10:41:29.170,202,COV,REL06604528,DBSSSGSG,HSBCGB2L,SGD,74648,DBSSSGSG,MAYBMYKL,CITIUS33,mt,**************7023,BTOLTX LJM,**************1241,NYLHJ AKS
REF00000641988,2026-07-03T10:35:33.741,202,COV,REL74094412,UOVBSGSG,MAYBMYKL,SGD,69885,DBSSSGSG,CITIUS33,HSBCGB2L,mt,**************4686,IDRTBG RSS,**************7219,LRFKJ LIW
REF00000713225,2026-07-09T12:08:04.063,202,COV,REL57806315,OCBCSGSG,HSBCGB2L,EUR,128574,OCBCSGSG,HSBCGB2L,CITIUS33,mt,**************5971,CCMGBJ ZBH,**************1113,WUFOF ARW
REF00000152531,2026-07-05T09:49:40.388,202,COV,REL43517187,UOVBSGSG,MAYBMYKL,USD,94265,UOVBSGSG,CITIUS33,CITIUS33,mt,**************5312,NHGOIX FLX,**************1534,SERCY IIN
REF00000225859,2026-07-06T18:13:29.165,202,COV,REL03122391,DBSSSGSG,HSBCGB2L,SGD,273880,DBSSSGSG,DBSSSGSG,HSBCGB2L,mt,**************6101,SNQPYT SPP,**************8844,QOXXZ XLT
REF00000775251,2026-07-10T22:49:11.427,202,COV,REL93255134,DBSSSGSG,MAYBMYKL,SGD,127667,DBSSSGSG,DBSSSGSG,CITIUS33,mt,**************3523,DWVQMS EDZ,**************7908,PPDRR EZY
REF00000129151,2026-07-10T12:05:52.744,202,COV,REL10457879,OCBCSGSG,MAYBMYKL,USD,99451,UOVBSGSG,UOVBSGSG,MAYBMYKL,mt,**************2443,IHWCKM JWQ,**************7504,LMRGT PVV
REF00000537338,2026-07-05T04:28:27.245,202,COV,REL48168710,UOVBSGSG,HSBCGB2L,SGD,35999,OCBCSGSG,UOVBSGSG,CITIUS33,mt,**************3607,OKOQDR ZOC,**************5431,QCAKE WPV
REF00000359195,2026-07-10T02:06:09.778,202,COV,REL68962648,UOVBSGSG,MAYBMYKL,MYR,584677,DBSSSGSG,DBSSSGSG,HSBCGB2L,mt,**************1663,CGFTKF MIW,**************4958,GIAFV KTD
REF00000179788,2026-07-08T19:42:37.283,202,COV,REL17481302,UOVBSGSG,MAYBMYKL,MYR,44472,OCBCSGSG,DBSSSGSG,MAYBMYKL,mt,**************6119,BBZVIN KKJ,**************8114,LMRGT PVV
REF00000257574,2026-07-02T06:41:58.183,202,COV,REL31181389,UOVBSGSG,MAYBMYKL,SGD,64765,DBSSSGSG,CITIUS33,CITIUS33,mt,**************4182,BTOLTX LJM,**************6457,SNWSV FMM
REF00000500395,2026-07-13T19:08:11.785,202,COV,REL61888742,DBSSSGSG,MAYBMYKL,MYR,29670,UOVBSGSG,DBSSSGSG,CITIUS33,mt,**************7396,NHGOIX FLX,**************5829,AJTTJ WKT
REF00000430434,2026-07-05T10:25:29.310,202,COV,REL27595676,UOVBSGSG,HSBCGB2L,SGD,76737,UOVBSGSG,CITIUS33,CITIUS33,mt,**************1329,HEGTOT ONQ,**************5843,KQIZN MIV
REF00000432424,2026-07-06T13:42:30.541,202,COV,REL78408321,UOVBSGSG,MAYBMYKL,EUR,132473,UOVBSGSG,HSBCGB2L,CITIUS33,mt,**************0629,SPKHJF FNF,**************2830,BHSRL URG
REF00000378608,2026-07-10T00:53:38.235,202,COV,REL84600900,UOVBSGSG,MAYBMYKL,SGD,39289,UOVBSGSG,DBSSSGSG,HSBCGB2L,mt,**************5712,YPFMJA CPM,**************1723,NOARM YCW
REF00000261780,2026-07-04T04:43:46.867,202,COV,REL13492078,OCBCSGSG,HSBCGB2L,SGD,42155,UOVBSGSG,CITIUS33,HSBCGB2L,mt,**************9263,WCCHUM WPM,**************6208,YZHWJ QKQ
REF00000143684,2026-07-09T12:21:32.766,202,COV,REL56102627,OCBCSGSG,CITIUS33,USD,107730,DBSSSGSG,OCBCSGSG,MAYBMYKL,mt,**************1570,QOZVVC JZY,**************9953,ZPCES KLY
REF00000446517,2026-07-06T23:30:07.569,202,COV,REL47724783,UOVBSGSG,MAYBMYKL,SGD,303813,OCBCSGSG,DBSSSGSG,CITIUS33,mt,**************2504,WNFSGJ BLR,**************0547,AZQFE EMN
REF00000579554,2026-07-11T00:07:59.349,202,COV,REL78750385,DBSSSGSG,MAYBMYKL,SGD,42255,OCBCSGSG,MAYBMYKL,MAYBMYKL,mt,**************4662,TGKQKK OIC,**************6892,FQEJD PRZ
REF00000103063,2026-07-06T11:12:15.305,202,COV,REL05152344,OCBCSGSG,HSBCGB2L,SGD,100532,OCBCSGSG,DBSSSGSG,HSBCGB2L,mt,**************8335,TGKQKK OIC,**************5187,KTEIY NXP
