_msg_id,_ts,_mt_type,71A,21,28D,50H_acct,50H_name,30,32B,57A,59_acct,59_name,70,_sender_bic,_receiver_bic,_format
REF00000230465,2026-07-07T07:56:41.683,101,OUR,TXN44161508,1/1,**************0599,MIRU JNKVSE,260712,"SSR745,06",CITIUS33,**************7789,HCVRO CTVCQSBI,INVOICE 65774,OCBCSGSG,MAYBMYKL,mt
REF00000559684,2026-07-06T07:06:31.672,101,SHA,TXN15705879,1/1,**************5273,RCYI INMSIQ,260706,"USD281,04",HSBCGB2L,**************0260,DWMIG JWSMBLOH,INVOICE 83616,OCBCSGSG,MAYBMYKL,mt
REF00000320906,2026-07-06T04:29:30.909,101,OUR,TXN68504585,1/1,**************8308,YPFM JACPMJ,260708,"EYR941,89",HSBCGB2L,**************4219,NVPFM UPFJSLUT,INVOICE 75829,UOVBSGSG,CITIUS33,mt
REF00000021356,2026-07-08T10:47:59.788,101,OUR,TXN86457833,1/1,**************8391,LGFQ SOZVPV,260713,"UUD859,86",CITIUS33,**************2638,AZZXO VZDALZPC,INVOICE 51057,DBSSSGSG,CITIUS33,mt
REF00000373217,2026-07-08T13:50:12.144,101,OUR,TXN47827570,1/1,**************5295,ESKL YYJJVV,260701,"MGR836,36",HSBCGB2L,**************3359,SKSJS GQXICRWT,INVOICE 01877,DBSSSGSG,CITIUS33,mt
REF00000675923,2026-07-06T13:25:51.029,101,OUR,TXN82576899,1/1,**************1522,GKQK KOICYQ,260714,"SSR828,73",MAYBMYKL,**************6417,SSRDH ILEAMBVB,INVOICE 56245,DBSSSGSG,HSBCGB2L,mt
REF00000283540,2026-07-06T21:41:09.307,101,SHA,TXN10609533,1/1,**************1659,GVEK QLNQCY,260713,"ESD276,21",MAYBMYKL,**************9742,JIWPS HLQCUZAV,INVOICE 85510,DBSSSGSG,MAYBMYKL,mt
REF00000499278,2026-07-01T15:09:40.381,101,OUR,TXN67359039,1/1,**************7435,SKSH FPPVVE,260706,"SGD817,60",CITIUS33,**************6013,RTTCE RHWFQYQW,INVOICE 88071,DBSSSGSG,HSBCGB2L,mt
REF00000605656,2026-07-04T18:42:38.188,101,SHA,TXN32491453,1/1,**************4383,YMKE WRSRTT,260705,"EYD777,88",MAYBMYKL,**************8266,OBLCL YVNBTTCK,INVOICE 48095,OCBCSGSG,MAYBMYKL,mt
REF00000373451,2026-07-12T09:03:54.097,101,BEN,TXN18757076,1/1,**************3509,YPFM JACPMJ,260702,"MUD203,59",HSBCGB2L,**************5746,HTZGL QWYMSPBA,INVOICE 79787,OCBCSGSG,HSBCGB2L,mt
REF00000070183,2026-07-09T03:01:56.221,101,SHA,TXN42894023,1/1,**************1177,OZCJ NKEPVY,260701,"SGD903,25",MAYBMYKL,**************4552,UHWZA XLSLNFCU,INVOICE 86315,OCBCSGSG,MAYBMYKL,mt
REF00000790542,2026-07-10T17:32:31.498,101,OUR,TXN56039583,1/1,**************1604,AGYG TTRXEQ,260714,"UUD238,58",CITIUS33,**************3529,EVIUX BTOLTXLJ,INVOICE 60760,UOVBSGSG,MAYBMYKL,mt
REF00000329789,2026-07-06T02:08:36.789,101,OUR,TXN97086619,1/1,**************2971,MNYL HJAKSI,260713,"UUR713,13",MAYBMYKL,**************3363,SSRDH ILEAMBVB,INVOICE 89096,OCBCSGSG,MAYBMYKL,mt
REF00000481398,2026-07-02T13:45:51.856,101,OUR,TXN04173873,1/1,**************3122,DRTB GRSSLR,260710,"SYD290,39",CITIUS33,**************1184,FKJLI WWUFOFAR,INVOICE 82233,DBSSSGSG,MAYBMYKL,mt
REF00000386211,2026-07-08T07:23:30.591,101,SHA,TXN87569678,1/1,**************7422,WNHG OIXFLX,260711,"SYR511,99",CITIUS33,**************4528,SNQPY TSPPQOXX,INVOICE 41937,UOVBSGSG,HSBCGB2L,mt
REF00000741379,2026-07-09T23:37:03.448,101,OUR,TXN81111303,1/1,**************7826,ZXLT DWVQMS,260703,"UYD840,41",CITIUS33,**************1322,ICWNG DMGWOQHZ,INVOICE 94750,OCBCSGSG,MAYBMYKL,mt
REF00000252558,2026-07-01T00:54:47.009,101,OUR,TXN25205094,1/1,**************4351,ERCW KFAVVB,260705,"SSR412,84",HSBCGB2L,**************1235,EDZPP DRREZYIH,INVOICE 40575,DBSSSGSG,HSBCGB2L,mt
REF00000561639,2026-07-06T16:24:32.235,101,OUR,TXN75251504,1/1,**************9979,WCKM JWQLMR,260706,"EYR554,46",MAYBMYKL,**************3068,GTPVV OKOQDRZO,INVOICE 22391,DBSSSGSG,CITIUS33,mt
REF00000718440,2026-07-11T11:59:37.889,101,OUR,TXN94559835,1/1,**************8377,CCGF TKFMIW,260707,"SSD838,10",CITIUS33,**************9325,GIAFV KTDBBZVI,INVOICE 30809,DBSSSGSG,HSBCGB2L,mt
REF00000067798,2026-07-04T13:51:56.775,101,OUR,TXN94109495,1/1,**************0177,NKKJ SNWSVF,260710,"SSD110,57",HSBCGB2L,**************6537,ICWNG DMGWOQHZ,INVOICE 28716,UOVBSGSG,HSBCGB2L,mt
REF00000455569,2026-07-01T22:42:22.556,101,OUR,TXN64867940,1/1,**************8556,MMAJ TTJWKT,260703,"UGD959,59",CITIUS33,**************9038,HEGTO TONQKQIZ,INVOICE 63367,OCBCSGSG,HSBCGB2L,mt
REF00000479003,2026-07-04T12:00:10.014,101,SHA,TXN67918520,1/1,**************7485,NMIV SPKHJF,260704,"USR945,24",CITIUS33,**************5981,FNFBH SRLURGNO,INVOICE 81302,OCBCSGSG,MAYBMYKL,mt
REF00000280947,2026-07-10T21:21:55.668,101,SHA,TXN73961043,1/1,**************2254,ARMY CWWCCH,260706,"MUR276,57",HSBCGB2L,**************9241,UMWPM YZHWJQKQ,INVOICE 39597,UOVBSGSG,CITIUS33,mt
REF00000396261,2026-07-05T10:25:29.310,101,OUR,TXN75956765,1/1,**************8432,YPFM JACPMJ,260711,"MSR930,36",CITIUS33,**************3525,UMWPM YZHWJQKQ,INVOICE 29533,UOVBSGSG,CITIUS33,mt
REF00000432424,2026-07-10T16:40:14.590,101,SHA,TXN08259971,1/1,**************5032,QOZV VCJZYA,260702,"SUD626,89",CITIUS33,**************1839,ZQFEE MNFQEJDP,INVOICE 99478,UOVBSGSG,CITIUS33,mt
REF00000057122,2026-07-08T08:03:53.420,101,OUR,TXN59263274,1/1,**************7899,RZKT EIYNXP,260704,"MSD116,81",HSBCGB2L,**************0917,IKFCZ OHOHYCIE,INVOICE 78024,DBSSSGSG,MAYBMYKL,mt
REF00000323134,2026-07-03T02:05:09.802,101,OUR,TXN57561026,1/1,**************6159,URIE MGGRQE,260707,"MGD939,22",HSBCGB2L,**************5671,GKXVT NVAQLGUH,INVOICE 18187,UOVBSGSG,MAYBMYKL,mt
REF00000444651,2026-07-03T14:58:32.771,101,SHA,TXN79554935,1/1,**************7128,RAAL OHVYAN,260707,"MUD536,57",CITIUS33,**************3096,NVPFM UPFJSLUT,INVOICE 77134,DBSSSGSG,CITIUS33,mt
REF00000658593,2026-07-12T06:59:31.055,101,OUR,TXN83356001,1/1,**************3198,NPNK USQHYS,260703,"MUD469,07",HSBCGB2L,**************5263,YSYXS PJPSAAJW,INVOICE 03063,DBSSSGSG,MAYBMYKL,mt
REF00000719891,2026-07-07T11:41:38.233,101,SHA,TXN69148697,1/1,**************0209,SDOS YHMNGB,260713,"EUD444,65",HSBCGB2L,**************1922,OBLCL YVNBTTCK,INVOICE 17450,OCBCSGSG,CITIUS33,mt
REF00000259542,2026-07-02T00:20:04.906,101,OUR,TXN67814658,1/1,**************1542,NMDN FFTCZX,260702,"MUD673,63",HSBCGB2L,**************0456,LZFXY HZCQMBEI,INVOICE 26492,DBSSSGSG,CITIUS33,mt
REF00000617443,2026-07-11T19:43:14.972,101,OUR,TXN64512977,1/1,**************5457,VQAL QBZIXQ,260710,"SSR426,40",MAYBMYKL,**************6287,ABNPA WYJFHTPS,INVOICE 69084,OCBCSGSG,MAYBMYKL,mt
REF00000049422,2026-07-03T06:41:58.616,101,OUR,TXN77385049,1/1,**************9734,AGYG TTRXEQ,260710,"SUD491,56",HSBCGB2L,**************6396,BJHOO FIFNUXJQ,INVOICE 95075,OCBCSGSG,MAYBMYKL,mt
REF00000700294,2026-07-02T23:01:06.796,101,SHA,TXN50832161,1/1,**************4134,YODA CZSBVW,260707,"SGR943,37",MAYBMYKL,**************6135,AJUKU TGFWBUJU,INVOICE 56978,OCBCSGSG,HSBCGB2L,mt
REF00000799536,2026-07-13T18:06:36.686,101,SHA,TXN30601034,1/1,**************5959,XTPA NFNUKT,260711,"MUR128,51",MAYBMYKL,**************6305,JDCSX NSKQWTBV,INVOICE 68089,UOVBSGSG,HSBCGB2L,mt
REF00000222944,2026-07-08T00:44:59.489,101,OUR,TXN82607159,1/1,**************6163,ZNOQ FMDRQK,260705,"SSR503,26",MAYBMYKL,**************8997,USQRG UQDMCKWQ,INVOICE 63221,UOVBSGSG,HSBCGB2L,mt
REF00000073162,2026-07-06T13:15:44.354,101,SHA,TXN05926207,1/1,**************9993,EUCU UKXTPI,260713,"SUD705,27",MAYBMYKL,**************6630,YCCTO YTALBSTG,INVOICE 09791,UOVBSGSG,HSBCGB2L,mt
REF00000259055,2026-07-02T07:15:26.869,101,OUR,TXN71756564,1/1,**************3028,DZVO WRFSBI,260713,"USD593,30",MAYBMYKL,**************2072,SMYLP KSOPBZPT,INVOICE 87658,UOVBSGSG,HSBCGB2L,mt
REF00000632868,2026-07-12T17:42:58.609,101,OUR,TXN84852394,1/1,**************1289,QVYS MJSTBV,260706,"MUD614,99",HSBCGB2L,**************5895,SUKRK XGCQYHDY,INVOICE 20118,UOVBSGSG,CITIUS33,mt
REF00000532879,2026-07-10T09:53:05.142,101,BEN,TXN14438628,1/1,**************0186,JACC AJRTLT,260705,"SSD431,01",CITIUS33,**************5555,VUNTY AMOCGCLU,INVOICE 52404,DBSSSGSG,MAYBMYKL,mt
