_msg_id,_ts,_mt_type,21,_sender_bic,_receiver_bic,25,28C,_format,60F_dc,60F_ccy,60F_amount,61,86,61#2,86#2,61#3,86#3,61#4,86#4,62F_dc,62F_ccy,62F_amount
OKOH92515983,2026-07-03T22:32:40.296,940,REL92625354,DBSSSGSG,CITIUS33,**************9165,96/1,mt,C,MYR,8997.6,"2607080719C898,98NTRFNONREF",/REF/E2E69492082/ RENT,"2607180714C986,62NTRFNONREF",/REF/E2E88393521/ RENS,"2607150718D548,35NTRFNONREF",/REF/E2E41882057/ REET,"2607070711C801,57NTRFNONREF",/REF/E2E32199874/ RENS,C,SGD,3465.58
HJKK76795639,2026-07-04T14:36:59.539,940,REL24362890,OCBCSGSG,CITIUS33,**************8592,149/1,mt,C,USD,43795.03,"2607160715D362,48NTRFNONREF",/REF/E2E58283699/ FEET,"2607060710C553,56NTRFNONREF",/REF/E2E15115211/ FENS,,,"2607190713D329,43NTRFNONREF",/REF/E2E93632170/ FENS,C,USD,13686.94
ZRVZ50781595,2026-07-12T01:47:51.549,940,REL71626463,OCBCSGSG,MAYBMYKL,**************6664,111/1,mt,C,SGD,3591.46,"2607160712C949,92NTRFNONREF",/REF/E2E43228910/ RENS,,,,,,,C,SGD,9453.3
ARIM18753394,2026-07-13T18:04:59.880,940,REL18225805,OCBCSGSG,HSBCGB2L,**************1440,243/1,mt,C,USD,8477.99,"2607130703D185,94NTRFNONREF",/REF/E2E16094305/ FEET,"2607000700C400,49NTRFNONREF",/REF/E2E97067061/ FENS,"2607150712C954,70NTRFNONREF",/REF/E2E44760468/ FEES,,,C,SGD,29934.68
DPWQ03425885,2026-07-10T18:26:12.810,940,REL12556951,UOVBSGSG,HSBCGB2L,**************9595,141/1,mt,C,SGD,16503.48,"2607050716C800,74NTRFNONREF",/REF/E2E39400373/ FENT,"2607050716C925,46NTRFNONREF",/REF/E2E80481050/ RENT,"2607080718C543,64NTRFNONREF",/REF/E2E90652792/ FEES,,,C,SGD,62755.7
RSWR45669228,2026-07-11T15:15:45.653,940,REL54489408,UOVBSGSG,HSBCGB2L,**************4303,315/1,mt,C,SGD,9048.57,"2607160704C476,09NTRFNONREF",/REF/E2E98545148/ FEES,"2607070700C343,82NTRFNONREF",/REF/E2E56905544/ FENS,"2607020716D948,40NTRFNONREF",/REF/E2E84230304/ FENS,"2607150713D903,13NTRFNONREF",/REF/E2E33922480/ REET,C,EUR,41710.6
FXTU11145095,2026-07-10T04:54:45.462,940,REL94340566,UOVBSGSG,CITIUS33,**************2230,336/1,mt,C,SGD,8669.89,"2607060702D202,06NTRFNONREF",/REF/E2E32308358/ RENS,,,"2607020706D955,67NTRFNONREF",/REF/E2E23934869/ REET,"2607150707D646,05NTRFNONREF",/REF/E2E63744650/ RENS,C,USD,8106.33
CNGK78328785,2026-07-05T02:43:45.743,940,REL74837416,OCBCSGSG,CITIUS33,**************8928,352/1,mt,C,SGD,26346.23,"2607130708C427,12NTRFNONREF",/REF/E2E20347791/ REET,"2607140701D392,85NTRFNONREF",/REF/E2E10414194/ REES,,,,,C,USD,8504.08
IDSC07691566,2026-07-09T21:21:31.806,940,REL76266167,UOVBSGSG,MAYBMYKL,**************5933,365/1,mt,C,SGD,11689.51,"2607130701D188,51NTRFNONREF",/REF/E2E59633917/ FENT,"2607080712D701,06NTRFNONREF",/REF/E2E14443892/ REES,"2607170717D217,31NTRFNONREF",/REF/E2E51492210/ FENT,"2607150703D493,78NTRFNONREF",/REF/E2E70114828/ FEES,C,SGD,41436.56
XZBI65878592,2026-07-03T05:44:23.927,940,REL88238578,DBSSSGSG,MAYBMYKL,**************7199,47/1,mt,C,USD,9218.52,"2607120716C985,32NTRFNONREF",/REF/E2E21184533/ RENT,,,,,,,C,MYR,23391.28
DSKE46461413,2026-07-05T05:53:13.095,940,REL77554740,OCBCSGSG,HSBCGB2L,**************7867,234/1,mt,C,SGD,108093.32,"2607170710D196,75NTRFNONREF",/REF/E2E88811626/ RENS,"2607040711D142,50NTRFNONREF",/REF/E2E70899778/ FEET,"2607040715C264,21NTRFNONREF",/REF/E2E14215401/ RENT,"2607180700C787,01NTRFNONREF",/REF/E2E48976042/ RENT,C,SGD,126648.44
OXVF54215432,2026-07-13T17:22:02.723,940,REL38095051,OCBCSGSG,MAYBMYKL,**************7776,78/1,mt,C,SGD,62860.84,"2607060714D425,50NTRFNONREF",/REF/E2E82660420/ RENT,"2607020705D583,61NTRFNONREF",/REF/E2E19400382/ FENT,,,,,C,USD,807.11
CFMM91027352,2026-07-12T10:11:38.943,940,REL88874527,UOVBSGSG,MAYBMYKL,**************0463,144/1,mt,C,EUR,17767.46,"2607040718D147,82NTRFNONREF",/REF/E2E30837455/ FENT,"2607080704C157,96NTRFNONREF",/REF/E2E80430325/ FENS,"2607040719D744,76NTRFNONREF",/REF/E2E17701399/ REET,,,C,USD,227947.47
APVI27537317,2026-07-12T18:55:10.795,940,REL89607688,DBSSSGSG,MAYBMYKL,**************3551,179/1,mt,C,USD,98187.38,"2607060709C109,48NTRFNONREF",/REF/E2E79180961/ RENS,,,"2607170700C207,79NTRFNONREF",/REF/E2E63458903/ FEET,,,C,EUR,9628.98
OUAD17957492,2026-07-06T03:49:12.743,940,REL99891775,OCBCSGSG,MAYBMYKL,**************2381,100/1,mt,C,SGD,33756.3,"2607100704C562,51NTRFNONREF",/REF/E2E30694399/ FENS,"2607190710D615,35NTRFNONREF",/REF/E2E52011218/ RENS,,,,,C,USD,14246.02
WRSO43750200,2026-07-05T12:19:40.560,940,REL14867924,UOVBSGSG,HSBCGB2L,**************6311,264/1,mt,C,SGD,10872.96,"2607110715D806,52NTRFNONREF",/REF/E2E56680513/ FEET,"2607170715D828,59NTRFNONREF",/REF/E2E83816156/ FEET,"2607070716C105,29NTRFNONREF",/REF/E2E69602149/ REET,,,C,SGD,62943.46
ZQXJ20278305,2026-07-02T07:14:22.433,940,REL33148629,DBSSSGSG,MAYBMYKL,**************0160,234/1,mt,C,SGD,13558.19,"2607030706D867,04NTRFNONREF",/REF/E2E48168392/ REES,"2607000719C328,73NTRFNONREF",/REF/E2E41429367/ FENS,,,,,C,SGD,16512.53
QIYS02670218,2026-07-13T08:09:37.327,940,REL38170646,DBSSSGSG,HSBCGB2L,**************7164,19/1,mt,C,SGD,30321.21,"2607000710C447,01NTRFNONREF",/REF/E2E24701524/ FEES,"2607000707C742,58NTRFNONREF",/REF/E2E66918011/ RENS,,,,,C,SGD,28154.38
HRKQ38955974,2026-07-13T11:17:48.710,940,REL96654685,UOVBSGSG,MAYBMYKL,**************1654,113/1,mt,C,USD,15000.69,"2607110717D942,84NTRFNONREF",/REF/E2E02446694/ REET,,,"2607130716D605,26NTRFNONREF",/REF/E2E88716413/ FEES,,,C,SGD,23999.44
KLFB04629214,2026-07-13T20:24:32.111,940,REL22435566,UOVBSGSG,MAYBMYKL,**************4782,279/1,mt,C,EUR,4609.2,"2607090715C874,43NTRFNONREF",/REF/E2E82638928/ RENS,"2607000712C828,02NTRFNONREF",/REF/E2E36530225/ FENS,"2607050715C795,71NTRFNONREF",/REF/E2E27703375/ RENT,,,C,EUR,187993.52
NIAX54814119,2026-07-12T16:49:08.896,940,REL32768366,OCBCSGSG,HSBCGB2L,**************8747,62/1,mt,C,USD,14835.23,"2607130717D819,48NTRFNONREF",/REF/E2E17158531/ FENT,"2607100710C485,05NTRFNONREF",/REF/E2E42396111/ REET,"2607180706D526,84NTRFNONREF",/REF/E2E94069026/ REES,,,C,USD,44300.62
CFGK25993535,2026-07-13T05:31:13.080,940,REL83464170,UOVBSGSG,MAYBMYKL,**************3991,74/1,mt,C,USD,54130.23,"2607050704C105,27NTRFNONREF",/REF/E2E12872607/ FENT,"2607130703C713,09NTRFNONREF",/REF/E2E54390651/ FENS,,,,,C,SGD,18272.76
EEPC80224230,2026-07-03T06:28:19.752,940,REL44491073,UOVBSGSG,HSBCGB2L,**************2723,352/1,mt,C,MYR,21490.98,"2607000700C946,14NTRFNONREF",/REF/E2E48049446/ FEET,"2607030704C562,61NTRFNONREF",/REF/E2E05173015/ REET,,,,,C,USD,7526.62
OQEI45970586,2026-07-12T06:22:44.091,940,REL82342258,UOVBSGSG,CITIUS33,**************5797,229/1,mt,C,SGD,217665.82,"2607070702C689,63NTRFNONREF",/REF/E2E69439530/ FEET,"2607000710D890,83NTRFNONREF",/REF/E2E52855821/ RENT,,,,,C,SGD,46526.55
QUID82166177,2026-07-09T16:23:19.426,940,REL69655771,OCBCSGSG,CITIUS33,**************7855,252/1,mt,C,SGD,17601.8,"2607090714D220,65NTRFNONREF",/REF/E2E57650938/ FENT,"2607110701C577,39NTRFNONREF",/REF/E2E70842499/ FENS,"2607040700D917,80NTRFNONREF",/REF/E2E80752664/ FENT,"2607090712C286,79NTRFNONREF",/REF/E2E85489557/ RENT,C,USD,102881.73
TQPM05012552,2026-07-01T23:11:25.991,940,REL47981935,OCBCSGSG,MAYBMYKL,**************6221,348/1,mt,C,SGD,12287.87,"2607000711C736,88NTRFNONREF",/REF/E2E27754940/ FENT,,,"2607070707C821,57NTRFNONREF",/REF/E2E85120499/ FEES,"2607060706C696,93NTRFNONREF",/REF/E2E52529753/ FEES,C,SGD,13788.58
IFOC93793546,2026-07-07T11:35:28.785,940,REL20758583,DBSSSGSG,CITIUS33,**************3925,127/1,mt,C,USD,9214.38,"2607020715C217,53NTRFNONREF",/REF/E2E52281894/ FENT,"2607020718C364,13NTRFNONREF",/REF/E2E66300897/ REES,,,"2607130700D477,28NTRFNONREF",/REF/E2E17541304/ RENT,C,USD,50510.84
MEVQ97556346,2026-07-12T18:38:08.036,940,REL43266027,DBSSSGSG,CITIUS33,**************5445,152/1,mt,C,SGD,14230.83,"2607000718C763,52NTRFNONREF",/REF/E2E08166413/ REET,,,"2607100705C127,57NTRFNONREF",/REF/E2E44152392/ RENT,"2607060713C150,31NTRFNONREF",/REF/E2E10898592/ RENS,C,SGD,53849.15
VIZT02630707,2026-07-04T23:21:48.952,940,REL64419615,OCBCSGSG,HSBCGB2L,**************6099,208/1,mt,C,SGD,149050.29,"2607060717C886,26NTRFNONREF",/REF/E2E89145535/ RENT,"2607180710D973,57NTRFNONREF",/REF/E2E35581185/ REES,"2607050716D212,65NTRFNONREF",/REF/E2E53741047/ FENT,,,C,MYR,15494.45
QCAK67292606,2026-07-06T15:07:57.524,940,REL63223620,OCBCSGSG,MAYBMYKL,**************3257,216/1,mt,C,SGD,23012.39,"2607050700C815,33NTRFNONREF",/REF/E2E09777848/ FENS,"2607130702D467,93NTRFNONREF",/REF/E2E24912756/ FEET,,,,,C,SGD,30305.59
