_msg_id,_ts,_mt_type,21,_sender_bic,_receiver_bic,25,28C,_format,60F_dc,60F_ccy,60F_amount,61,86,61#2,86#2,61#3,86#3,61#4,86#4,62F_dc,62F_ccy,62F_amount
STMT00000340,2026-07-04T11:23:17.447,940,REL06431055,OCBCSGSG,MAYBMYKL,**************6067,12/1,mt,C,SGD,4432.57,"2607100704C908,32NTRFNONREF",/REF/E2E98796156/ FENT,"2607090706C574,76NTRFNONREF",/REF/E2E90382305/ REES,,,"2607160709C997,37NTRFNONREF",/REF/E2E16925244/ RENT,C,SGD,76287.06
STMT00000075,2026-07-01T11:54:01.888,940,REL09533470,OCBCSGSG,MAYBMYKL,**************9062,206/1,mt,C,USD,73273.94,"2607190708C511,63NTRFNONREF",/REF/E2E88048895/ RENS,"2607120713C585,48NTRFNONREF",/REF/E2E77566836/ RENT,,,,,C,EUR,18890.84
STMT00000352,2026-07-13T12:09:50.776,940,REL55931049,DBSSSGSG,MAYBMYKL,**************5322,134/1,mt,C,USD,17104.99,"2607110707D331,74NTRFNONREF",/REF/E2E06012918/ RENT,"2607120717D720,00NTRFNONREF",/REF/E2E71215263/ FEET,"2607180700D187,34NTRFNONREF",/REF/E2E63816996/ FENS,,,C,USD,99143.8
STMT00000206,2026-07-11T17:48:36.603,940,REL40027465,DBSSSGSG,HSBCGB2L,**************6640,320/1,mt,C,USD,12069.52,"2607060710D446,50NTRFNONREF",/REF/E2E59032737/ FEES,"2607070711D840,58NTRFNONREF",/REF/E2E20716631/ FENS,"2607040710C775,70NTRFNONREF",/REF/E2E93816561/ RENT,,,C,SGD,235724.7
STMT00000108,2026-07-02T18:54:59.588,940,REL27099103,DBSSSGSG,HSBCGB2L,**************1737,137/1,mt,C,SGD,180830.85,"2607050714C657,99NTRFNONREF",/REF/E2E40964221/ FENS,,,"2607160709C632,82NTRFNONREF",/REF/E2E99112463/ FENT,,,C,USD,21631.03
STMT00000137,2026-07-10T13:15:38.755,940,REL41906495,UOVBSGSG,HSBCGB2L,**************7378,134/1,mt,C,SGD,30970.08,"2607160707C545,16NTRFNONREF",/REF/E2E41157369/ FENT,,,,,,,C,MYR,19333.37
STMT00000354,2026-07-08T13:43:23.985,940,REL38654581,UOVBSGSG,CITIUS33,**************2261,304/1,mt,C,SGD,12334.52,"2607100716C803,81NTRFNONREF",/REF/E2E58735311/ REES,"2607070704C918,82NTRFNONREF",/REF/E2E28238221/ FENT,"2607060700D221,69NTRFNONREF",/REF/E2E81318568/ RENT,,,C,SGD,6053.86
STMT00000027,2026-07-05T03:55:33.506,940,REL44149224,DBSSSGSG,HSBCGB2L,**************0628,273/1,mt,C,SGD,81640.01,"2607010712D287,40NTRFNONREF",/REF/E2E53256186/ RENS,"2607090705D509,39NTRFNONREF",/REF/E2E13283719/ FEES,"2607180718D681,94NTRFNONREF",/REF/E2E96274355/ RENS,,,C,SGD,20475.64
STMT00000222,2026-07-06T18:55:22.182,940,REL39861093,OCBCSGSG,HSBCGB2L,**************5578,12/1,mt,C,SGD,47480.77,"2607030714C761,00NTRFNONREF",/REF/E2E89141281/ FEET,"2607090715D930,33NTRFNONREF",/REF/E2E27614432/ REET,,,,,C,MYR,10763.95
STMT00000279,2026-07-02T01:10:42.167,940,REL04174694,OCBCSGSG,CITIUS33,**************0553,46/1,mt,C,SGD,9927.12,"2607120709C247,03NTRFNONREF",/REF/E2E83395450/ FENT,,,,,,,C,SGD,29140.98
STMT00000388,2026-07-06T09:12:37.612,940,REL19718587,OCBCSGSG,MAYBMYKL,**************3885,91/1,mt,C,SGD,3621.89,"2607110705C431,25NTRFNONREF",/REF/E2E79759915/ FENT,"2607080713D590,74NTRFNONREF",/REF/E2E37245225/ FEET,"2607070718D459,95NTRFNONREF",/REF/E2E18786243/ FEES,,,C,SGD,15499.99
STMT00000030,2026-07-04T16:27:22.794,940,REL92166150,UOVBSGSG,MAYBMYKL,**************4695,184/1,mt,C,USD,89068.66,"2607000713C798,08NTRFNONREF",/REF/E2E93189280/ REET,"2607140707D675,65NTRFNONREF",/REF/E2E55565711/ REES,"2607020711D573,55NTRFNONREF",/REF/E2E29200712/ REES,,,C,USD,1337.59
STMT00000023,2026-07-01T23:10:22.919,940,REL79826658,OCBCSGSG,MAYBMYKL,**************3824,180/1,mt,C,USD,7672.93,"2607020704C977,97NTRFNONREF",/REF/E2E08377750/ RENT,"2607010713D953,38NTRFNONREF",/REF/E2E51020219/ FENT,"2607090707D592,42NTRFNONREF",/REF/E2E19493270/ FENT,,,C,MYR,68733.71
STMT00000202,2026-07-01T05:30:16.551,940,REL26732299,OCBCSGSG,HSBCGB2L,**************9176,2/1,mt,C,USD,22037.23,"2607040703C708,61NTRFNONREF",/REF/E2E77410230/ REET,,,,,"2607030702D532,78NTRFNONREF",/REF/E2E92261059/ FENS,C,SGD,29107.39
STMT00000279,2026-07-07T18:29:13.585,940,REL41940536,OCBCSGSG,MAYBMYKL,**************1853,216/1,mt,C,SGD,61702.88,"2607110709C722,27NTRFNONREF",/REF/E2E44950907/ REET,,,"2607150714D784,56NTRFNONREF",/REF/E2E26285416/ FENS,,,C,MYR,19801.71
STMT00000250,2026-07-13T09:52:32.535,940,REL46623588,OCBCSGSG,CITIUS33,**************0311,194/1,mt,C,USD,22532.13,"2607100702D874,91NTRFNONREF",/REF/E2E34585775/ FEES,"2607150701D742,38NTRFNONREF",/REF/E2E92839183/ RENT,,,,,C,EUR,1637.8
STMT00000231,2026-07-07T22:39:58.459,940,REL37290444,OCBCSGSG,HSBCGB2L,**************4017,78/1,mt,C,EUR,233552.64,"2607080707C607,17NTRFNONREF",/REF/E2E02522502/ REET,,,"2607180712C830,40NTRFNONREF",/REF/E2E48675591/ RENS,,,C,MYR,41871.25
STMT00000308,2026-07-02T13:51:23.358,940,REL11074915,OCBCSGSG,HSBCGB2L,**************7683,109/1,mt,C,SGD,3590.28,"2607190717D376,33NTRFNONREF",/REF/E2E12047516/ RENT,"2607190719C438,05NTRFNONREF",/REF/E2E73827645/ FENT,,,,,C,MYR,37188.26
STMT00000256,2026-07-02T14:32:30.139,940,REL95425462,OCBCSGSG,CITIUS33,**************0739,366/1,mt,C,SGD,76161.69,"2607190707D344,82NTRFNONREF",/REF/E2E96661633/ REES,"2607020716D311,22NTRFNONREF",/REF/E2E15983117/ FEET,"2607070714D901,33NTRFNONREF",/REF/E2E65198174/ FENT,,,C,SGD,50152.5
STMT00000377,2026-07-09T14:46:31.220,940,REL73884413,OCBCSGSG,HSBCGB2L,**************7349,238/1,mt,C,SGD,14163.52,"2607130716D592,82NTRFNONREF",/REF/E2E13503353/ RENS,"2607190702D913,49NTRFNONREF",/REF/E2E60652811/ FEET,,,,,C,SGD,17470.93
