_msg_id,_ts,_msg_type,BkToCstmrAcctRpt.GrpHdr.MsgId,BkToCstmrAcctRpt.GrpHdr.CreDtTm,BkToCstmrAcctRpt.Rpt.Id,BkToCstmrAcctRpt.Rpt.Acct.Id.Othr.Id,BkToCstmrAcctRpt.Rpt.Bal#1.Tp.CdOrPrtry.Cd,BkToCstmrAcctRpt.Rpt.Bal#1.Amt,BkToCstmrAcctRpt.Rpt.Bal#1.Amt@Ccy,BkToCstmrAcctRpt.Rpt.Bal#1.CdtDbtInd,BkToCstmrAcctRpt.Rpt.Bal#2.Tp.CdOrPrtry.Cd,BkToCstmrAcctRpt.Rpt.Bal#2.Amt,BkToCstmrAcctRpt.Rpt.Bal#2.Amt@Ccy,BkToCstmrAcctRpt.Rpt.Bal#2.CdtDbtInd,_ns,_format,BkToCstmrAcctRpt.Rpt.Ntry#1.Amt,BkToCstmrAcctRpt.Rpt.Ntry#1.Amt@Ccy,BkToCstmrAcctRpt.Rpt.Ntry#1.CdtDbtInd,BkToCstmrAcctRpt.Rpt.Ntry#1.Sts.Cd,BkToCstmrAcctRpt.Rpt.Ntry#1.BookgDt.Dt,BkToCstmrAcctRpt.Rpt.Ntry#1.AcctSvcrRef,BkToCstmrAcctRpt.Rpt.Ntry#1.AddtlNtryInf,BkToCstmrAcctRpt.Rpt.Ntry#2.Amt,BkToCstmrAcctRpt.Rpt.Ntry#2.Amt@Ccy,BkToCstmrAcctRpt.Rpt.Ntry#2.CdtDbtInd,BkToCstmrAcctRpt.Rpt.Ntry#2.Sts.Cd,BkToCstmrAcctRpt.Rpt.Ntry#2.BookgDt.Dt,BkToCstmrAcctRpt.Rpt.Ntry#2.AcctSvcrRef,BkToCstmrAcctRpt.Rpt.Ntry#2.AddtlNtryInf,BkToCstmrAcctRpt.Rpt.Ntry#3.Amt,BkToCstmrAcctRpt.Rpt.Ntry#3.Amt@Ccy,BkToCstmrAcctRpt.Rpt.Ntry#3.CdtDbtInd,BkToCstmrAcctRpt.Rpt.Ntry#3.Sts.Cd,BkToCstmrAcctRpt.Rpt.Ntry#3.BookgDt.Dt,BkToCstmrAcctRpt.Rpt.Ntry#3.AcctSvcrRef,BkToCstmrAcctRpt.Rpt.Ntry#3.AddtlNtryInf,BkToCstmrAcctRpt.Rpt.Ntry#4.Amt,BkToCstmrAcctRpt.Rpt.Ntry#4.Amt@Ccy,BkToCstmrAcctRpt.Rpt.Ntry#4.CdtDbtInd,BkToCstmrAcctRpt.Rpt.Ntry#4.Sts.Cd,BkToCstmrAcctRpt.Rpt.Ntry#4.BookgDt.Dt,BkToCstmrAcctRpt.Rpt.Ntry#4.AcctSvcrRef,BkToCstmrAcctRpt.Rpt.Ntry#4.AddtlNtryInf
ITRK89974112,2026-07-01T04:44:30.730,camt.052.001.08,********0316,***************6:27,*******0165,**************2607,ITBD,43540.78,USD,CRDT,ITBD,10255.38,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,391.52,USD,CRDT,BOOK,2026-07-11,********9262,SUPPLIER,213.88,SGD,CRDT,BOOK,2026-07-02,********4354,INVOICE,376.44,SGD,DBIT,BOOK,2026-07-10,********1676,FEES,,,,,,,
NULA18690888,2026-07-04T00:09:36.527,camt.052.001.08,********0328,***************6:56,*******0238,**************1702,ITBD,6069.37,SGD,CRDT,ITBD,44713.31,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,180.24,USD,DBIT,BOOK,2026-07-10,********7619,FEES,307.54,SGD,CRDT,BOOK,2026-07-07,********3374,FEES,819.05,MYR,CRDT,BOOK,2026-07-06,********2586,SUPPLIER,400.45,USD,CRDT,BOOK,2026-07-09,ASR545903306,SALARY
LGSR51774096,2026-07-06T06:36:21.331,camt.052.001.08,********0254,***************3:32,*******0147,**************2181,ITBD,22102.27,SGD,CRDT,ITBD,64339.82,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,940.19,USD,DBIT,BOOK,2026-07-14,********3555,RENT,231.0,SGD,CRDT,BOOK,2026-07-02,********6134,FEES,142.76,SGD,DBIT,BOOK,2026-07-01,********2802,INVOICE,,,,,,,
VZGR82274283,2026-07-10T04:41:27.001,camt.052.001.08,********0244,***************1:09,*******0318,**************1747,ITBD,10270.43,SGD,CRDT,ITBD,34303.53,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,933.23,SGD,DBIT,BOOK,2026-07-03,********6067,FEES,22.47,SGD,DBIT,BOOK,2026-07-10,********4012,SUPPLIER,396.75,MYR,CRDT,BOOK,2026-07-02,********2725,RENT,,,,,,,
VPRU88914838,2026-07-12T07:42:16.161,camt.052.001.08,********0331,***************7:07,*******0211,**************2858,ITBD,11990.54,USD,CRDT,ITBD,9973.69,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,422.43,SGD,CRDT,BOOK,2026-07-14,********1637,INVOICE,515.14,USD,DBIT,BOOK,2026-07-06,********6458,RENT,343.73,SGD,DBIT,BOOK,2026-07-01,********7507,SUPPLIER,224.35,USD,DBIT,BOOK,2026-07-01,ASR014840906,FEES
LOZE51894065,2026-07-01T12:32:04.439,camt.052.001.08,********0009,***************4:38,*******0058,**************0274,ITBD,41146.93,SGD,CRDT,ITBD,24380.73,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,380.56,SGD,CRDT,BOOK,2026-07-13,********7499,RENT,255.78,SGD,CRDT,BOOK,2026-07-03,********3675,INVOICE,697.68,SGD,DBIT,BOOK,2026-07-11,********1656,FEES,,,,,,,
GLDR89986082,2026-07-05T02:09:12.313,camt.052.001.08,********0102,***************8:22,*******0105,**************8716,ITBD,46889.11,SGD,CRDT,ITBD,53283.52,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,982.17,SGD,CRDT,BOOK,2026-07-07,********9065,RENT,267.42,SGD,DBIT,BOOK,2026-07-04,********6708,SALARY,,,,,,,,,,,,,,
MQHH01192472,2026-07-08T02:08:54.723,camt.052.001.08,********0348,***************9:14,*******0240,**************5365,ITBD,6209.66,SGD,CRDT,ITBD,25899.6,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,2834.54,SGD,DBIT,BOOK,2026-07-02,********2132,INVOICE,742.77,USD,CRDT,BOOK,2026-07-14,********0672,SALARY,,,,,,,,,,,,,,
MNZG59890329,2026-07-08T14:05:33.817,camt.052.001.08,********0031,***************6:51,*******0307,**************9545,ITBD,83578.49,SGD,CRDT,ITBD,4328.59,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,1310.99,USD,CRDT,BOOK,2026-07-08,********0253,SUPPLIER,2318.98,SGD,CRDT,BOOK,2026-07-14,********6662,SUPPLIER,858.59,USD,DBIT,BOOK,2026-07-12,********6853,RENT,,,,,,,
EOOL75365560,2026-07-14T08:46:56.861,camt.052.001.08,********0030,***************2:26,*******0089,**************4555,ITBD,2225.88,USD,CRDT,ITBD,37570.74,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,967.83,SGD,DBIT,BOOK,2026-07-13,********6605,RENT,673.61,MYR,CRDT,BOOK,2026-07-05,********1038,INVOICE,75.4,SGD,DBIT,BOOK,2026-07-07,********5042,SUPPLIER,,,,,,,
EZXA25432867,2026-07-04T06:02:22.490,camt.052.001.08,********0352,***************7:20,*******0307,**************2099,ITBD,15820.2,SGD,CRDT,ITBD,17197.06,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,629.3,MYR,CRDT,BOOK,2026-07-11,********9405,INVOICE,422.93,EUR,DBIT,BOOK,2026-07-14,********2962,INVOICE,,,,,,,,127.66,USD,DBIT,BOOK,2026-07-10,ASR846560272,INVOICE
LQLO75258350,2026-07-13T05:01:40.844,camt.052.001.08,********0320,***************7:46,*******0224,**************2429,ITBD,16209.87,MYR,CRDT,ITBD,17128.36,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,1688.7,SGD,DBIT,BOOK,2026-07-07,********7535,INVOICE,635.54,SGD,CRDT,BOOK,2026-07-06,********4483,FEES,1053.75,SGD,DBIT,BOOK,2026-07-01,********1886,INVOICE,,,,,,,
MQAA10841331,2026-07-12T05:35:38.593,camt.052.001.08,********0230,***************5:59,*******0356,**************0103,ITBD,113583.51,USD,CRDT,ITBD,11324.94,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,472.5,SGD,DBIT,BOOK,2026-07-11,********1598,INVOICE,328.98,USD,DBIT,BOOK,2026-07-11,********7859,FEES,58.85,MYR,DBIT,BOOK,2026-07-04,********5224,INVOICE,,,,,,,
OOLK66985176,2026-07-14T19:41:38.906,camt.052.001.08,********0060,***************7:13,*******0147,**************3537,ITBD,110986.82,EUR,CRDT,ITBD,14968.58,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,1663.93,SGD,CRDT,BOOK,2026-07-08,********9562,SALARY,215.14,SGD,CRDT,BOOK,2026-07-13,********7686,SUPPLIER,106.07,USD,DBIT,BOOK,2026-07-02,********0749,RENT,,,,,,,
FSKX48064562,2026-07-05T22:19:54.430,camt.052.001.08,********0119,***************8:34,*******0315,**************5419,ITBD,22317.33,SGD,CRDT,ITBD,30977.03,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,1377.69,EUR,DBIT,BOOK,2026-07-05,********3741,RENT,335.55,USD,DBIT,BOOK,2026-07-13,********9467,SALARY,,,,,,,,94.38,SGD,CRDT,BOOK,2026-07-11,ASR906073613,FEES
MGZD99022055,2026-07-12T03:07:20.529,camt.052.001.08,********0192,***************1:27,*******0271,**************8322,ITBD,55848.67,SGD,CRDT,ITBD,22545.16,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,265.56,USD,CRDT,BOOK,2026-07-07,********1597,SALARY,529.71,USD,CRDT,BOOK,2026-07-07,********2999,SUPPLIER,,,,,,,,895.52,USD,DBIT,BOOK,2026-07-03,ASR526584487,INVOICE
LGTU77926395,2026-07-09T22:16:34.916,camt.052.001.08,********0387,***************3:12,*******0035,**************5079,ITBD,20302.18,SGD,CRDT,ITBD,31063.28,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,378.63,SGD,CRDT,BOOK,2026-07-03,********0595,RENT,23.27,SGD,DBIT,BOOK,2026-07-13,********4689,SUPPLIER,445.87,SGD,DBIT,BOOK,2026-07-02,********4227,SUPPLIER,,,,,,,
PTFZ51094037,2026-07-01T00:36:05.674,camt.052.001.08,********0030,***************6:52,*******0169,**************9595,ITBD,11412.49,SGD,CRDT,ITBD,6987.76,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,50.73,EUR,DBIT,BOOK,2026-07-01,********4646,FEES,364.76,SGD,CRDT,BOOK,2026-07-02,********0373,FEES,788.91,USD,DBIT,BOOK,2026-07-10,********6370,INVOICE,,,,,,,
NSZL92835475,2026-07-10T20:19:12.607,camt.052.001.08,********0237,***************5:55,*******0205,**************3270,ITBD,46967.13,MYR,CRDT,ITBD,69043.72,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,221.43,USD,CRDT,BOOK,2026-07-03,********1002,FEES,241.08,SGD,DBIT,BOOK,2026-07-06,********4617,FEES,3269.55,USD,DBIT,BOOK,2026-07-14,********5883,SALARY,313.2,USD,DBIT,BOOK,2026-07-09,ASR662241143,INVOICE
QCYR35117496,2026-07-09T15:53:42.101,camt.052.001.08,********0197,***************0:39,*******0366,**************5969,ITBD,50685.73,USD,CRDT,ITBD,14352.57,MYR,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,353.47,MYR,CRDT,BOOK,2026-07-04,********9181,FEES,1623.85,EUR,CRDT,BOOK,2026-07-01,********6420,RENT,6063.78,USD,DBIT,BOOK,2026-07-10,********8159,INVOICE,,,,,,,
NVIJ01363888,2026-07-06T13:40:22.252,camt.052.001.08,********0260,***************4:33,*******0026,**************0198,ITBD,33534.13,USD,CRDT,ITBD,5475.68,MYR,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,47.17,USD,DBIT,BOOK,2026-07-11,********6520,SALARY,1782.76,SGD,CRDT,BOOK,2026-07-10,********2417,INVOICE,,,,,,,,206.09,USD,CRDT,BOOK,2026-07-10,ASR723674789,SALARY
XAKX52154674,2026-07-02T17:19:58.135,camt.052.001.08,********0143,***************7:19,*******0285,**************2465,ITBD,32915.4,EUR,CRDT,ITBD,125047.26,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,158.42,SGD,CRDT,BOOK,2026-07-11,********3978,SUPPLIER,703.1,EUR,CRDT,BOOK,2026-07-01,********1871,SUPPLIER,470.9,SGD,CRDT,BOOK,2026-07-13,********5826,SALARY,390.57,USD,CRDT,BOOK,2026-07-09,ASR101747415,FEES
GLWG93478474,2026-07-10T10:13:07.453,camt.052.001.08,********0187,***************4:49,*******0303,**************7139,ITBD,91253.78,MYR,CRDT,ITBD,2117.06,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,204.12,SGD,CRDT,BOOK,2026-07-13,********9770,SUPPLIER,2414.14,SGD,DBIT,BOOK,2026-07-02,********4243,SALARY,,,,,,,,,,,,,,
ZVKS36237848,2026-07-07T04:30:40.994,camt.052.001.08,********0374,***************5:25,*******0234,**************2791,ITBD,40652.79,SGD,CRDT,ITBD,3712.01,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,1282.27,USD,DBIT,BOOK,2026-07-02,********8215,FEES,1170.73,USD,CRDT,BOOK,2026-07-11,********9458,RENT,445.98,MYR,DBIT,BOOK,2026-07-10,********6742,FEES,114.0,SGD,DBIT,BOOK,2026-07-12,ASR579615304,FEES
MXRJ58956949,2026-07-06T07:57:25.902,camt.052.001.08,********0380,***************9:50,*******0343,**************5551,ITBD,28482.37,MYR,CRDT,ITBD,53391.84,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,378.56,SGD,DBIT,BOOK,2026-07-14,********6863,RENT,90.4,USD,DBIT,BOOK,2026-07-02,********0151,INVOICE,163.59,USD,DBIT,BOOK,2026-07-06,********3610,INVOICE,,,,,,,
UHLJ37176152,2026-07-06T06:27:21.470,camt.052.001.08,********0256,***************3:13,*******0243,**************7635,ITBD,16274.79,EUR,CRDT,ITBD,7540.2,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,625.53,USD,DBIT,BOOK,2026-07-02,********0211,FEES,262.1,SGD,DBIT,BOOK,2026-07-02,********2779,SUPPLIER,443.45,SGD,DBIT,BOOK,2026-07-11,********3822,SUPPLIER,,,,,,,
FUVJ53400721,2026-07-13T15:16:17.182,camt.052.001.08,********0103,***************8:40,*******0328,**************6067,ITBD,48417.88,SGD,CRDT,ITBD,8992.33,MYR,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,23.5,USD,DBIT,BOOK,2026-07-14,********1399,FEES,356.27,SGD,DBIT,BOOK,2026-07-11,********0269,RENT,1356.43,SGD,CRDT,BOOK,2026-07-11,********2821,RENT,,,,,,,
XJOD54669683,2026-07-01T13:26:23.949,camt.052.001.08,********0389,***************5:38,*******0135,**************7433,ITBD,9802.31,USD,CRDT,ITBD,9396.09,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,89.49,MYR,CRDT,BOOK,2026-07-08,********8959,SUPPLIER,2604.38,SGD,CRDT,BOOK,2026-07-10,********5655,INVOICE,176.15,SGD,CRDT,BOOK,2026-07-08,********1164,SUPPLIER,,,,,,,
JNSP52761326,2026-07-12T00:08:27.438,camt.052.001.08,********0133,***************9:02,*******0237,**************5146,ITBD,52212.9,SGD,CRDT,ITBD,35678.18,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,153.83,SGD,DBIT,BOOK,2026-07-03,********7434,RENT,60.09,SGD,DBIT,BOOK,2026-07-09,********5812,FEES,475.8,USD,DBIT,BOOK,2026-07-09,********5275,INVOICE,131.68,SGD,DBIT,BOOK,2026-07-11,ASR588917711,INVOICE
WAXV80133016,2026-07-09T15:05:53.212,camt.052.001.08,********0122,***************6:39,*******0044,**************1980,ITBD,9655.22,USD,CRDT,ITBD,2549.78,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,355.88,USD,CRDT,BOOK,2026-07-02,********5827,INVOICE,401.88,SGD,DBIT,BOOK,2026-07-13,********1970,INVOICE,152.87,EUR,DBIT,BOOK,2026-07-14,********3981,SALARY,,,,,,,
LOGX98802392,2026-07-05T23:27:56.285,camt.052.001.08,********0133,***************5:08,*******0328,**************1536,ITBD,27669.99,SGD,CRDT,ITBD,71726.38,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,51.05,USD,DBIT,BOOK,2026-07-10,********6062,RENT,671.34,USD,CRDT,BOOK,2026-07-04,********0956,FEES,6015.23,SGD,CRDT,BOOK,2026-07-09,********8026,RENT,132.39,SGD,DBIT,BOOK,2026-07-14,ASR200516892,SALARY
HPKJ82739356,2026-07-01T13:12:56.527,camt.052.001.08,********0222,***************4:40,*******0323,**************6039,ITBD,9078.2,MYR,CRDT,ITBD,10106.23,MYR,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,1572.28,MYR,CRDT,BOOK,2026-07-01,********1204,SALARY,73.16,SGD,DBIT,BOOK,2026-07-01,********0485,INVOICE,1883.58,EUR,CRDT,BOOK,2026-07-06,********1989,FEES,,,,,,,
XOBN46597206,2026-07-06T05:42:36.429,camt.052.001.08,********0167,***************2:40,*******0107,**************5586,ITBD,19678.68,USD,CRDT,ITBD,35294.13,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,513.93,SGD,CRDT,BOOK,2026-07-05,********0910,SUPPLIER,483.48,SGD,CRDT,BOOK,2026-07-13,********5100,INVOICE,,,,,,,,,,,,,,
XJAU94279665,2026-07-09T09:25:48.765,camt.052.001.08,********0162,***************4:16,*******0297,**************8702,ITBD,66724.39,SGD,CRDT,ITBD,15730.09,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,25.53,USD,DBIT,BOOK,2026-07-13,********8853,SALARY,374.95,SGD,CRDT,BOOK,2026-07-06,********8046,SUPPLIER,245.5,SGD,DBIT,BOOK,2026-07-08,********1061,INVOICE,,,,,,,
FZDG57730589,2026-07-10T18:01:04.905,camt.052.001.08,********0089,***************8:56,*******0266,**************9550,ITBD,10284.85,SGD,CRDT,ITBD,111928.7,SGD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,157.4,SGD,CRDT,BOOK,2026-07-02,********3034,SUPPLIER,101.51,MYR,CRDT,BOOK,2026-07-10,********8059,SALARY,836.16,SGD,DBIT,BOOK,2026-07-13,********5671,FEES,154.91,SGD,DBIT,BOOK,2026-07-02,ASR927025301,SUPPLIER
TJAM90262661,2026-07-02T22:35:37.147,camt.052.001.08,********0375,***************3:12,*******0081,**************8747,ITBD,24009.72,SGD,CRDT,ITBD,130003.61,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,426.24,SGD,CRDT,BOOK,2026-07-14,********3664,RENT,32.96,SGD,CRDT,BOOK,2026-07-02,********7158,INVOICE,73.69,SGD,DBIT,BOOK,2026-07-06,********5747,INVOICE,,,,,,,
YXQZ58505189,2026-07-10T10:50:12.965,camt.052.001.08,********0199,***************9:09,*******0028,**************0651,ITBD,14064.26,USD,CRDT,ITBD,11943.95,USD,CRDT,urn:iso:std:iso:20022:tech:xsd:camt.052.001.08,mx,151.68,SGD,DBIT,BOOK,2026-07-13,********8592,SUPPLIER,394.27,SGD,CRDT,BOOK,2026-07-08,********3525,SUPPLIER,250.21,SGD,CRDT,BOOK,2026-07-02,********6913,SALARY,,,,,,,
