_msg_id,_ts,_msg_type,FIToFICstmrCdtTrf.CdtTrfTxInf.IntrBkSttlmAmt@Ccy,FIToFICstmrCdtTrf.GrpHdr.MsgId,FIToFICstmrCdtTrf.GrpHdr.CreDtTm,FIToFICstmrCdtTrf.GrpHdr.NbOfTxs,FIToFICstmrCdtTrf.GrpHdr.SttlmInf.SttlmMtd,FIToFICstmrCdtTrf.CdtTrfTxInf.PmtId.EndToEndId,FIToFICstmrCdtTrf.CdtTrfTxInf.PmtId.UETR,FIToFICstmrCdtTrf.CdtTrfTxInf.IntrBkSttlmAmt,FIToFICstmrCdtTrf.CdtTrfTxInf.ChrgBr,FIToFICstmrCdtTrf.CdtTrfTxInf.Dbtr.Nm,FIToFICstmrCdtTrf.CdtTrfTxInf.DbtrAcct.Id.Othr.Id,FIToFICstmrCdtTrf.CdtTrfTxInf.DbtrAgt.FinInstnId.BICFI,FIToFICstmrCdtTrf.CdtTrfTxInf.Cdtr.Nm,FIToFICstmrCdtTrf.CdtTrfTxInf.CdtrAcct.Id.Othr.Id,FIToFICstmrCdtTrf.CdtTrfTxInf.CdtrAgt.FinInstnId.BICFI,FIToFICstmrCdtTrf.CdtTrfTxInf.RmtInf.Ustrd,_format
MSG00000031535,2026-07-06T03:05:26.778,pacs.008.001.08,USD,MSG00000459047,2026-07-03T06:38:09,1,CLRG,REF00000744817,7f9f0093-7cd6-dc3d-52b5-2c1480b1801d,1676.49,SLEV,PAWYJ FH,**************8742,UOVBSGSG,TPSBJ HOOFIFNU,**************3161,MAYBMYKL,INVOICE 14046,mx
MSG00000785925,2026-07-13T10:46:19.725,pacs.008.001.08,USD,MSG00000775453,2026-07-02T01:59:30,1,CLRG,REF00000133124,909a6519-0d5d-932d-1de5-3a63c2a42af8,908.32,SLEV,YCCTO YT,**************7728,OCBCSGSG,ALBST GDZVOWRF,**************7482,HSBCGB2L,INVOICE 77890,mx
MSG00000423690,2026-07-05T23:43:25.694,pacs.008.001.08,SGD,MSG00000797858,2026-07-14T12:21:00,1,CLRG,REF00000716295,18c91aa6-7390-209b-0ce2-2babcb3044eb,842.47,SHAR,WXEDB IS,**************1962,OCBCSGSG,FBTKR TPTCQZYN,**************3052,CITIUS33,INVOICE 86373,mx
MSG00000476042,2026-07-07T18:02:34.559,pacs.008.001.08,SGD,MSG00000420003,2026-07-12T17:13:26,1,CLRG,REF00000583750,b0da657d-df4c-c988-b489-954e18db1b01,1464.5,SLEV,GTJGP VM,**************6857,DBSSSGSG,SPPQO XXZXLTDW,**************1040,MAYBMYKL,INVOICE 01070,mx
MSG00000714887,2026-07-06T14:44:43.511,pacs.008.001.08,SGD,MSG00000632774,2026-07-09T05:16:22,1,CLRG,REF00000197816,9acd8e1a-6a3c-bd9c-985e-651ce47c9bd8,1742.26,SHAR,YZHWJ QK,**************1208,DBSSSGSG,QQOZV VCJZYAZQ,**************0862,CITIUS33,INVOICE 83044,mx
MSG00000754243,2026-07-12T02:10:48.305,pacs.008.001.08,MYR,MSG00000773441,2026-07-01T22:57:40,1,CLRG,REF00000111049,7aea3585-e88e-5ef1-96c4-2649b95df17f,933.32,SLEV,MDZFT BD,**************6377,DBSSSGSG,DEEDP LDRACYGE,**************3652,HSBCGB2L,INVOICE 42852,mx
MSG00000340991,2026-07-02T04:03:15.522,pacs.008.001.08,SGD,MSG00000327225,2026-07-05T16:19:22,1,CLRG,REF00000015569,ac8d9be7-a169-bf98-5a01-abe3d29d3a4c,428.41,SLEV,IPBMA NA,**************6417,DBSSSGSG,UHWUQ SRZCSCQL,**************8278,HSBCGB2L,INVOICE 58223,mx
MSG00000148492,2026-07-02T11:26:37.049,pacs.008.001.08,USD,MSG00000587307,2026-07-13T21:46:55,1,CLRG,REF00000260785,bf110073-8789-29aa-f1ed-66680d0e08d0,296.7,SLEV,SBTTN NF,**************1537,OCBCSGSG,COHSB HUDIAGUT,**************8437,HSBCGB2L,INVOICE 64045,mx
MSG00000054568,2026-07-04T13:21:16.256,pacs.008.001.08,USD,MSG00000256306,2026-07-14T00:10:50,1,CLRG,REF00000361829,cc0643a3-23e1-cc6a-11dd-7eeba9f38fbe,1543.19,SLEV,QVAQC AK,**************9072,UOVBSGSG,KDEFZ DINJOQSS,**************2257,HSBCGB2L,INVOICE 02332,mx
MSG00000357907,2026-07-03T02:58:37.768,pacs.008.001.08,MYR,MSG00000185135,2026-07-06T15:18:16,1,CLRG,REF00000038326,8821fae3-7162-ccba-864b-8f1e1d063958,1484.36,SLEV,QWNZT FJ,**************5790,OCBCSGSG,PYCQC GKODOSDP,**************3261,HSBCGB2L,INVOICE 52600,mx
MSG00000741464,2026-07-03T03:27:23.858,pacs.008.001.08,USD,MSG00000188268,2026-07-14T04:20:20,1,CLRG,REF00000486690,fc992d71-4f8f-77e3-3261-97c566473098,1216.92,SLEV,QGEBS TJ,**************0643,UOVBSGSG,MKXOU HFYERNPE,**************5635,CITIUS33,INVOICE 27488,mx
MSG00000108896,2026-07-05T05:48:29.369,pacs.008.001.08,SGD,MSG00000700996,2026-07-01T17:18:58,1,CLRG,REF00000183267,a54feab5-638b-96c2-ccc7-b8544d8e8d7c,201.46,SHAR,MCCKJ XT,**************0522,UOVBSGSG,UBBDW ACPWIHIF,**************4096,MAYBMYKL,INVOICE 63502,mx
MSG00000033513,2026-07-09T04:56:49.816,pacs.008.001.08,MYR,MSG00000431160,2026-07-05T04:43:46,1,CLRG,REF00000663045,323a0b94-e3de-f5e4-0670-bb50714629ac,1469.9,SLEV,LCIIV UL,**************0144,UOVBSGSG,MZECB HHRBTEDN,**************9125,CITIUS33,INVOICE 36927,mx
MSG00000188140,2026-07-03T07:53:57.229,pacs.008.001.08,USD,MSG00000711819,2026-07-07T13:05:49,1,CLRG,REF00000244877,ebac1d9a-2be2-de73-ce88-9db38eb93e39,438.06,SHAR,TUVTL PF,**************6638,DBSSSGSG,YGTRB MWLKBLSX,**************3508,MAYBMYKL,INVOICE 45790,mx
MSG00000604519,2026-07-11T13:50:57.080,pacs.008.001.08,SGD,MSG00000691769,2026-07-12T12:48:41,1,CLRG,REF00000211837,8e7e01f3-368b-6198-cea7-d08f99a8bc59,1685.67,SLEV,PAWYJ FH,**************6342,OCBCSGSG,SWQFW DEAYCKKS,**************1316,HSBCGB2L,INVOICE 29876,mx
MSG00000631427,2026-07-03T21:32:45.195,pacs.008.001.08,SGD,MSG00000102867,2026-07-06T00:16:35,1,CLRG,REF00000010994,039fafd7-4dcd-a3d5-9c0f-85f851cc11aa,45.59,SLEV,BJXLH DM,**************7393,DBSSSGSG,SQTET NUGNTPIB,**************0484,MAYBMYKL,INVOICE 29570,mx
MSG00000781848,2026-07-09T13:43:27.473,pacs.008.001.08,SGD,MSG00000547387,2026-07-11T18:45:34,1,CLRG,REF00000732212,ee51c2e4-87c7-a064-a9bb-581a384301b7,471.59,SLEV,EAANV PK,**************3043,DBSSSGSG,MZECB HHRBTEDN,**************3632,CITIUS33,INVOICE 88534,mx
MSG00000576300,2026-07-04T00:36:24.185,pacs.008.001.08,SGD,MSG00000306701,2026-07-05T07:58:52,1,CLRG,REF00000265538,b4f4e8bb-83e8-7ee8-987f-8915123a1cb8,1183.63,SLEV,PUWIG QY,**************9382,OCBCSGSG,SZMRB PLRVQQDF,**************3255,HSBCGB2L,INVOICE 30121,mx
MSG00000735780,2026-07-04T22:08:28.225,pacs.008.001.08,SGD,MSG00000325565,2026-07-11T00:54:18,1,CLRG,REF00000341824,da4223eb-4609-7544-0fd7-8dd24ba84bd1,216.34,SLEV,VZJQR CQ,**************9340,UOVBSGSG,AVRZE VNGJMZET,**************5102,MAYBMYKL,INVOICE 90751,mx
MSG00000465069,2026-07-03T11:25:44.199,pacs.008.001.08,MYR,MSG00000287029,2026-07-01T04:35:25,1,CLRG,REF00000023602,3e7f3d38-348c-6c12-2ecd-d89559967a33,875.79,SLEV,SIOKM JN,**************4491,OCBCSGSG,YBZKJ XYIEUFYB,**************6514,CITIUS33,INVOICE 82738,mx
MSG00000316009,2026-07-14T20:04:01.776,pacs.008.001.08,SGD,MSG00000029121,2026-07-14T18:26:25,1,CLRG,REF00000471474,1108bf58-b331-a9d6-44d8-63ad7def1233,1851.07,SLEV,KWRIT IO,**************2940,OCBCSGSG,XXCRJ UUXVCIEL,**************2282,CITIUS33,INVOICE 51897,mx
MSG00000001215,2026-07-07T17:03:55.036,pacs.008.001.08,SGD,MSG00000454893,2026-07-01T22:06:19,1,CLRG,REF00000749498,0b210e90-3fb6-a411-3738-5900e2462f0f,638.16,SLEV,UONKG SX,**************6059,DBSSSGSG,UFGVK SUCEJWLP,**************5894,MAYBMYKL,INVOICE 20117,mx
MSG00000756500,2026-07-10T19:38:35.448,pacs.008.001.08,SGD,MSG00000588019,2026-07-04T17:02:09,1,CLRG,REF00000379683,d99c2499-67d6-ab74-8669-f027d0ab4d39,978.16,SLEV,JNVPF MU,**************1827,UOVBSGSG,CLBES ZJKEGWHL,**************6049,HSBCGB2L,INVOICE 27919,mx
MSG00000711827,2026-07-04T09:09:13.215,pacs.008.001.08,USD,MSG00000277271,2026-07-07T10:41:25,1,CLRG,REF00000567853,eabc71c3-e40e-8e89-6bb3-c17e006c7d32,903.79,SLEV,BXDZW JR,**************3446,DBSSSGSG,BGQOR TNWYFEDL,**************5482,CITIUS33,INVOICE 35622,mx
MSG00000105640,2026-07-04T08:49:02.661,pacs.008.001.08,SGD,MSG00000782353,2026-07-01T01:05:51,1,CLRG,REF00000498041,7a43847c-7370-5e99-8a02-8d928f5e49aa,149.61,SLEV,JWKEG YJ,**************1033,UOVBSGSG,GOWRB AYPMVLTM,**************0746,HSBCGB2L,INVOICE 12995,mx
MSG00000596558,2026-07-04T12:10:46.309,pacs.008.001.08,SGD,MSG00000193206,2026-07-03T18:31:28,1,CLRG,REF00000788244,fa5e7c60-be2d-c256-51a1-d95f724b7c4a,2382.11,SHAR,DPWGV JR,**************7542,DBSSSGSG,SWQFW DEAYCKKS,**************5514,CITIUS33,INVOICE 19258,mx
MSG00000237567,2026-07-06T08:49:20.659,pacs.008.001.08,USD,MSG00000074847,2026-07-03T10:13:32,1,CLRG,REF00000508313,b511335b-b5a2-a491-ab08-1894f403387d,790.51,SLEV,LCIIV UL,**************1492,UOVBSGSG,IRUUD WGAEANGU,**************8727,MAYBMYKL,INVOICE 92594,mx
MSG00000555425,2026-07-06T15:50:31.645,pacs.008.001.08,EUR,MSG00000185069,2026-07-07T07:10:47,1,CLRG,REF00000344965,916d4224-ccdd-de44-8930-14c828986037,143.17,SHAR,CVBOM VY,**************4876,OCBCSGSG,SQTET NUGNTPIB,**************9875,MAYBMYKL,INVOICE 29608,mx
MSG00000341376,2026-07-14T05:54:01.240,pacs.008.001.08,USD,MSG00000223334,2026-07-02T17:31:40,1,CLRG,REF00000211201,11a25a3c-6a60-d6a1-54ff-17bb83e92d7d,572.04,SLEV,FJLRP NX,**************5538,UOVBSGSG,ALBST GDZVOWRF,**************5394,HSBCGB2L,INVOICE 88296,mx
MSG00000734034,2026-07-01T20:54:16.213,pacs.008.001.08,USD,MSG00000613658,2026-07-03T00:23:43,1,CLRG,REF00000317098,73dba9d2-91a5-8723-71e0-13ec7154f398,265.67,SLEV,FMLXU UV,**************7382,UOVBSGSG,BGQOR TNWYFEDL,**************1477,MAYBMYKL,INVOICE 89453,mx
MSG00000295265,2026-07-13T17:35:08.410,pacs.008.001.08,USD,MSG00000505285,2026-07-04T11:18:02,1,CLRG,REF00000610155,8fec4de2-e1a4-59de-73dc-ae17bf1a5144,1902.15,SLEV,YQZTF HB,**************1030,UOVBSGSG,UMSOY PSROUWAD,**************0118,MAYBMYKL,INVOICE 61542,mx
MSG00000448318,2026-07-06T20:38:20.504,pacs.008.001.08,USD,MSG00000428770,2026-07-02T10:48:35,1,CLRG,REF00000101849,14b542fb-53d6-619d-9b51-866bcb48257a,570.31,SLEV,OTXAR ZS,**************2066,UOVBSGSG,LHSVV QOTLWTYG,**************6113,MAYBMYKL,INVOICE 69859,mx
MSG00000382653,2026-07-12T07:04:31.498,pacs.008.001.08,EUR,MSG00000779209,2026-07-01T21:57:45,1,CLRG,REF00000392944,8f5d64e3-5b2d-591e-6261-40eff32cae9b,327.82,SLEV,PAPBC US,**************6713,UOVBSGSG,LWDCZ MWYRXMRN,**************1580,HSBCGB2L,INVOICE 10553,mx
MSG00000068161,2026-07-14T00:30:21.591,pacs.008.001.08,SGD,MSG00000482637,2026-07-03T02:08:12,1,CLRG,REF00000385750,abcdec5e-3319-a5f9-5b72-2947c929a7fc,1144.48,SLEV,FJLRP NX,**************7285,UOVBSGSG,BHBDT VEESDTOV,**************0855,MAYBMYKL,INVOICE 87573,mx
MSG00000207641,2026-07-05T16:34:52.661,pacs.008.001.08,SGD,MSG00000674029,2026-07-04T05:06:26,1,CLRG,REF00000219621,ca388b8a-8ec9-4d9f-4f6d-6a00bf89bef7,365.1,SLEV,DFHPE EA,**************9757,DBSSSGSG,UMSIY YNICRIHD,**************4451,CITIUS33,INVOICE 03372,mx
MSG00000256033,2026-07-09T02:41:07.634,pacs.008.001.08,EUR,MSG00000622729,2026-07-14T06:45:23,1,CLRG,REF00000292792,06634dd6-bde1-05b9-0a35-1e8a2e28454d,2749.87,SLEV,DCZWQ EW,**************1903,DBSSSGSG,COHSB HUDIAGUT,**************8016,CITIUS33,INVOICE 10197,mx
MSG00000406747,2026-07-14T16:20:31.660,pacs.008.001.08,SGD,MSG00000136576,2026-07-06T22:45:17,1,CLRG,REF00000103605,821ffe4a-094c-9d72-2057-8246f9631ac1,1684.21,SLEV,SYELU TC,**************5022,DBSSSGSG,IFJZO YWLYPKWI,**************6996,HSBCGB2L,INVOICE 67557,mx
MSG00000750873,2026-07-14T04:11:20.288,pacs.008.001.08,USD,MSG00000496388,2026-07-13T23:56:37,1,CLRG,REF00000054774,bfb0936e-f42b-196b-1f4c-97fcf0cd3815,318.26,SLEV,DNKKQ TN,**************9222,DBSSSGSG,VAXTP UGRZYSNZ,**************5245,HSBCGB2L,INVOICE 04745,mx
MSG00000591771,2026-07-04T05:05:58.526,pacs.008.001.08,SGD,MSG00000435246,2026-07-11T05:42:52,1,CLRG,REF00000729901,1d4a879d-c7f0-e616-ee97-174ca7aacc54,9517.03,SLEV,WKTCO RN,**************2973,UOVBSGSG,RCIIC OZZXHAKJ,**************1796,MAYBMYKL,INVOICE 45283,mx
MSG00000361563,2026-07-04T15:48:02.403,pacs.008.001.08,SGD,MSG00000600440,2026-07-06T15:09:40,1,CLRG,REF00000283220,fd2c014b-2aed-71f4-cd87-ab6cc9ff0516,1554.84,SLEV,SJMSV XC,**************5700,DBSSSGSG,HPDCG ANSSUBOT,**************8270,HSBCGB2L,INVOICE 57184,mx
MSG00000518645,2026-07-02T11:43:28.913,pacs.008.001.08,USD,MSG00000009314,2026-07-13T01:09:05,1,CLRG,REF00000401616,f9931314-6f74-fa54-06fb-65a1d79ebbeb,637.5,SLEV,CUQVV NQ,**************5172,UOVBSGSG,MMREY YOYMLYZD,**************5227,CITIUS33,INVOICE 85557,mx
MSG00000708037,2026-07-11T22:38:37.833,pacs.008.001.08,USD,MSG00000722171,2026-07-09T13:05:41,1,CLRG,REF00000212661,f4f229c4-4715-4c5d-512a-85f2e062d620,3615.65,SLEV,SFRVC XQ,**************0855,DBSSSGSG,VAXTP UGRZYSNZ,**************6410,CITIUS33,INVOICE 87737,mx
MSG00000529276,2026-07-09T03:22:45.587,pacs.008.001.08,SGD,MSG00000103202,2026-07-07T13:57:31,1,CLRG,REF00000711741,9211cdd9-5c9c-fc08-d5e9-a774865375c0,4167.7,SHAR,BZESP CK,**************4537,OCBCSGSG,ALBST GDZVOWRF,**************9433,CITIUS33,INVOICE 78298,mx
MSG00000139598,2026-07-10T19:37:43.363,pacs.008.001.08,USD,MSG00000481674,2026-07-11T23:40:45,1,CLRG,REF00000444138,27bd0a7b-e2d8-58f0-ab83-b892fbd695bd,443.82,SLEV,KFACB AT,**************3774,UOVBSGSG,CZRNI ATGUEHRF,**************2742,CITIUS33,INVOICE 90086,mx
MSG00000741722,2026-07-04T16:45:04.899,pacs.008.001.08,USD,MSG00000644603,2026-07-13T01:45:51,1,CLRG,REF00000639824,e4880065-b4f0-ab63-4f9f-e3d808f98f0d,1453.04,SHAR,YCCTO YT,**************5849,UOVBSGSG,ATCUG QNGLJDEX,**************5127,HSBCGB2L,INVOICE 36646,mx
MSG00000671360,2026-07-09T05:36:13.762,pacs.008.001.08,USD,MSG00000302066,2026-07-09T17:43:13,1,CLRG,REF00000610510,f1e46599-ba16-4bab-3a93-2900a223e21d,9566.52,SLEV,LLPFN AP,**************1374,OCBCSGSG,CZRNI ATGUEHRF,**************1839,MAYBMYKL,INVOICE 94160,mx
MSG00000780447,2026-07-04T10:20:41.874,pacs.008.001.08,SGD,MSG00000774865,2026-07-13T03:36:01,1,CLRG,REF00000607342,323be944-6d80-d67e-4e5f-33a95157e5a9,703.21,SLEV,TXMUK TQ,**************6331,UOVBSGSG,KJSNW SVFMMAJT,**************5171,MAYBMYKL,INVOICE 90999,mx
MSG00000215737,2026-07-06T08:53:26.364,pacs.008.001.08,EUR,MSG00000636404,2026-07-05T01:02:03,1,CLRG,REF00000632259,ab9ca4bf-2b85-d31f-c9ef-8e70a2402394,397.17,SHAR,EDBEC WV,**************2436,UOVBSGSG,SPPQO XXZXLTDW,**************4986,MAYBMYKL,INVOICE 71974,mx
MSG00000783125,2026-07-10T05:24:53.427,pacs.008.001.08,USD,MSG00000455551,2026-07-06T03:44:03,1,CLRG,REF00000276930,60c55a26-193b-c1f5-2a7a-14685168ee42,604.28,SLEV,WXEDB IS,**************7267,DBSSSGSG,GCKKD JDPPGHDP,**************9816,CITIUS33,INVOICE 18995,mx
MSG00000049295,2026-07-03T06:09:28.097,pacs.008.001.08,SGD,MSG00000024257,2026-07-14T05:17:06,1,CLRG,REF00000007589,8a4b15ce-18e3-0e7b-562a-5592d92c27a5,273.34,SLEV,LTMBG BQ,**************7163,UOVBSGSG,YBZKJ XYIEUFYB,**************6387,HSBCGB2L,INVOICE 58170,mx
MSG00000767240,2026-07-01T07:58:55.961,pacs.008.001.08,SGD,MSG00000169760,2026-07-14T09:58:27,1,CLRG,REF00000416599,1c5d3ece-ee7b-4805-3605-d9b045ee3055,894.94,SHAR,OPGNF SG,**************1187,DBSSSGSG,JIWPS HLQCUZAV,**************1541,MAYBMYKL,INVOICE 90696,mx
MSG00000488773,2026-07-04T16:32:46.996,pacs.008.001.08,SGD,MSG00000788683,2026-07-03T07:17:04,1,CLRG,REF00000710799,375ce835-2444-9967-91a4-336b5ec41df0,236.58,SLEV,QGEBS TJ,**************5348,DBSSSGSG,ABEWD NWSSCQKB,**************1766,HSBCGB2L,INVOICE 81139,mx
MSG00000185891,2026-07-14T01:33:04.440,pacs.008.001.08,SGD,MSG00000619158,2026-07-03T10:53:23,1,CLRG,REF00000416236,30ed0074-1b15-beb8-e2bb-444b5bb6d4d1,5050.71,SLEV,TBEMZ FA,**************0781,UOVBSGSG,YUDSC EETTHLAH,**************9854,MAYBMYKL,INVOICE 66728,mx
MSG00000538835,2026-07-13T10:05:42.052,pacs.008.001.08,USD,MSG00000330278,2026-07-12T15:43:33,1,CLRG,REF00000784453,024f4781-80d7-5899-a0a4-cf1d6bd88b63,1385.17,SLEV,RAYPN OO,**************7864,OCBCSGSG,CZGPK EFKLJYMP,**************9228,HSBCGB2L,INVOICE 59274,mx
MSG00000515356,2026-07-01T15:17:35.155,pacs.008.001.08,SGD,MSG00000084416,2026-07-10T15:18:16,1,CLRG,REF00000279306,b4089c12-85a5-2187-fac8-60c9f978e722,737.05,SLEV,RMUJA VW,**************9121,DBSSSGSG,HDVCE IIKLSWGC,**************3895,MAYBMYKL,INVOICE 98977,mx
MSG00000329668,2026-07-11T04:14:43.100,pacs.008.001.08,SGD,MSG00000635069,2026-07-02T04:48:43,1,CLRG,REF00000096097,1557b9f8-a577-79d2-35f2-e3bae033e7f5,1558.83,SHAR,DQEWQ TR,**************8953,OCBCSGSG,OZDFI HNQSXFXK,**************9918,HSBCGB2L,INVOICE 24456,mx
MSG00000626899,2026-07-14T05:33:57.522,pacs.008.001.08,SGD,MSG00000045453,2026-07-14T09:58:27,1,CLRG,REF00000446147,884227aa-3037-6117-3803-bb369286233f,1417.8,SHAR,VYHWN BT,**************8863,UOVBSGSG,IRUUD WGAEANGU,**************4179,MAYBMYKL,INVOICE 31412,mx
MSG00000383460,2026-07-12T10:43:15.378,pacs.008.001.08,SGD,MSG00000726068,2026-07-07T15:10:23,1,CLRG,REF00000589405,20e4ee52-42b0-1f83-d14c-ded1b6fad4d3,609.39,SLEV,YURHC LC,**************2290,UOVBSGSG,BKBFU UXVPZJST,**************5791,HSBCGB2L,INVOICE 54919,mx
MSG00000071756,2026-07-13T04:39:34.447,pacs.008.001.08,USD,MSG00000066933,2026-07-11T10:18:24,1,CLRG,REF00000736101,d7c92fc9-e28a-a775-30e9-df36cd3f2c79,2323.67,SLEV,ZVOAR FC,**************5286,UOVBSGSG,FVAOB OMIVFYAI,**************0969,MAYBMYKL,INVOICE 29396,mx
MSG00000345099,2026-07-01T18:54:11.662,pacs.008.001.08,USD,MSG00000274722,2026-07-02T01:53:43,1,CLRG,REF00000562669,3edf8120-795a-377a-0d18-4272a069895b,1611.51,SLEV,HBXKJ XB,**************4721,UOVBSGSG,AVRZE VNGJMZET,**************8461,CITIUS33,INVOICE 33105,mx
MSG00000547822,2026-07-11T13:12:20.552,pacs.008.001.08,SGD,MSG00000444181,2026-07-02T13:25:08,1,CLRG,REF00000029543,a4ac0f6f-8271-d996-a6e0-40f7bf262e98,503.96,SLEV,PXZHG DY,**************8056,DBSSSGSG,IUGLD WWZFSIEX,**************6619,MAYBMYKL,INVOICE 78746,mx
MSG00000362858,2026-07-03T18:51:00.832,pacs.008.001.08,SGD,MSG00000558853,2026-07-12T14:35:25,1,CLRG,REF00000278381,b09d3821-2ab3-d606-7bf9-a1170ef06305,328.65,SLEV,SNREM MX,**************8749,OCBCSGSG,HPDCG ANSSUBOT,**************2928,CITIUS33,INVOICE 97298,mx
MSG00000356795,2026-07-09T12:28:24.501,pacs.008.001.08,USD,MSG00000717661,2026-07-02T16:31:20,1,CLRG,REF00000340642,57452c70-0f0e-20cd-9812-d098f178988a,2628.14,SLEV,NXHIH KV,**************5301,OCBCSGSG,OYKTU HVCAYVBW,**************1839,HSBCGB2L,INVOICE 75745,mx
MSG00000228594,2026-07-04T00:48:53.383,pacs.008.001.08,SGD,MSG00000796856,2026-07-09T12:15:21,1,CLRG,REF00000126385,1820e859-fccd-92aa-29f3-d3dad7bb8a39,1140.01,SLEV,NXHIH KV,**************4197,OCBCSGSG,UBBDW ACPWIHIF,**************9488,MAYBMYKL,INVOICE 41190,mx
MSG00000401441,2026-07-05T14:38:34.052,pacs.008.001.08,SGD,MSG00000609652,2026-07-13T19:45:11,1,CLRG,REF00000450022,9b3e7878-74f2-6271-8633-ddc545cd43f3,8693.09,SLEV,AKSIY MH,**************7231,UOVBSGSG,UWNYK EDHZXQNU,**************9145,MAYBMYKL,INVOICE 02084,mx
