_msg_id,_ts,_msg_type,FIToFICstmrCdtTrf.CdtTrfTxInf.IntrBkSttlmAmt@Ccy,FIToFICstmrCdtTrf.GrpHdr.MsgId,FIToFICstmrCdtTrf.GrpHdr.CreDtTm,FIToFICstmrCdtTrf.GrpHdr.NbOfTxs,FIToFICstmrCdtTrf.GrpHdr.SttlmInf.SttlmMtd,FIToFICstmrCdtTrf.CdtTrfTxInf.PmtId.EndToEndId,FIToFICstmrCdtTrf.CdtTrfTxInf.PmtId.UETR,FIToFICstmrCdtTrf.CdtTrfTxInf.IntrBkSttlmAmt,FIToFICstmrCdtTrf.CdtTrfTxInf.ChrgBr,FIToFICstmrCdtTrf.CdtTrfTxInf.Dbtr.Nm,FIToFICstmrCdtTrf.CdtTrfTxInf.DbtrAcct.Id.Othr.Id,FIToFICstmrCdtTrf.CdtTrfTxInf.DbtrAgt.FinInstnId.BICFI,FIToFICstmrCdtTrf.CdtTrfTxInf.Cdtr.Nm,FIToFICstmrCdtTrf.CdtTrfTxInf.CdtrAcct.Id.Othr.Id,FIToFICstmrCdtTrf.CdtTrfTxInf.CdtrAgt.FinInstnId.BICFI,FIToFICstmrCdtTrf.CdtTrfTxInf.RmtInf.Ustrd,_ns,_format
MSG00000544304,2026-07-02T04:12:10.002,pacs.008.001.08,USD,MSG00000413183,2026-07-07T14:32:35,1,CLRG,REF00000178408,3c3261c9-c566-7309-6419-ae754df4a54f,493.58,SLEV,ZOKLF HGDI,**************5206,DBSSSGSG,QLVZ PUJG,**************2424,CITIUS33,INVOICE 76897,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000378608,2026-07-04T11:18:15.920,pacs.008.001.08,EUR,MSG00000760013,2026-07-04T09:14:37,1,CLRG,REF00000492078,c2bccc76-8544-8e8d-cc22-911302f87853,719.24,SHAR,WTCDY YYKS,**************5040,OCBCSGSG,ALJE OOSD,**************8024,MAYBMYKL,INVOICE 41592,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000143684,2026-07-08T02:18:02.393,pacs.008.001.08,EUR,MSG00000230960,2026-07-04T20:04:33,1,CLRG,REF00000347724,de3f5e4b-6704-b507-4629-cb288bc42177,325.28,SLEV,RBTED NYUO,**************7162,UOVBSGSG,QWLS KSMS,**************7370,HSBCGB2L,INVOICE 93484,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000757955,2026-07-07T14:31:34.858,pacs.008.001.08,SGD,MSG00000416705,2026-07-02T10:48:35,1,CLRG,REF00000443655,1d9a52be-9de7-6ce8-39db-8eb93e39bf56,519.03,SHAR,KXVTN VAQL,**************2630,OCBCSGSG,TRBM WLKB,**************3926,CITIUS33,INVOICE 83356,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000419225,2026-07-12T20:47:55.024,pacs.008.001.08,MYR,MSG00000649213,2026-07-09T09:32:23,1,CLRG,REF00000154207,b8e7e01f-a368-d619-bcea-5d08f99a8bc5,6892.62,SLEV,YJSWQ FWDE,**************2586,UOVBSGSG,ALJE OOSD,**************4872,HSBCGB2L,INVOICE 04566,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000064585,2026-07-10T02:22:17.021,pacs.008.001.08,USD,MSG00000391556,2026-07-12T03:20:20,1,CLRG,REF00000764598,02aa039f-fd71-dcd8-3d50-c0f285f851cc,1143.5,SLEV,UYBBU KKBJ,**************5242,OCBCSGSG,XLHD MSQT,**************1297,CITIUS33,INVOICE 20494,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000395075,2026-07-10T05:30:13.152,pacs.008.001.08,MYR,MSG00000746144,2026-07-12T04:08:47,1,CLRG,REF00000612050,4d6df81e-51c2-4287-7da0-46a9bb7581a3,284.39,SLEV,ZOKLF HGDI,**************4333,OCBCSGSG,ISVE DABL,**************1396,MAYBMYKL,INVOICE 97867,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000196144,2026-07-13T05:34:54.149,pacs.008.001.08,MYR,MSG00000086350,2026-07-09T04:49:24,1,CLRG,REF00000129535,7400dfab-f4e8-bf83-807e-81987fc89151,204.67,SHAR,XCDKR BWMS,**************9595,OCBCSGSG,YWLI PUWI,**************5170,CITIUS33,INVOICE 03425,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000090895,2026-07-01T07:59:36.107,pacs.008.001.08,SGD,MSG00000076038,2026-07-13T19:47:11,1,CLRG,REF00000055915,6c1fb35d-4223-bf46-9875-420fd758dd24,6127.0,SLEV,LVQKI YREL,**************6185,UOVBSGSG,NBVZ JQRC,**************9791,CITIUS33,INVOICE 89993,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000219548,2026-07-01T07:13:36.291,pacs.008.001.08,USD,MSG00000551403,2026-07-05T06:53:38,1,CLRG,REF00000617131,04d69c43-7f3d-8434-ca6c-212ecd8d8955,1140.8,SLEV,ZOKLF HGDI,**************5701,DBSSSGSG,JJGQ QYYH,**************8725,MAYBMYKL,INVOICE 73259,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000449283,2026-07-10T06:38:51.671,pacs.008.001.08,USD,MSG00000614099,2026-07-04T14:00:19,1,CLRG,REF00000114170,a338eac9-1a98-5111-8bf5-bb331ea9d604,1157.77,SHAR,WTCDY YYKS,**************4924,DBSSSGSG,IUGL DWWZ,**************8690,MAYBMYKL,INVOICE 80383,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000572923,2026-07-10T02:38:12.429,pacs.008.001.08,SGD,MSG00000081327,2026-07-05T05:52:25,1,CLRG,REF00000149135,4d8063ad-def1-33a8-e292-4b0b210e9013,323.87,SLEV,YPLWG FKVE,**************8804,UOVBSGSG,BBPD RHDI,**************1780,HSBCGB2L,INVOICE 55752,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000784757,2026-07-10T07:01:36.400,pacs.008.001.08,SGD,MSG00000218824,2026-07-09T20:04:12,1,CLRG,REF00000477511,95900e24-2f0f-da65-a249-fd99c2499d67,434.8,SLEV,NSGIQ KLVH,**************7375,UOVBSGSG,EKIG QGJS,**************8910,HSBCGB2L,INVOICE 72380,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000210793,2026-07-11T19:03:00.871,pacs.008.001.08,SGD,MSG00000137945,2026-07-07T23:37:58,1,CLRG,REF00000603969,2f027d0a-4d39-b149-467b-abc71c33e40e,945.88,SLEV,BVBGV EKQL,**************4515,DBSSSGSG,QWFI OIQU,**************2545,CITIUS33,INVOICE 62148,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000629857,2026-07-11T04:14:25.533,pacs.008.001.08,USD,MSG00000547865,2026-07-10T13:55:46,1,CLRG,REF00000308264,906bb3cc-7e00-c7d3-1391-ed543b7a4384,24892.64,SLEV,VQPXJ IZVF,**************3555,OCBCSGSG,UPFJ SLUT,**************1336,CITIUS33,INVOICE 14055,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000520766,2026-07-14T16:36:45.153,pacs.008.001.08,EUR,MSG00000419203,2026-07-09T22:41:12,1,CLRG,REF00000463655,7c07370f-e997-a02d-d928-5e49aa9a4696,440.67,SLEV,WTCDY YYKS,**************3103,DBSSSGSG,OWRB AYPM,**************0776,HSBCGB2L,INVOICE 87251,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000285626,2026-07-08T04:57:50.991,pacs.008.001.08,SGD,MSG00000036713,2026-07-06T08:40:51,1,CLRG,REF00000010544,bcfa5e7c-04be-d4c2-6d51-1ed95f724b7c,4238.49,SLEV,EKDPW GVJR,**************6598,UOVBSGSG,ULUF SBTU,**************6886,CITIUS33,INVOICE 32657,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000033232,2026-07-01T06:28:13.332,pacs.008.001.08,SGD,MSG00000700508,2026-07-02T02:22:06,1,CLRG,REF00000104001,1335b7b5-24a4-1eab-8d18-4f403387d836,420.51,SLEV,AEANG UJBQ,**************1010,UOVBSGSG,BBPD RHDI,**************5858,HSBCGB2L,INVOICE 81370,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000169394,2026-07-05T21:44:03.668,pacs.008.001.08,SGD,MSG00000615603,2026-07-06T02:24:04,1,CLRG,REF00000573716,6d42241c-dd7d-4468-3011-c82898603721,503.95,SHAR,OMVYB BKTC,**************4219,DBSSSGSG,FTKD MUTF,**************9834,CITIUS33,INVOICE 08148,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000440839,2026-07-08T00:20:18.527,pacs.008.001.08,SGD,MSG00000409062,2026-07-04T06:33:50,1,CLRG,REF00000163775,6a603d6a-054f-c17b-83e9-d7d59bfd73db,800.32,SLEV,KQJNC MXJB,**************3775,UOVBSGSG,FERC WKFA,**************3148,CITIUS33,INVOICE 87525,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000651698,2026-07-04T22:46:54.968,pacs.008.001.08,SGD,MSG00000129368,2026-07-09T07:34:44,1,CLRG,REF00000316043,a588723e-1e0e-3ec7-54f3-85cb8fec4de2,2291.8,SLEV,AYZOR BKED,**************7418,OCBCSGSG,ZTFJ ZNOK,**************7565,CITIUS33,INVOICE 97904,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000600107,2026-07-06T10:57:05.594,pacs.008.001.08,SGD,MSG00000670692,2026-07-11T14:09:53,1,CLRG,REF00000074002,73dc8ae1-bf1a-1445-1cef-0314b542fbd5,486.5,SLEV,DNSTG DGBJ,**************0601,OCBCSGSG,NFZJ LVFB,**************7272,HSBCGB2L,INVOICE 28734,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000346150,2026-07-01T15:10:15.649,pacs.008.001.08,SGD,MSG00000166313,2026-07-01T02:30:03,1,CLRG,REF00000163987,c866bcb4-257a-0b7e-68f5-64e3a5b2d059,717.81,SHAR,AEANG UJBQ,**************0258,DBSSSGSG,TRBM WLKB,**************0730,CITIUS33,INVOICE 70220,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000192678,2026-07-10T10:57:24.762,pacs.008.001.08,SGD,MSG00000246378,2026-07-06T17:01:46,1,CLRG,REF00000696069,1ed6261d-0eff-2cae-bf0f-2b32ccdabcde,2649.13,SLEV,WMFOC VDDB,**************9103,DBSSSGSG,DZIW WGTR,**************9399,HSBCGB2L,INVOICE 33081,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000493486,2026-07-09T06:32:25.777,pacs.008.001.08,SGD,MSG00000785998,2026-07-04T08:09:40,1,CLRG,REF00000411573,96a5f985-72f2-47c9-9a7f-1713443eca38,219.38,SLEV,RILIK VXKI,**************7255,DBSSSGSG,OMJY QVNU,**************6010,MAYBMYKL,INVOICE 20499,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000183446,2026-07-14T00:36:52.761,pacs.008.001.08,SGD,MSG00000543758,2026-07-09T23:23:32,1,CLRG,REF00000775063,4d9fc4f6-66a0-bf89-ef73-7f440c8d8287,2043.03,SLEV,WMFOC VDDB,**************7627,UOVBSGSG,DAXZ GGYD,**************4713,CITIUS33,INVOICE 92874,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000261073,2026-07-05T00:59:05.290,pacs.008.001.08,SGD,MSG00000441492,2026-07-12T06:15:27,1,CLRG,REF00000724187,4dd6bbde-d05b-10a3-01e8-2e28454d3248,1087.19,SLEV,CXBPP OEKW,**************6933,OCBCSGSG,FKTA BZKY,**************6778,MAYBMYKL,INVOICE 85319,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000080132,2026-07-08T03:37:44.974,pacs.008.001.08,SGD,MSG00000778751,2026-07-01T08:33:10,1,CLRG,REF00000133938,2094cb9d-2720-7782-6f96-1ac14b2859eb,1109.11,SHAR,YPKWI LPLW,**************5650,DBSSSGSG,RSAU JDRZ,**************3283,CITIUS33,INVOICE 47210,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
MSG00000610930,2026-07-13T15:43:49.094,pacs.008.001.08,USD,MSG00000495735,2026-07-11T11:12:37,1,CLRG,REF00000128117,6e6f42b8-96b6-f4ce-7fcf-cd38153daad0,323.11,SLEV,XTPUG RZYS,**************8788,OCBCSGSG,NZSB QNXE,**************0800,CITIUS33,INVOICE 25862,urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08,mx
