_msg_id,_ts,_msg_type,FICdtTrf.CdtTrfTxInf.IntrBkSttlmAmt@Ccy,FICdtTrf.GrpHdr.MsgId,FICdtTrf.GrpHdr.CreDtTm,FICdtTrf.GrpHdr.NbOfTxs,FICdtTrf.GrpHdr.SttlmInf.SttlmMtd,FICdtTrf.CdtTrfTxInf.PmtId.EndToEndId,FICdtTrf.CdtTrfTxInf.PmtId.UETR,FICdtTrf.CdtTrfTxInf.IntrBkSttlmAmt,FICdtTrf.CdtTrfTxInf.Dbtr.FinInstnId.BICFI,FICdtTrf.CdtTrfTxInf.Cdtr.FinInstnId.BICFI,_ns,_format,FICdtTrf.CdtTrfTxInf.UndrlygCstmrCdtTrf.Dbtr.Nm,FICdtTrf.CdtTrfTxInf.UndrlygCstmrCdtTrf.DbtrAcct.Id.Othr.Id,FICdtTrf.CdtTrfTxInf.UndrlygCstmrCdtTrf.Cdtr.Nm,FICdtTrf.CdtTrfTxInf.UndrlygCstmrCdtTrf.CdtrAcct.Id.Othr.Id,FICdtTrf.CdtTrfTxInf.UndrlygCstmrCdtTrf.RmtInf.Ustrd
MSG00000207482,2026-07-01T07:55:16.705,pacs.009.001.08,EUR,MSG00000753773,2026-07-04T00:10:03,1,INDA,REF00000742014,0ddfda7f-f009-e7cd-1dc3-552b572c1480,188115,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,LQBZI XQABNP,**************2835,AWYJ FHT,**************9242,INVOICE 65918
MSG00000442491,2026-07-13T04:58:18.752,pacs.009.001.08,SGD,MSG00000483233,2026-07-05T11:08:11,1,INDA,REF00000251287,f197ee58-d909-6519-0d5d-932da1de5c3a,207171,DBSSSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,USQRG UQDMCK,**************7157,WQEU CUU,**************4767,INVOICE 93760
MSG00000249145,2026-07-04T01:43:39.235,pacs.009.001.08,SGD,MSG00000797870,2026-07-14T01:18:38,1,INDA,REF00000270125,af822e0b-63e5-8c91-a627-902209bd0ce2,48872,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,GCLUK LMLWDA,**************4511,EEOL WXE,**************1598,INVOICE 45158
MSG00000285763,2026-07-14T04:20:01.820,pacs.009.001.08,SGD,MSG00000313805,2026-07-05T10:36:27,1,INDA,REF00000538105,31851af2-b0da-57d5-f4cf-9884b4897954,59476,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,TUSXO BINLBL,**************5095,UZYW ZAQ,**************3428,INVOICE 12593
MSG00000492350,2026-07-03T14:42:26.514,pacs.009.001.08,SGD,MSG00000086619,2026-07-08T04:27:04,1,INDA,REF00000282427,1696fc9a-d8e1-86a3-bbd9-d985eb651ce4,45384,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,HMJLN TIHKRO,**************5446,EEOL WXE,**************9473,INVOICE 31471
MSG00000394512,2026-07-07T09:03:50.402,pacs.009.001.08,SGD,MSG00000660452,2026-07-10T06:40:59,1,INDA,REF00000411599,a3585ce8-e25e-1196-4d26-9b95df17fc35,32104,UOVBSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,CHUMW PMYZHW,**************8731,TBDD EED,**************6211,INVOICE 41937
MSG00000129300,2026-07-05T17:45:45.678,pacs.009.001.08,SGD,MSG00000517362,2026-07-05T03:37:22,1,INDA,REF00000326811,fb30264a-8d9b-72a1-9cbf-855a01aabe3d,601369,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,CYVJU NQDWKE,**************5504,UZYW ZAQ,**************9717,INVOICE 15253
MSG00000351718,2026-07-03T04:45:44.157,pacs.009.001.08,USD,MSG00000122391,2026-07-14T10:30:03,1,INDA,REF00000734596,c8f1c0d0-22bb-1100-3c87-9229aadf1eda,39115,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,XGGXG ZIAUNQ,**************5988,UAOA INX,**************5434,INVOICE 84850
MSG00000457908,2026-07-10T23:03:26.886,pacs.009.001.08,SGD,MSG00000504210,2026-07-12T05:12:40,1,INDA,REF00000443695,01dd52e7-7380-cc06-3a32-3e16cc6aa11d,53101,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,RNOVH OSVOQX,**************9715,LQUS VKW,**************7438,INVOICE 03497
MSG00000185891,2026-07-04T04:29:09.402,pacs.009.001.08,EUR,MSG00000349585,2026-07-07T09:47:29,1,INDA,REF00000616633,9f38fbea-4538-9e88-1fae-171623ccba38,219069,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,WWGTR EYULLI,**************3871,QUPB QOB,**************8689,INVOICE 79401
MSG00000717481,2026-07-11T18:32:31.872,pacs.009.001.08,USD,MSG00000138961,2026-07-12T01:41:20,1,INDA,REF00000680734,d063958d-9f22-ae3e-ffc9-2d7194f8fa77,115533,DBSSSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,OQRDM DCYZWG,**************7485,BVSW MJH,**************8994,INVOICE 42750
MSG00000337830,2026-07-07T20:46:14.363,pacs.009.001.08,SGD,MSG00000674681,2026-07-04T23:33:06,1,INDA,REF00000758432,c5664730-8641-cae7-4df4-54feab57638b,58269,UOVBSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,VZPUJ GTRMCL,**************7635,MVMM HGL,**************4493,INVOICE 42429
MSG00000250323,2026-07-10T11:44:55.503,pacs.009.001.08,USD,MSG00000026178,2026-07-06T05:54:03,1,INDA,REF00000600900,8544d8e8-7cc2-a911-02f8-85323a0b94ee,352112,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,SDYNO DPFOXQ,**************8102,WELQ RAZ,**************0163,INVOICE 95798
MSG00000114368,2026-07-10T14:06:47.006,pacs.009.001.08,USD,MSG00000446517,2026-07-13T14:28:55,1,INDA,REF00000627716,6704bb50-1462-acb2-8bc4-177143debac1,101031,UOVBSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,NJKVT XWXSFC,**************8187,RXLT OCJ,**************9953,INVOICE 04360
MSG00000757955,2026-07-05T15:09:15.098,pacs.009.001.08,SGD,MSG00000632908,2026-07-01T22:35:59,1,INDA,REF00000515263,de736ce8-39db-8eb9-e39b-561cba1b8e7e,47868,UOVBSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,AWZBP DSKDVG,**************8593,ILRN GBW,**************6892,INVOICE 13431
MSG00000230341,2026-07-09T14:23:45.584,pacs.009.001.08,SGD,MSG00000259905,2026-07-06T22:54:00,1,INDA,REF00000208014,98bcea75-08f9-a8bc-9534-2aa039fafd71,87470,UOVBSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,ENMZR NWIVTK,**************1981,QDNF AZJ,**************1691,INVOICE 48721
MSG00000781465,2026-07-06T03:06:20.017,pacs.009.001.08,SGD,MSG00000524209,2026-07-12T02:02:16,1,INDA,REF00000783283,c0f285f8-1cc1-aa19-73c4-6df81ee51c2e,1361648,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,ECVIH UMSHNK,**************3048,CPMJ NVP,**************4566,INVOICE 30364
MSG00000638394,2026-07-05T19:37:39.944,pacs.009.001.08,SGD,MSG00000433378,2026-07-11T20:02:13,1,INDA,REF00000098431,0646a9bb-581a-8430-b740-dfab4f4e8bbf,79671,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,WVZID OVIAHO,**************7535,QOIB JRI,**************2981,INVOICE 62752
MSG00000483980,2026-07-01T08:08:31.132,pacs.009.001.08,USD,MSG00000325434,2026-07-06T09:52:18,1,INDA,REF00000572062,7fc89151-3a1c-8f86-1fb3-da4223ebf460,120404,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,JIHFE EUQCRX,**************4435,APNW HFI,**************1201,INVOICE 01034
MSG00000295359,2026-07-11T20:20:41.841,pacs.009.001.08,MYR,MSG00000411676,2026-07-08T18:42:24,1,INDA,REF00000265604,dd24ba84-d192-4d69-43e7-3d384348ca6c,39543,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,BCBUC OMNINI,**************6163,YSJF FJJ,**************6337,INVOICE 06161
MSG00000055915,2026-07-05T17:09:40.288,pacs.009.001.08,SGD,MSG00000567175,2026-07-07T11:20:42,1,INDA,REF00000484720,67a338ea-9d1a-8451-108b-58bb331ea9d6,214500,DBSSSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,YTVAE EQNIAQ,**************5484,SQGD UZK,**************4818,INVOICE 17638
MSG00000186876,2026-07-06T20:50:21.688,pacs.009.001.08,SGD,MSG00000695755,2026-07-08T02:57:54,1,INDA,REF00000330301,d7def123-a88e-9284-0b21-e9013fb65a41,181816,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,BPDRH DIJZFZ,**************5848,SNQP YTS,**************4953,INVOICE 17524
MSG00000514114,2026-07-12T20:40:36.921,pacs.009.001.08,MYR,MSG00000682690,2026-07-05T22:34:21,1,INDA,REF00000286579,900e2462-0fed-656a-49bf-99c2499d67d6,24732,UOVBSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,IQKLV HEKIGQ,**************5572,GJSY CYT,**************0720,INVOICE 28804
MSG00000753455,2026-07-04T14:45:40.827,pacs.009.001.08,USD,MSG00000657546,2026-07-01T15:22:09,1,INDA,REF00000670384,f027d0ab-d392-149a-67be-bc71c33e40e5,25773,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,IOIQU JXAGLL,**************1784,DRWR MMB,**************6156,INVOICE 28954
MSG00000431547,2026-07-04T17:09:47.122,pacs.009.001.08,SGD,MSG00000682015,2026-07-09T19:18:25,1,INDA,REF00000063294,7e006c7d-2139-6ed5-3b7a-3847c07370f5,31854,DBSSSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,RXOSJ VYJZSS,**************1079,THIK SYA,**************5277,INVOICE 39851
MSG00000398060,2026-07-05T04:01:39.620,pacs.009.001.08,SGD,MSG00000790793,2026-07-14T08:12:34,1,INDA,REF00000383414,2d8d928f-e49a-9a46-6e10-cbcfa5e7c604,49404,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,LOCXN UREMQC,**************6298,FGNV FZY,**************0104,INVOICE 52500
MSG00000299284,2026-07-02T07:39:32.787,pacs.009.001.08,SGD,MSG00000070353,2026-07-02T10:28:10,1,INDA,REF00000309945,1a1ed95f-24b7-4a3f-9b51-335b7b5a24a4,45382,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,WRJBO QTSKLX,**************3283,ZAIN YZB,**************8509,INVOICE 62617
MSG00000192037,2026-07-06T15:55:30.522,pacs.009.001.08,USD,MSG00000188654,2026-07-11T09:11:57,1,INDA,REF00000686393,894f4033-7d83-040d-916d-2241ccdd7de4,92059,UOVBSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,EGZIJ UDXAYB,**************6066,BZSZ EMW,**************0523,INVOICE 01274
MSG00000671324,2026-07-01T07:56:11.299,pacs.009.001.08,EUR,MSG00000186188,2026-07-04T23:46:09,1,INDA,REF00000192285,82898603-21ec-1a25-3c56-603d6a1054ff,35149,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,VMBHQ LLIDOJ,**************8951,BVSW MJH,**************9108,INVOICE 74744
MSG00000310555,2026-07-13T16:44:01.286,pacs.009.001.08,USD,MSG00000323053,2026-07-06T20:51:53,1,INDA,REF00000608476,2d7d59bf-73db-9d2c-1a58-723e71e0e13e,261932,DBSSSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,VZTSZ MQSHBV,**************2104,LDWW ZFS,**************3957,INVOICE 78251
MSG00000499746,2026-07-11T15:33:02.876,pacs.009.001.08,USD,MSG00000360953,2026-07-01T21:57:45,1,INDA,REF00000182126,54f3985c-8fec-de20-1a43-9dea73dc8ae1,90517,UOVBSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,HLVPB KFBUEE,**************8891,YQZT FHB,**************4645,INVOICE 69340
MSG00000625310,2026-07-05T06:04:36.313,pacs.009.001.08,USD,MSG00000213281,2026-07-13T05:29:52,1,INDA,REF00000764485,cefe0314-542f-d53d-3619-59b51c866bcb,120933,UOVBSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,ENMZR NWIVTK,**************5251,EYIU RRC,**************5792,INVOICE 68574
MSG00000078637,2026-07-01T05:14:43.935,pacs.009.001.08,SGD,MSG00000253229,2026-07-05T03:37:22,1,INDA,REF00000549061,57ae0b7e-68f5-64e3-5b2d-591ed6261d40,36081,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,YZOPS PDCMSK,**************6185,WQEU CUU,**************6620,INVOICE 09677
MSG00000585879,2026-07-06T13:23:11.261,pacs.009.001.08,SGD,MSG00000495831,2026-07-02T19:18:01,1,INDA,REF00000461505,e9bf0f12-32cc-abcd-c5e2-3196a5f985b7,45387,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,VZPUJ GTRMCL,**************3944,XCPX ZUC,**************6141,INVOICE 19883
MSG00000395567,2026-07-06T05:19:49.282,pacs.009.001.08,SGD,MSG00000730836,2026-07-12T05:44:46,1,INDA,REF00000192678,947c929a-fc17-3443-ca38-b8aa8ec9d4d9,295069,DBSSSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,ZSRPZ TYQMEP,**************6313,GNGR GQK,**************0327,INVOICE 65381
MSG00000363308,2026-07-14T04:48:16.658,pacs.009.001.08,USD,MSG00000217421,2026-07-05T11:34:19,1,INDA,REF00000449348,00bf89be-7357-440c-d828-306634dd6bbd,166700,DBSSSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,VOSBU NAFLVT,**************8183,ZWJU BAK,**************2365,INVOICE 23995
MSG00000787163,2026-07-03T19:02:34.131,pacs.009.001.08,SGD,MSG00000607364,2026-07-08T11:51:59,1,INDA,REF00000318344,3501e8a2-2845-d324-21ff-4a2094cb9d72,18545,OCBCSGSG,MAYBMYKL,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,HYWCA SFVRRH,**************5062,YXUH QVI,**************9302,INVOICE 69774
MSG00000018131,2026-07-06T10:11:43.765,pacs.009.001.08,SGD,MSG00000472282,2026-07-07T02:48:56,1,INDA,REF00000265226,246f9631-c14b-859e-fa8b-b0936e6f42b8,395355,DBSSSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,LOCXN UREMQC,**************5437,BJGX TUL,**************0637,INVOICE 69574
MSG00000558139,2026-07-12T19:44:39.817,pacs.009.001.08,SGD,MSG00000435536,2026-07-09T05:51:38,1,INDA,REF00000067259,61f4ce97-cf0c-3815-daad-f6d1d4a879d0,307064,OCBCSGSG,CITIUS33,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,YMHPU AFOQGB,**************9965,VGLO WUO,**************4187,INVOICE 86554
MSG00000719390,2026-07-08T05:58:34.550,pacs.009.001.08,SGD,MSG00000333906,2026-07-10T15:20:48,1,INDA,REF00000559817,97d174ca-aacc-4a2e-2882-70a9fd2c014b,292388,OCBCSGSG,HSBCGB2L,urn:iso:std:iso:20022:tech:xsd:pacs.009.001.08,mx,TUSXO BINLBL,**************8694,YMCK WTO,**************5613,INVOICE 03341
