_msg_id,_ts,_mt_type,119,21,_sender_bic,_receiver_bic,32A_ccy,32A_amount,52A,57A,58A,_format,50K_acct,50K_name,59_acct,59_name
REF00000631509,2026-07-01T23:07:49.503,202,COV,REL91453810,OCBCSGSG,HSBCGB2L,EUR,58615,OCBCSGSG,OCBCSGSG,CITIUS33,mt,**************8058,PPVVE RTT,**************7762,CERHWF QYQ
REF00000352948,2026-07-08T09:53:55.839,202,COV,REL60452656,OCBCSGSG,CITIUS33,USD,44426,UOVBSGSG,MAYBMYKL,CITIUS33,mt,**************7432,WYMKE WRS,**************4645,RTTOBL CLY
REF00000613955,2026-07-06T11:34:52.190,202,COV,REL98944952,OCBCSGSG,CITIUS33,USD,55351,OCBCSGSG,MAYBMYKL,CITIUS33,mt,**************9708,VNBTT CKH,**************8359,TZGLQW YMS
REF00000714813,2026-07-03T01:45:18.072,202,COV,REL31011843,UOVBSGSG,MAYBMYKL,EUR,26706,OCBCSGSG,HSBCGB2L,MAYBMYKL,mt,**************4512,PBAOZ CJN,**************1352,KEPVYU HWZ
REF00000417387,2026-07-09T10:41:29.170,202,COV,REL41159900,UOVBSGSG,CITIUS33,EUR,126739,OCBCSGSG,HSBCGB2L,CITIUS33,mt,**************2853,AXLSL NFC,**************8621,UAGYGT TRX
REF00000641988,2026-07-02T18:50:35.950,202,COV,REL99511696,DBSSSGSG,HSBCGB2L,SGD,99031,DBSSSGSG,OCBCSGSG,HSBCGB2L,mt,**************9441,EQEVI UXB,**************2875,TOLTXL JMN
REF00000671322,2026-07-08T05:52:23.480,202,COV,REL63268111,OCBCSGSG,MAYBMYKL,SGD,73686,OCBCSGSG,OCBCSGSG,CITIUS33,mt,**************5255,YLHJA KSI,**************6040,DRTBGR SSL
REF00000497848,2026-07-01T15:43:39.161,202,COV,REL57558459,UOVBSGSG,CITIUS33,USD,584869,UOVBSGSG,UOVBSGSG,HSBCGB2L,mt,**************7252,YODAC ZSB,**************2355,RFKJLI WWU
REF00000585988,2026-07-04T02:56:27.667,202,COV,REL34596063,OCBCSGSG,CITIUS33,USD,65078,UOVBSGSG,CITIUS33,CITIUS33,mt,**************7687,FOFAR WNH,**************7745,GOIXFL XSN
REF00000752515,2026-07-03T12:03:12.102,202,COV,REL73851008,OCBCSGSG,HSBCGB2L,SGD,25985,DBSSSGSG,UOVBSGSG,MAYBMYKL,mt,**************2551,QPYTS PPQ,**************1474,OXXZXL TDW
REF00000594612,2026-07-12T00:37:20.191,202,COV,REL24436957,DBSSSGSG,MAYBMYKL,USD,82053,DBSSSGSG,MAYBMYKL,MAYBMYKL,mt,**************1010,VQMSE DZP,**************4385,PDRREZ YIH
REF00000395653,2026-07-05T07:41:52.256,202,COV,REL60177650,OCBCSGSG,MAYBMYKL,MYR,18935,OCBCSGSG,CITIUS33,CITIUS33,mt,**************1045,WCKMJ WQL,**************1667,MRGTPV VOK
REF00000359195,2026-07-06T06:11:27.728,202,COV,REL63367305,UOVBSGSG,HSBCGB2L,SGD,99089,UOVBSGSG,OCBCSGSG,MAYBMYKL,mt,**************6689,OQDRZ OCC,**************9038,UAGYGT TRX
REF00000157494,2026-07-07T23:36:38.154,202,COV,REL65360043,OCBCSGSG,HSBCGB2L,SGD,365789,UOVBSGSG,CITIUS33,MAYBMYKL,mt,**************3023,GFTKF MIW,**************7925,MGWOQH ZLG
REF00000257574,2026-07-08T20:16:19.076,202,COV,REL80947836,OCBCSGSG,HSBCGB2L,USD,54277,DBSSSGSG,MAYBMYKL,HSBCGB2L,mt,**************8138,GIAFV KTD,**************2142,BBZVIN KKJ
REF00000750039,2026-07-12T03:37:20.503,202,COV,REL37994990,OCBCSGSG,MAYBMYKL,EUR,59712,OCBCSGSG,OCBCSGSG,CITIUS33,mt,**************8742,SNWSV FMM,**************1222,RFKJLI WWU
REF00000443043,2026-07-12T15:50:48.520,202,COV,REL04493062,UOVBSGSG,CITIUS33,SGD,122405,UOVBSGSG,DBSSSGSG,HSBCGB2L,mt,**************7595,AJTTJ WKT,**************0414,HEGTOT ONQ
REF00000129780,2026-07-08T03:06:57.226,202,COV,REL06297641,UOVBSGSG,HSBCGB2L,SGD,176833,DBSSSGSG,MAYBMYKL,HSBCGB2L,mt,**************7817,XCCMG BJZ,**************5265,TZGLQW YMS
REF00000503237,2026-07-10T16:36:45.868,202,COV,REL29830163,UOVBSGSG,MAYBMYKL,SGD,5661,OCBCSGSG,OCBCSGSG,MAYBMYKL,mt,**************0409,KQIZN MIV,**************8102,SPKHJF FNF
REF00000024434,2026-07-04T05:20:36.684,202,COV,REL85760013,OCBCSGSG,HSBCGB2L,USD,296212,UOVBSGSG,CITIUS33,CITIUS33,mt,**************1808,EAMBV BGV,**************8997,BHSRLU RGN
REF00000424875,2026-07-01T08:46:29.378,202,COV,REL66159953,UOVBSGSG,MAYBMYKL,USD,17751,OCBCSGSG,OCBCSGSG,HSBCGB2L,mt,**************7574,LIHUG OQV,**************7715,OARMYC WWC
REF00000016538,2026-07-02T18:14:27.835,202,COV,REL59100547,DBSSSGSG,CITIUS33,MYR,64852,UOVBSGSG,UOVBSGSG,MAYBMYKL,mt,**************7771,ZPCES KLY,**************8152,SGQXIC RWT
REF00000705882,2026-07-04T09:51:27.842,202,COV,REL74169689,OCBCSGSG,CITIUS33,USD,198328,DBSSSGSG,OCBCSGSG,HSBCGB2L,mt,**************4383,IUGLD WWZ,**************6228,CHUMWP MYZ
REF00000685101,2026-07-09T19:35:58.866,202,COV,REL19891505,DBSSSGSG,CITIUS33,USD,171616,UOVBSGSG,CITIUS33,HSBCGB2L,mt,**************1261,HWJQK QQO,**************1301,EBTFER CWK
