_msg_id,_ts,_mt_type,21,_sender_bic,_receiver_bic,25,28C,_format,13D,34F,61,86,61#2,86#2,61#3,86#3,61#4,86#4,90D
STMT00000259,2026-07-05T21:32:53.604,942,REL80077745,DBSSSGSG,CITIUS33,**************3172,129/1,mt,2607182844+0800,"USD0,","2607100713D651,91NTRFNONREF",/REF/E2E05323250/ FENS,,,"2607010705D505,36NTRFNONREF",/REF/E2E55752531/ FENS,,,"2UUR6745,65"
STMT00000088,2026-07-10T05:30:22.695,942,REL83414950,DBSSSGSG,HSBCGB2L,**************1488,246/1,mt,2607040723+0800,"EUR0,","2607120713C550,40NTRFNONREF",/REF/E2E87920104/ RENT,"2607180705D827,51NTRFNONREF",/REF/E2E34711062/ REES,,,"2607100711C621,79NTRFNONREF",/REF/E2E79457827/ RENT,"7SSR5560,61"
STMT00000163,2026-07-04T14:08:52.701,942,REL16595688,DBSSSGSG,HSBCGB2L,**************0353,244/1,mt,2607150500+0800,"SGD0,","2607180718C537,82NTRFNONREF",/REF/E2E27700841/ FEET,"2607020701C265,07NTRFNONREF",/REF/E2E77624703/ FENT,,,"2607040706D319,21NTRFNONREF",/REF/E2E26170931/ RENS,"1UGR2309,54"
STMT00000230,2026-07-06T05:33:06.844,942,REL06752755,DBSSSGSG,CITIUS33,**************4830,135/1,mt,2607061505+0800,"SGD0,","2607100714D308,96NTRFNONREF",/REF/E2E49383144/ FEES,"2607160717C704,17NTRFNONREF",/REF/E2E33232829/ RENT,"2607020702C906,65NTRFNONREF",/REF/E2E42836125/ REES,,,"1ESR8132,27"
STMT00000055,2026-07-07T03:30:21.060,942,REL42982897,DBSSSGSG,CITIUS33,**************8491,239/1,mt,2607101411+0800,"USD0,","2607130702C310,00NTRFNONREF",/REF/E2E31260672/ FEET,,,,,,,"2MUR2693,74"
STMT00000341,2026-07-10T14:59:31.960,942,REL28178752,UOVBSGSG,CITIUS33,**************0642,325/1,mt,2607131903+0800,"SGD0,","2607040717C979,15NTRFNONREF",/REF/E2E68763148/ RENS,"2607110712D579,46NTRFNONREF",/REF/E2E35208800/ FENT,,,,,"2MYD6075,85"
STMT00000111,2026-07-05T16:00:43.121,942,REL96000085,DBSSSGSG,HSBCGB2L,**************9790,21/1,mt,2607152922+0800,"EUR0,","2607070711D821,28NTRFNONREF",/REF/E2E62099943/ REET,"2607000713C557,75NTRFNONREF",/REF/E2E29368242/ FENT,"2607100711D652,67NTRFNONREF",/REF/E2E57926516/ RENT,,,"6MGD5987,65"
STMT00000184,2026-07-01T14:02:06.257,942,REL90592185,DBSSSGSG,MAYBMYKL,**************3708,86/1,mt,2607050521+0800,"SGD0,","2607180705C840,27NTRFNONREF",/REF/E2E37932179/ FENT,"2607160705C602,15NTRFNONREF",/REF/E2E56640839/ REES,"2607120707C763,38NTRFNONREF",/REF/E2E67920727/ REET,"2607180702D446,70NTRFNONREF",/REF/E2E83879167/ RENS,"4EYR7198,07"
STMT00000365,2026-07-07T11:54:03.939,942,REL84173796,UOVBSGSG,MAYBMYKL,**************3991,173/1,mt,2607021810+0800,"SGD0,","2607120700C185,48NTRFNONREF",/REF/E2E55651869/ REES,,,,,,,"9SUR1891,53"
STMT00000096,2026-07-06T18:45:24.834,942,REL81949441,OCBCSGSG,MAYBMYKL,**************7871,186/1,mt,2607140144+0800,"SGD0,","2607180712C835,88NTRFNONREF",/REF/E2E77687378/ FEES,,,,,,,"6SYR1807,44"
STMT00000219,2026-07-05T23:49:10.117,942,REL93492039,DBSSSGSG,MAYBMYKL,**************1825,191/1,mt,2607161148+0800,"USD0,","2607110714D911,69NTRFNONREF",/REF/E2E35873531/ FENS,"2607130701D645,71NTRFNONREF",/REF/E2E84749612/ REES,"2607170717C347,28NTRFNONREF",/REF/E2E04121069/ RENS,,,"3UUD9315,12"
STMT00000211,2026-07-12T15:45:57.704,942,REL73698919,UOVBSGSG,MAYBMYKL,**************1721,104/1,mt,2607171830+0800,"USD0,","2607010719D374,55NTRFNONREF",/REF/E2E33412560/ RENT,"2607090705D509,39NTRFNONREF",/REF/E2E13090590/ RENS,"2607020715C803,10NTRFNONREF",/REF/E2E91089965/ RENS,"2607010717C518,04NTRFNONREF",/REF/E2E29095747/ FEES,"6UUR5475,50"
STMT00000309,2026-07-03T14:31:01.387,942,REL57270768,UOVBSGSG,MAYBMYKL,**************3176,185/1,mt,2607100316+0800,"SGD0,","2607160711C991,12NTRFNONREF",/REF/E2E09513360/ FEET,"2607140718C942,08NTRFNONREF",/REF/E2E32161266/ FENS,"2607000709C448,39NTRFNONREF",/REF/E2E25862761/ FEET,,,"5EYR7943,06"
STMT00000348,2026-07-12T08:53:28.237,942,REL89155524,DBSSSGSG,MAYBMYKL,**************3655,241/1,mt,2607112547+0800,"SGD0,","2607090711D962,38NTRFNONREF",/REF/E2E03917831/ REET,"2607080713D590,74NTRFNONREF",/REF/E2E07396429/ RENT,"2607190707D782,44NTRFNONREF",/REF/E2E25385200/ REET,,,"7USR6018,88"
STMT00000315,2026-07-06T22:36:55.741,942,REL44555657,UOVBSGSG,MAYBMYKL,**************6069,171/1,mt,2607110605+0800,"USD0,","2607050715D146,62NTRFNONREF",/REF/E2E03869469/ FENT,,,,,,,"4UUR7989,04"
STMT00000149,2026-07-09T04:52:24.876,942,REL20837775,UOVBSGSG,HSBCGB2L,**************9191,99/1,mt,2607111116+0800,"MYR0,","2607030711D906,50NTRFNONREF",/REF/E2E21932082/ RENT,"2607020704C977,97NTRFNONREF",/REF/E2E85333853/ FEET,"2607120715D369,82NTRFNONREF",/REF/E2E23391309/ REES,,,"3USR9603,94"
STMT00000373,2026-07-10T04:51:40.687,942,REL60272447,UOVBSGSG,HSBCGB2L,**************4102,176/1,mt,2607062941+0800,"SGD0,","2607110716C838,42NTRFNONREF",/REF/E2E19559075/ RENT,"2607030716D165,78NTRFNONREF",/REF/E2E09961189/ REES,"2607110701D170,78NTRFNONREF",/REF/E2E29917920/ REES,,,"6SSD5728,32"
STMT00000373,2026-07-08T19:23:56.356,942,REL31815751,DBSSSGSG,CITIUS33,**************9592,252/1,mt,2607092748+0800,"SGD0,","2607150700C729,05NTRFNONREF",/REF/E2E44350994/ FENT,"2607120716C616,56NTRFNONREF",/REF/E2E78775355/ FEET,,,,,"6UUR5891,49"
STMT00000215,2026-07-07T04:57:21.245,942,REL48225047,DBSSSGSG,HSBCGB2L,**************6956,244/1,mt,2607121343+0800,"EUR0,","2607130717D625,50NTRFNONREF",/REF/E2E02529962/ FENS,"2607130719D625,92NTRFNONREF",/REF/E2E48675591/ RENS,"2607180711D140,74NTRFNONREF",/REF/E2E89625343/ FEES,"2607030717C892,91NTRFNONREF",/REF/E2E07817204/ FENS,"5EYD6106,14"
STMT00000074,2026-07-07T13:28:40.794,942,REL93111594,OCBCSGSG,CITIUS33,**************1738,258/1,mt,2607091839+0800,"SGD0,","2607040703C154,42NTRFNONREF",/REF/E2E16900002/ FENT,,,"2607190703C990,11NTRFNONREF",/REF/E2E34869601/ FENT,,,"9MGR7830,76"
STMT00000168,2026-07-06T15:23:33.000,942,REL37490886,OCBCSGSG,MAYBMYKL,**************5217,248/1,mt,2607110305+0800,"SGD0,","2607060710C754,95NTRFNONREF",/REF/E2E39667156/ RENS,"2607130712C482,13NTRFNONREF",/REF/E2E32452777/ REES,"2607110711C833,96NTRFNONREF",/REF/E2E27894244/ FEES,"2607050702D718,56NTRFNONREF",/REF/E2E36839938/ FEES,"8SYD3515,11"
STMT00000080,2026-07-09T09:25:44.966,942,REL84275570,UOVBSGSG,CITIUS33,**************8882,331/1,mt,2607191141+0800,"EUR0,","2607150709C828,39NTRFNONREF",/REF/E2E34827686/ FEES,"2607130712D454,48NTRFNONREF",/REF/E2E06877556/ FENT,,,,,"9MSR9285,16"
STMT00000346,2026-07-07T06:08:59.313,942,REL42589046,OCBCSGSG,MAYBMYKL,**************5649,353/1,mt,2607100501+0800,"USD0,","2607120717C857,25NTRFNONREF",/REF/E2E52236640/ RENS,"2607100719D915,58NTRFNONREF",/REF/E2E96558633/ FEES,"2607010701D621,22NTRFNONREF",/REF/E2E82074980/ FEET,"2607120716C546,89NTRFNONREF",/REF/E2E17990829/ REES,"6SYD6796,42"
STMT00000113,2026-07-03T17:19:50.115,942,REL46518088,DBSSSGSG,CITIUS33,**************4571,166/1,mt,2607011019+0800,"USD0,","2607090706D662,65NTRFNONREF",/REF/E2E54981129/ RENT,"2607100704C728,11NTRFNONREF",/REF/E2E36130955/ FENS,,,"2607100713D724,87NTRFNONREF",/REF/E2E19110223/ FEES,"3SUR8458,91"
STMT00000154,2026-07-02T11:10:01.575,942,REL71626463,UOVBSGSG,HSBCGB2L,**************7835,55/1,mt,2607120057+0800,"SGD0,","2607160707D583,02NTRFNONREF",/REF/E2E92833340/ REES,"2607050715C232,37NTRFNONREF",/REF/E2E76543228/ FENS,"2607120700D267,66NTRFNONREF",/REF/E2E17727816/ FEES,,,"3UUR8066,22"
STMT00000150,2026-07-09T03:24:35.015,942,REL28178613,UOVBSGSG,HSBCGB2L,**************8448,227/1,mt,2607060833+0800,"SGD0,","2607020717C441,30NTRFNONREF",/REF/E2E76952223/ FENS,,,"2607150705D585,33NTRFNONREF",/REF/E2E21262324/ REES,,,"5SYD6766,28"
STMT00000275,2026-07-12T21:53:03.110,942,REL95575351,UOVBSGSG,CITIUS33,**************4687,152/1,mt,2607140102+0800,"USD0,","2607190705C814,50NTRFNONREF",/REF/E2E49121882/ RENT,"2607090703D795,79NTRFNONREF",/REF/E2E00160943/ REES,"2607160712D979,14NTRFNONREF",/REF/E2E94502912/ REET,,,"3MYD6377,88"
STMT00000383,2026-07-02T20:46:05.490,942,REL35643673,UOVBSGSG,MAYBMYKL,**************6872,161/1,mt,2607070812+0800,"EUR0,","2607100700D547,93NTRFNONREF",/REF/E2E24038769/ RENT,,,,,,,"4UUR6742,79"
STMT00000291,2026-07-07T04:18:37.268,942,REL55411498,UOVBSGSG,CITIUS33,**************7518,234/1,mt,2607091209+0800,"SGD0,","2607150708D587,47NTRFNONREF",/REF/E2E41600328/ FENS,"2607110700D678,27NTRFNONREF",/REF/E2E99860118/ RENT,"2607040719C244,50NTRFNONREF",/REF/E2E86059767/ REES,,,"2SYD2081,00"
