_msg_id,_ts,_mt_type,71A,21,28D,50H_acct,50H_name,30,32B,57A,59_acct,59_name,70,_sender_bic,_receiver_bic,_format
REF00000794503,2026-07-04T22:06:29.219,101,SHA,TXN41177623,1/1,**************9570,TTCKH TZGLQW,260712,"ESR357,72",MAYBMYKL,**************5524,YMSPBA OZCJ,INVOICE 53810,DBSSSGSG,MAYBMYKL,mt
REF00000138058,2026-07-08T09:53:55.839,101,OUR,TXN04526560,1/1,**************1021,NKEPV YUHWZA,260711,"ESD825,25",HSBCGB2L,**************5596,XLSLNF CUAG,INVOICE 03274,OCBCSGSG,CITIUS33,mt
REF00000613955,2026-07-08T16:04:03.136,101,BEN,TXN50970866,1/1,**************2764,YGTTR XEQEVI,260713,"UYD692,59",CITIUS33,**************3118,UXBTOL TXLJ,INVOICE 71481,UOVBSGSG,HSBCGB2L,mt
REF00000313528,2026-07-10T16:21:18.991,101,SHA,TXN86041738,1/1,**************9071,MNYLH JAKSID,260702,"MYR115,66",CITIUS33,**************1782,RTBGRS SLRF,INVOICE 96138,OCBCSGSG,HSBCGB2L,mt
REF00000159900,2026-07-13T23:34:46.317,101,SHA,TXN90328756,1/1,**************3338,KJLIW WUFOFA,260706,"SGD341,49",MAYBMYKL,**************4862,RWNHGO IXFL,INVOICE 69647,UOVBSGSG,HSBCGB2L,mt
REF00000094412,2026-07-11T18:24:22.726,101,OUR,TXN32681111,1/1,**************5971,XSNQP YTSPPQ,260701,"MGD868,96",CITIUS33,**************5504,OXXZXL TDWV,INVOICE 17362,UOVBSGSG,HSBCGB2L,mt
REF00000531278,2026-07-05T02:19:20.877,101,OUR,TXN43517187,1/1,**************7915,QMSED ZPPDRR,260705,"UUD713,19",HSBCGB2L,**************5312,EZYIHW CKMJ,INVOICE 42972,OCBCSGSG,CITIUS33,mt
REF00000128077,2026-07-08T17:18:42.954,101,OUR,TXN93899797,1/1,**************7687,WQLMR GTPVVO,260710,"SUD561,16",CITIUS33,**************6884,KOQDRZ OCCG,INVOICE 04687,UOVBSGSG,CITIUS33,mt
REF00000405643,2026-07-05T17:04:13.190,101,OUR,TXN29151229,1/1,**************5530,FTKFM IWGIAF,260710,"SSD838,10",HSBCGB2L,**************9086,VKTDBB ZVIN,INVOICE 55983,DBSSSGSG,MAYBMYKL,mt
REF00000067798,2026-07-13T03:24:36.593,101,OUR,TXN07141360,1/1,**************4742,KKJSN WSVFMM,260703,"SYR142,01",MAYBMYKL,**************7496,JZBHQC ZWKJ,INVOICE 10949,DBSSSGSG,HSBCGB2L,mt
REF00000455569,2026-07-12T16:47:01.336,101,OUR,TXN55138734,1/1,**************1663,AJTTJ WKTHEG,260708,"SUR487,28",CITIUS33,**************1888,TOTONQ KQIZ,INVOICE 94017,DBSSSGSG,MAYBMYKL,mt
REF00000790033,2026-07-03T15:16:04.916,101,SHA,TXN70473257,1/1,**************8130,NMIVS PKHJFF,260707,"UUR358,53",CITIUS33,**************0439,TOTONQ KQIZ,INVOICE 85204,DBSSSGSG,MAYBMYKL,mt
REF00000094783,2026-07-01T13:16:17.719,101,OUR,TXN66122225,1/1,**************5975,NFBHS RLURGN,260710,"EYD571,64",HSBCGB2L,**************6133,OARMYC WWCC,INVOICE 79949,DBSSSGSG,HSBCGB2L,mt
REF00000618887,2026-07-05T22:39:19.970,101,SHA,TXN93062045,1/1,**************7113,HUMWP MYZHWJ,260712,"MSD883,92",CITIUS33,**************8668,QKQQOZ VVCJ,INVOICE 59567,OCBCSGSG,CITIUS33,mt
REF00000124324,2026-07-02T05:21:24.854,101,OUR,TXN16809444,1/1,**************0994,ZYAZQ FEEMNF,260705,"SSR651,26",CITIUS33,**************9764,QEJDPR ZKTE,INVOICE 99716,UOVBSGSG,MAYBMYKL,mt
REF00000712234,2026-07-07T02:52:31.994,101,SHA,TXN43475957,1/1,**************3602,NKEPV YUHWZA,260712,"UUD398,01",MAYBMYKL,**************0090,IYNXPI KFCZ,INVOICE 59263,OCBCSGSG,HSBCGB2L,mt
REF00000620832,2026-07-03T10:00:23.079,101,OUR,TXN06126026,1/1,**************1273,OHOHY CIEURI,260711,"ESR307,18",HSBCGB2L,**************1436,EMGGRQ EGKX,INVOICE 57561,DBSSSGSG,CITIUS33,mt
REF00000048444,2026-07-08T18:07:19.401,101,OUR,TXN34772478,1/1,**************1591,VTNVA QLGUHR,260703,"EYD801,53",MAYBMYKL,**************4081,AALOHV YANN,INVOICE 88675,DBSSSGSG,HSBCGB2L,mt
REF00000403001,2026-07-01T19:03:38.534,101,SHA,TXN30632908,1/1,**************2630,PNKUS QHYSYS,260710,"SSR566,28",CITIUS33,**************6892,YXSPJP SAAJ,INVOICE 34319,DBSSSGSG,MAYBMYKL,mt
REF00000167051,2026-07-10T03:44:54.426,101,SHA,TXN19811465,1/1,**************7654,NFBHS RLURGN,260708,"EGR151,23",MAYBMYKL,**************1350,WSDOSY HMNG,INVOICE 16914,UOVBSGSG,MAYBMYKL,mt
REF00000622595,2026-07-05T00:52:44.285,101,OUR,TXN13520030,1/1,**************8110,BNMDN FFTCZX,260704,"MUR618,25",CITIUS33,**************1602,LZFXYH ZCQM,INVOICE 76678,OCBCSGSG,CITIUS33,mt
REF00000548617,2026-07-08T13:12:16.603,101,OUR,TXN26452420,1/1,**************3271,MIGJW SMBLOH,260714,"SSD589,82",HSBCGB2L,**************6996,BEIVQA LQBZ,INVOICE 36451,OCBCSGSG,CITIUS33,mt
REF00000552049,2026-07-08T08:38:50.650,101,OUR,TXN94051753,1/1,**************4613,IXQAB NPAWYJ,260703,"MSD145,33",HSBCGB2L,**************0764,FHTPSB JHOO,INVOICE 38504,UOVBSGSG,MAYBMYKL,mt
REF00000700294,2026-07-01T18:54:24.062,101,SHA,TXN16927746,1/1,**************7569,FIFNU XJQAJU,260705,"MYR258,33",MAYBMYKL,**************7521,GLDWWZ FSIE,INVOICE 83216,DBSSSGSG,CITIUS33,mt
REF00000536196,2026-07-07T11:03:03.906,101,SHA,TXN25434959,1/1,**************8089,OCSIC WNGDMG,260707,"SSR602,51",CITIUS33,**************2566,KUTGFW BUJU,INVOICE 43993,DBSSSGSG,CITIUS33,mt
REF00000484034,2026-07-06T01:26:29.768,101,SHA,TXN89588616,1/1,**************2214,XTPAN FNUKTJ,260704,"SUD412,76",MAYBMYKL,**************5899,PSHLQC UZAV,INVOICE 98020,OCBCSGSG,CITIUS33,mt
REF00000626560,2026-07-02T05:30:36.808,101,OUR,TXN32758999,1/1,**************9167,DCSXN SKQWTB,260714,"SSR150,76",CITIUS33,**************6266,AALOHV YANN,INVOICE 76038,UOVBSGSG,MAYBMYKL,mt
REF00000559153,2026-07-04T22:00:47.965,101,OUR,TXN84720270,1/1,**************1088,VZNOQ FMDRQK,260708,"USD593,30",HSBCGB2L,**************6689,USQRGU QDMC,INVOICE 17565,UOVBSGSG,MAYBMYKL,mt
REF00000632868,2026-07-12T08:42:35.660,101,OUR,TXN13150475,1/1,**************6201,MIGJW SMBLOH,260710,"SYD624,51",MAYBMYKL,**************3003,TOTONQ KQIZ,INVOICE 49283,OCBCSGSG,HSBCGB2L,mt
REF00000421439,2026-07-11T00:24:13.022,101,OUR,TXN74650186,1/1,**************9885,XSNQP YTSPPQ,260701,"MGD118,64",CITIUS33,**************5393,RTBGRS SLRF,INVOICE 80383,OCBCSGSG,CITIUS33,mt
