_msg_id,_ts,_mt_type,21,_sender_bic,_receiver_bic,25,32A_ccy,32A_amount,72,_format
REF00000134117,2026-07-04T01:40:33.060,900,REL97631807,UOVBSGSG,MAYBMYKL,**************3505,USD,2963.72,/BNF/KUMAR PILLAI,mt
REF00000767904,2026-07-07T03:55:10.983,900,REL34760573,OCBCSGSG,HSBCGB2L,**************2647,SGD,120.62,/BNF/AISHA IYER,mt
REF00000028280,2026-07-10T16:01:17.080,900,REL23046509,DBSSSGSG,CITIUS33,**************2932,MYR,205.73,/BNF/FATIMAH GOH,mt
REF00000778986,2026-07-02T15:04:12.688,900,REL74474829,UOVBSGSG,MAYBMYKL,**************9817,SGD,2216.86,/BNF/SITI KRISHNAN,mt
REF00000665043,2026-07-06T02:14:18.288,900,REL31811041,OCBCSGSG,HSBCGB2L,**************7602,SGD,693.25,/BNF/MARCUS TAN,mt
REF00000662041,2026-07-04T20:13:13.496,900,REL73158715,DBSSSGSG,CITIUS33,**************7639,SGD,349.54,/BNF/GRACE WONG,mt
REF00000219021,2026-07-13T13:40:58.391,900,REL99357895,OCBCSGSG,HSBCGB2L,**************5346,USD,1659.44,/BNF/ARUN PILLAI,mt
REF00000366315,2026-07-08T00:06:14.242,900,REL58567519,UOVBSGSG,MAYBMYKL,**************4300,EUR,213.77,/BNF/FATIMAH ABDULLAH,mt
REF00000448312,2026-07-09T10:18:31.538,900,REL63869464,DBSSSGSG,MAYBMYKL,**************9353,USD,251.73,/BNF/KUMAR LEE,mt
REF00000783394,2026-07-04T06:13:12.072,900,REL64373217,DBSSSGSG,CITIUS33,**************6324,USD,1849.17,/BNF/MEI LING GOH,mt
REF00000733593,2026-07-05T12:53:37.381,900,REL87709248,OCBCSGSG,CITIUS33,**************2951,USD,5036.79,/BNF/KUMAR CHUA,mt
REF00000494856,2026-07-03T03:44:05.466,900,REL92343961,DBSSSGSG,HSBCGB2L,**************0973,MYR,4851.42,/BNF/KUMAR CHUA,mt
REF00000534131,2026-07-06T13:25:51.029,900,REL45511213,OCBCSGSG,MAYBMYKL,**************6899,SGD,993.63,/BNF/RAJESH ONG,mt
REF00000283540,2026-07-01T21:49:41.549,900,REL42185924,OCBCSGSG,MAYBMYKL,**************7420,MYR,1642.12,/BNF/ELAINE TAN,mt
REF00000537730,2026-07-07T18:03:59.807,900,REL06095337,UOVBSGSG,MAYBMYKL,**************9927,SGD,476.31,/BNF/ELAINE LEE,mt
REF00000600079,2026-07-13T00:57:45.515,900,REL42491601,DBSSSGSG,CITIUS33,**************7157,USD,3426.98,/BNF/HAKIM LIM,mt
REF00000474351,2026-07-12T10:15:28.284,900,REL36251287,UOVBSGSG,MAYBMYKL,**************8323,SGD,4431.38,/BNF/ELAINE ABDULLAH,mt
REF00000608203,2026-07-13T16:28:17.099,900,REL93482662,OCBCSGSG,MAYBMYKL,**************5863,USD,3015.42,/BNF/ARUN NG,mt
REF00000383860,2026-07-11T08:01:34.507,900,REL42533817,OCBCSGSG,MAYBMYKL,**************1665,SGD,638.29,/BNF/RAJESH PILLAI,mt
REF00000015981,2026-07-03T10:04:32.342,900,REL12574683,UOVBSGSG,MAYBMYKL,**************0714,SGD,742.01,/BNF/KUMAR TAN,mt
REF00000062187,2026-07-06T15:43:51.226,900,REL13141503,UOVBSGSG,MAYBMYKL,**************8039,MYR,1232.85,/BNF/RAJESH ONG,mt
REF00000763885,2026-07-06T03:28:24.825,900,REL86315095,OCBCSGSG,CITIUS33,**************1177,USD,774.05,/BNF/PRIYA NG,mt
REF00000453810,2026-07-01T03:32:46.099,900,REL87531380,OCBCSGSG,CITIUS33,**************7880,SGD,640.25,/BNF/MARCUS HASSAN,mt
REF00000607609,2026-07-04T04:22:55.091,900,REL63160452,UOVBSGSG,CITIUS33,**************2350,SGD,567.33,/BNF/PRIYA ABDULLAH,mt
REF00000361395,2026-07-08T02:34:40.919,900,REL81459433,DBSSSGSG,HSBCGB2L,**************9609,EUR,797.43,/BNF/FATIMAH PILLAI,mt
REF00000713509,2026-07-09T12:07:17.291,900,REL17314714,DBSSSGSG,MAYBMYKL,**************2393,SGD,215.98,/BNF/RAJESH TAN,mt
REF00000663101,2026-07-08T05:10:18.126,900,REL82233746,OCBCSGSG,HSBCGB2L,**************3122,USD,1634.93,/BNF/PRIYA TAN,mt
REF00000169923,2026-07-05T02:35:39.978,900,REL13862117,UOVBSGSG,MAYBMYKL,**************9005,SGD,1430.83,/BNF/PRIYA IYER,mt
REF00000285315,2026-07-08T16:37:44.280,900,REL64198853,OCBCSGSG,HSBCGB2L,**************8756,USD,638.47,/BNF/MEI LING ABDULLAH,mt
REF00000696474,2026-07-03T07:26:43.415,900,REL74094412,DBSSSGSG,CITIUS33,**************6713,USD,477.42,/BNF/HAKIM IYER,mt
REF00000503604,2026-07-07T04:29:35.951,900,REL47826326,OCBCSGSG,HSBCGB2L,**************3151,EUR,67.3,/BNF/MARCUS WONG,mt
REF00000152531,2026-07-05T07:43:49.797,900,REL19345322,OCBCSGSG,HSBCGB2L,**************0575,SGD,316.61,/BNF/HAKIM TAN,mt
REF00000351718,2026-07-06T17:00:57.305,900,REL42972258,UOVBSGSG,MAYBMYKL,**************2807,SGD,396.33,/BNF/DANIEL LEE,mt
REF00000345960,2026-07-06T19:00:34.704,900,REL12239160,DBSSSGSG,MAYBMYKL,**************3899,USD,84.36,/BNF/MARCUS KRISHNAN,mt
REF00000046875,2026-07-11T17:52:04.327,900,REL71844056,UOVBSGSG,MAYBMYKL,**************9649,USD,263.66,/BNF/RAJESH PILLAI,mt
