_msg_id,_ts,_mt_type,21,_sender_bic,_receiver_bic,25,32A_ccy,32A_amount,72,_format,50K_acct,50K_name,52A
REF00000515046,2026-07-10T22:49:11.427,910,REL29325513,DBSSSGSG,MAYBMYKL,**************6964,USD,834.72,/BNF/SITI GOH,mt,**************4352,JJVVS KSJS,DBSSSGSG
REF00000129151,2026-07-05T03:25:30.960,910,REL01045787,OCBCSGSG,MAYBMYKL,**************8754,USD,1125.84,/BNF/MARCUS WONG,mt,**************5524,GQXIC RWTG,UOVBSGSG
REF00000733832,2026-07-09T12:50:19.016,910,REL89174816,UOVBSGSG,MAYBMYKL,**************0949,USD,801.63,/BNF/DANIEL ABDULLAH,mt,**************3607,KQKKO ICYQ,DBSSSGSG
REF00000128593,2026-07-08T18:10:44.262,910,REL49585566,DBSSSGSG,HSBCGB2L,**************5500,EUR,763.38,/BNF/GRACE HASSAN,mt,**************9769,SSRDH ILEA,UOVBSGSG
REF00000157494,2026-07-01T12:22:43.234,910,REL95371748,UOVBSGSG,HSBCGB2L,**************0439,SGD,194.94,/BNF/ELAINE ABDULLAH,mt,**************8453,MBVBG VEKQ,UOVBSGSG
REF00000325757,2026-07-02T03:56:26.266,910,REL64578351,UOVBSGSG,HSBCGB2L,**************6807,USD,4784.27,/BNF/SITI IYER,mt,**************2738,ROCTV CQSB,OCBCSGSG
REF00000244275,2026-07-09T16:29:04.532,910,REL77258293,UOVBSGSG,HSBCGB2L,**************4379,SGD,3452.12,/BNF/FATIMAH TAN,mt,**************6122,XYQOJ IDYF,OCBCSGSG
REF00000364544,2026-07-12T15:50:48.520,910,REL32412759,OCBCSGSG,MAYBMYKL,**************6204,SGD,738.54,/BNF/GRACE HASSAN,mt,**************1471,LNQCY JIWP,DBSSSGSG
REF00000129780,2026-07-07T22:04:46.209,910,REL66428309,UOVBSGSG,CITIUS33,**************7641,USD,460.75,/BNF/MEI LING CHUA,mt,**************5894,SHLQC UZAV,UOVBSGSG
REF00000250323,2026-07-04T22:47:31.664,910,REL81723721,DBSSSGSG,HSBCGB2L,**************2983,USD,3255.34,/BNF/MARCUS ONG,mt,**************0251,SKSHF PPVV,UOVBSGSG
REF00000136026,2026-07-08T15:03:20.278,910,REL20832313,DBSSSGSG,HSBCGB2L,**************8576,USD,67.04,/BNF/MARCUS HASSAN,mt,**************6978,ERTTC ERHW,UOVBSGSG
REF00000409114,2026-07-06T18:49:51.991,910,REL85575610,OCBCSGSG,HSBCGB2L,**************5216,USD,902.3,/BNF/FATIMAH NG,mt,**************1818,FQYQW YMKE,OCBCSGSG
REF00000446517,2026-07-10T09:12:36.021,910,REL71347724,UOVBSGSG,MAYBMYKL,**************1591,SGD,200.62,/BNF/ELAINE GOH,mt,**************0815,WRSRT TOBL,DBSSSGSG
REF00000757955,2026-07-05T18:16:40.435,910,REL27875038,OCBCSGSG,MAYBMYKL,**************7741,SGD,888.46,/BNF/DANIEL LEE,mt,**************5934,CLYVN BTTC,UOVBSGSG
